date,net_value
2015-01-05,0.99872816
2015-01-06,0.9934697
2015-01-07,0.9902098
2015-01-08,0.98720104
2015-01-09,0.9898261
2015-01-12,0.98709434
2015-01-13,0.9945959
2015-01-14,1.0006645
2015-01-15,0.9766939
2015-01-16,0.98958623
2015-01-19,1.0057147
2015-01-20,1.0085707
2015-01-21,1.0069939
2015-01-22,1.0150089
2015-01-23,1.0131556
2015-01-26,1.0088723
2015-01-27,1.0041662
2015-01-28,0.9978538
2015-01-29,0.99449223
2015-01-30,1.0022204
2015-02-02,0.9974804
2015-02-03,0.99378586
2015-02-04,0.9860805
2015-02-05,0.9854476
2015-02-06,0.99147683
2015-02-09,0.9958769
2015-02-10,0.99821883
2015-02-11,1.00414
2015-02-12,1.0106695
2015-02-13,1.0126393
2015-02-16,1.0081627
2015-02-17,1.0158396
2015-02-25,1.0183433
2015-02-26,1.0249001
2015-02-27,1.017239
2015-03-02,1.0248526
2015-03-03,1.0233995
2015-03-04,1.018234
2015-03-05,1.0251479
2015-03-06,1.0252575
2015-03-09,1.0251112
2015-03-10,1.0270032
2015-03-11,1.0314375
2015-03-12,1.0460894
2015-03-13,1.0514381
2015-03-16,1.0598295
2015-03-17,1.0617867
2015-03-18,1.0656877
2015-03-19,1.0812757
2015-03-20,1.0793182
2015-03-23,1.082222
2015-03-24,1.0830938
2015-03-25,1.0883961
2015-03-26,1.0959593
2015-03-27,1.091662
2015-03-30,1.1018304
2015-03-31,1.1087707
2015-04-01,1.1157435
2015-04-02,1.1283566
2015-04-03,1.1263719
2015-04-07,1.1216103
2015-04-08,1.1356477
2015-04-09,1.1412176
2015-04-10,1.1400625
2015-04-13,1.168422
2015-04-14,1.1816895
2015-04-15,1.1864353
2015-04-16,1.1808814
2015-04-17,1.1976471
2015-04-20,1.2096004
2015-04-21,1.2099051
2015-04-22,1.2101296
2015-04-23,1.2149936
2015-04-24,1.2020634
2015-04-27,1.2106004
2015-04-28,1.2129686
2015-04-29,1.2133079
2015-04-30,1.1943858
2015-05-04,1.1856539
2015-05-05,1.1765771
2015-05-06,1.1933413
2015-05-07,1.2137759
2015-05-08,1.2195845
2015-05-11,1.2236166
2015-05-12,1.2228098
2015-05-13,1.2170626
2015-05-14,1.2210118
2015-05-15,1.2335224
2015-05-18,1.2371429
2015-05-19,1.2554392
2015-05-20,1.265202
2015-05-21,1.2801192
2015-05-22,1.2926501
2015-05-25,1.2959083
2015-05-26,1.2620106
2015-05-27,1.2643948
2015-05-28,1.2930298
2015-05-29,1.3057431
2015-06-01,1.2992414
2015-06-02,1.2995821
2015-06-03,1.3077035
2015-06-04,1.3095375
2015-06-05,1.3088311
2015-06-08,1.3158303
2015-06-09,1.3207746
2015-06-10,1.3301744
2015-06-11,1.3197422
2015-06-12,1.3007016
2015-06-15,1.3093004
2015-06-16,1.2903483
2015-06-17,1.2565477
2015-06-18,1.2665864
2015-06-19,1.2787023
2015-06-23,1.2621614
2015-06-24,1.2157865
2015-06-25,1.192228
2015-06-26,1.2281054
2015-06-29,1.1978683
2015-06-30,1.1770903
2015-07-01,1.1435636
2015-07-02,1.1604193
2015-07-03,1.1210327
2015-07-06,1.0697349
2015-07-07,1.1187536
2015-07-08,1.1643685
2015-07-09,1.2012088
2015-07-10,1.1922038
2015-07-13,1.1516106
2015-07-14,1.1656551
2015-07-15,1.1907644
2015-07-16,1.1890783
2015-07-17,1.1926491
2015-07-20,1.195647
2015-07-21,1.2098393
2015-07-22,1.1967225
2015-07-23,1.1553221
2015-07-24,1.1559925
2015-07-27,1.1790136
2015-07-28,1.1638172
2015-07-29,1.1563629
2015-07-30,1.1488496
2015-07-31,1.1764604
2015-08-03,1.1662087
2015-08-04,1.1626985
2015-08-05,1.1778085
2015-08-06,1.2050837
2015-08-07,1.206365
2015-08-10,1.2054821
2015-08-11,1.2119217
