date,hs300,zz500,kc50,consume,chip,gold,bond10,hs300_listed,zz500_listed,kc50_listed,consume_listed,chip_listed,gold_listed,bond10_listed
2015-01-05,3.688,1.513,,1.199,,2.414,,True,True,False,True,False,True,False
2015-01-06,3.663,1.536,,1.206,,2.435,,True,True,False,True,False,True,False
2015-01-07,3.662,1.537,,1.195,,2.445,,True,True,False,True,False,True,False
2015-01-08,3.582,1.523,,1.194,,2.431,,True,True,False,True,False,True,False
2015-01-09,3.556,1.515,,1.179,,2.439,,True,True,False,True,False,True,False
2015-01-12,3.545,1.493,,1.171,,2.458,,True,True,False,True,False,True,False
2015-01-13,3.538,1.514,,1.169,,2.471,,True,True,False,True,False,True,False
2015-01-14,3.53,1.508,,1.157,,2.466,,True,True,False,True,False,True,False
2015-01-15,3.63,1.533,,1.167,,2.462,,True,True,False,True,False,True,False
2015-01-16,3.662,1.547,,1.172,,2.518,,True,True,False,True,False,True,False
2015-01-19,3.296,1.48,,1.123,,2.567,,True,True,False,True,False,True,False
2015-01-20,3.382,1.532,,1.15,,2.57,,True,True,False,True,False,True,False
2015-01-21,3.537,1.57,,1.176,,2.62,,True,True,False,True,False,True,False
2015-01-22,3.543,1.596,,1.183,,2.589,,True,True,False,True,False,True,False
2015-01-23,3.56,1.581,,1.173,,2.607,,True,True,False,True,False,True,False
2015-01-26,3.594,1.615,,1.195,,2.609,,True,True,False,True,False,True,False
2015-01-27,3.558,1.619,,1.194,,2.589,,True,True,False,True,False,True,False
2015-01-28,3.501,1.611,,1.18,,2.598,,True,True,False,True,False,True,False
2015-01-29,3.464,1.601,,1.167,,2.585,,True,True,False,True,False,True,False
2015-01-30,3.421,1.582,,1.162,,2.542,,True,True,False,True,False,True,False
2015-02-02,3.344,1.575,,1.148,,2.586,,True,True,False,True,False,True,False
2015-02-03,3.423,1.604,,1.158,,2.588,,True,True,False,True,False,True,False
2015-02-04,3.384,1.596,,1.151,,2.56,,True,True,False,True,False,True,False
2015-02-05,3.344,1.585,,1.139,,2.576,,True,True,False,True,False,True,False
2015-02-06,3.294,1.554,,1.129,,2.564,,True,True,False,True,False,True,False
2015-02-09,3.332,1.545,,1.143,,2.504,,True,True,False,True,False,True,False
2015-02-10,3.399,1.564,,1.145,,2.514,,True,True,False,True,False,True,False
2015-02-11,3.421,1.581,,1.16,,2.504,,True,True,False,True,False,True,False
2015-02-12,3.435,1.594,,1.171,,2.479,,True,True,False,True,False,True,False
2015-02-13,3.457,1.619,,1.18,,2.496,,True,True,False,True,False,True,False
2015-02-16,3.486,1.651,,1.191,,2.498,,True,True,False,True,False,True,False
2015-02-17,3.517,1.659,,1.193,,2.488,,True,True,False,True,False,True,False
2015-02-25,3.463,1.655,,1.186,,2.466,,True,True,False,True,False,True,False
2015-02-26,3.566,1.675,,1.198,,2.464,,True,True,False,True,False,True,False
2015-02-27,3.559,1.692,,1.205,,2.465,,True,True,False,True,False,True,False
2015-03-02,3.587,1.728,,1.209,,2.485,,True,True,False,True,False,True,False
2015-03-03,3.489,1.716,,1.195,,2.467,,True,True,False,True,False,True,False
2015-03-04,3.518,1.749,,1.217,,2.459,,True,True,False,True,False,True,False
2015-03-05,3.488,1.745,,1.222,,2.449,,True,True,False,True,False,True,False
2015-03-06,3.466,1.72,,1.218,,2.439,,True,True,False,True,False,True,False
2015-03-09,3.534,1.749,,1.246,,2.389,,True,True,False,True,False,True,False
2015-03-10,3.509,1.759,,1.251,,2.368,,True,True,False,True,False,True,False
2015-03-11,3.514,1.758,,1.249,,2.369,,True,True,False,True,False,True,False
