date,hs300,zz500,kc50,consume,chip,gold,bond10
2015-01-06,0.16759422,0.13172294,0.1184142,0.12225651,0.13268936,0.14732279,0.18
2015-01-07,0.1624419,0.13159841,0.12213089,0.120782204,0.1369858,0.14606078,0.18
2015-01-08,0.18043631,0.13783205,0.12027381,0.12006659,0.13430311,0.1270882,0.18
2015-01-09,0.17882258,0.14302918,0.1219905,0.121846765,0.13358967,0.120721355,0.18000002
2015-01-12,0.18428236,0.13709266,0.11888459,0.12307202,0.12980787,0.12686053,0.18000002
2015-01-13,0.1849486,0.13660218,0.11880585,0.122739434,0.12935525,0.12754868,0.18
2015-01-14,0.18626115,0.13525653,0.11811544,0.1234095,0.12767273,0.12928466,0.18
2015-01-15,0.18651359,0.13674389,0.11884516,0.12529163,0.12600735,0.12659839,0.18000002
2015-01-16,0.18770163,0.13635854,0.11851639,0.12561728,0.12504876,0.12675743,0.18
2015-01-19,0.18587913,0.12708466,0.11554189,0.122771345,0.12603398,0.14268908,0.18
2015-01-20,0.18455294,0.127911,0.11631434,0.12047082,0.1284456,0.14230534,0.18000002
2015-01-21,0.1769252,0.1221662,0.11140643,0.12043746,0.12538798,0.15580647,0.18787025
2015-01-22,0.18023294,0.12517944,0.114579394,0.11584393,0.1302293,0.14794153,0.18599333
2015-01-23,0.17995079,0.12559408,0.11616192,0.11664206,0.12959276,0.14558716,0.1864713
2015-01-26,0.17960386,0.13669077,0.120440245,0.11797002,0.13101956,0.1342755,0.18
2015-01-27,0.18194564,0.13514137,0.11946508,0.11840972,0.13038659,0.13465166,0.18
2015-01-28,0.1820989,0.13225931,0.11886302,0.11786768,0.13014369,0.13876744,0.18000002
2015-01-29,0.18446799,0.1252006,0.115426406,0.11796879,0.1286551,0.14699095,0.18129015
2015-01-30,0.18042485,0.12259451,0.114684515,0.11519953,0.1292652,0.15087825,0.18695319
2015-02-02,0.18702778,0.12627076,0.11099463,0.12882778,0.11473192,0.15214714,0.18
2015-02-03,0.18649654,0.12549244,0.11059705,0.12823963,0.11496631,0.15420802,0.18
2015-02-04,0.181335,0.11960134,0.10667567,0.13283801,0.112183,0.16736703,0.18000002
2015-02-05,0.18696763,0.122558266,0.10930839,0.12770566,0.11424823,0.15921186,0.18000002
2015-02-06,0.18815532,0.12109552,0.10792874,0.12825543,0.11291074,0.1616543,0.18
2015-02-09,0.18926051,0.12302703,0.10797558,0.12888773,0.11259248,0.15825666,0.18000002
2015-02-10,0.18649504,0.12061438,0.10555736,0.13612425,0.10864595,0.16256298,0.18
2015-02-11,0.19136629,0.12500729,0.109117486,0.13124827,0.11050309,0.1527576,0.18
2015-02-12,0.18954328,0.12966952,0.11136309,0.12866943,0.112917624,0.14783707,0.18000002
2015-02-13,0.18367527,0.12580629,0.11361549,0.12716831,0.11328966,0.156445,0.18
2015-02-16,0.18014781,0.12597018,0.11482228,0.12502566,0.115241975,0.15879218,0.18000002
2015-02-17,0.17595047,0.12284946,0.11197593,0.12053363,0.11739926,0.16302642,0.18826477
2015-02-25,0.177073,0.12375318,0.11423237,0.12265419,0.11609209,0.16088589,0.18530932
2015-02-26,0.1772653,0.13064095,0.11665638,0.121943995,0.11847767,0.14970477,0.18531093
