date,hs300,zz500,kc50,consume,chip,gold,bond10
2015-01-05,3641.541,5417.017,,6678.101,2889.767,,145.798
2015-01-06,3641.059,5479.864,,6728.732,2880.063,,145.818
2015-01-07,3643.79,5488.242,,6663.958,2889.247,,145.837
2015-01-08,3559.259,5444.037,,6660.761,2797.281,,145.878
2015-01-09,3546.723,5409.058,,6582.684,2754.811,,146.028
2015-01-12,3513.576,5332.221,,6530.743,2666.355,,146.09
2015-01-13,3514.04,5405.091,,6537.023,2676.014,,146.146
2015-01-14,3502.423,5379.738,,6452.041,2670.193,,146.217
2015-01-15,3604.121,5449.038,,6512.462,2743.352,,146.38
2015-01-16,3635.146,5520.123,,6570.021,2755.661,,146.472
2015-01-19,3355.155,5281.895,,6258.912,2536.651,,146.553
2015-01-20,3396.222,5472.514,,6416.927,2586.707,,146.584
2015-01-21,3548.885,5611.694,,6577.723,2679.223,,146.622
2015-01-22,3567.613,5690.156,,6604.365,2693.744,,146.594
2015-01-23,3571.732,5633.289,,6551.325,2689.922,,146.587
2015-01-26,3607.985,5758.979,,6677.612,2734.533,,146.67
2015-01-27,3574.931,5773.816,,6669.47,2721.017,,146.734
2015-01-28,3525.323,5739.919,,6601.756,2707.97,,146.732
2015-01-29,3481.798,5701.205,,6527.518,2732.8,,146.774
2015-01-30,3434.39,5632.728,,6516.757,2708.673,,146.672
2015-02-02,3353.96,5609.389,,6432.34,2627.172,,146.847
2015-02-03,3437.445,5707.476,,6499.142,2665.144,,146.871
2015-02-04,3401.768,5683.519,,6448.973,2661.789,,146.922
2015-02-05,3366.946,5654.217,,6381.65,2612.633,,146.968
2015-02-06,3312.42,5534.785,,6306.326,2524.585,,147.002
2015-02-09,3345.921,5504.974,,6377.901,2504.378,,147.059
2015-02-10,3406.943,5580.704,,6430.349,2558.753,,147.067
2015-02-11,3434.124,5641.786,,6503.833,2572.664,,147.091
2015-02-12,3442.874,5681.341,,6558.356,2585.969,,147.262
2015-02-13,3469.828,5769.272,,6616.88,2634.586,,147.402
2015-02-16,3499.483,5869.713,,6679.092,2655.433,,147.438
2015-02-17,3522.322,5911.098,,6673.948,2671.598,,147.459
2015-02-25,3478.729,5906.538,,6649.39,2708.395,,147.622
2015-02-26,3566.295,5969.557,,6737.847,2756.906,,147.645
2015-02-27,3572.843,6018.463,,6782.82,2760.45,,147.598
2015-03-02,3601.265,6139.792,,6830.983,2814.263,,147.675
2015-03-03,3507.9,6118.656,,6732.981,2776.346,,147.686
2015-03-04,3530.822,6210.421,,6884.596,2780.106,,147.715
2015-03-05,3496.344,6208.988,,6909.185,2733.912,,147.735
2015-03-06,3478.52,6133.026,,6867.791,2723.001,,147.74
2015-03-09,3537.75,6212.236,,7013.538,2759.262,,147.752
2015-03-10,3520.611,6276.485,,7044.499,2778.379,,147.789
2015-03-11,3524.653,6262.892,,7022.301,2767.909,,147.795
2015-03-12,3592.844,6260.137,,7025.998,2790.788,,147.808
2015-03-13,3617.657,6329.576,,7084.312,2815.025,,147.866
2015-03-16,3705.671,6516.765,,7274.913,2884.05,,147.874
2015-03-17,3757.122,6618.054,,7354.231,2939.255,,147.918
2015-03-18,3846.055,6728.068,,7479.529,2984.089,,147.84
2015-03-19,3839.739,6782.463,,7439.708,3023.144,,147.944
2015-03-20,3892.574,6850.897,,7465.133,3051.182,,147.942
2015-03-23,3972.061,7017.154,,7604.815,3139.351,,148.0
2015-03-24,3973.046,7046.123,,7607.686,3135.755,,147.994
2015-03-25,3940.412,7124.872,,7676.766,3088.33,,148.007
2015-03-26,3949.999,7074.437,,7758.522,3083.237,,148.013
2015-03-27,3971.697,7155.945,,7755.076,3095.202,,148.001
2015-03-30,4088.178,7245.497,,7832.485,3161.718,,148.029
2015-03-31,4051.204,7253.104,,7794.719,3119.209,,147.966
2015-04-01,4123.895,7425.733,,7913.985,3174.075,,148.145
2015-04-02,4124.776,7560.648,,7998.397,3201.48,,148.066
2015-04-03,4170.538,7679.01,,8078.124,3245.966,,148.138
2015-04-07,4260.044,7863.284,,8288.575,3325.827,,148.179
2015-04-08,4295.803,7807.997,,8292.369,3293.305,,148.221
2015-04-09,4262.138,7746.151,,8205.9,3251.681,,148.235
2015-04-10,4344.416,7952.189,,8461.921,3296.253,,148.237
2015-04-13,4421.073,8122.893,,8575.224,3373.018,,148.264
2015-04-14,4438.184,8119.959,,8588.687,3488.331,,148.35
2015-04-15,4380.513,7802.747,,8311.499,3385.012,,148.127
2015-04-16,4513.546,7912.088,,8643.489,3491.155,,148.323
2015-04-17,4596.136,7980.76,,8676.148,3552.747,,148.32
2015-04-20,4521.919,7839.901,,8564.223,3499.358,,148.399
2015-04-21,4619.164,8112.687,,8972.376,3598.44,,148.48
2015-04-22,4739.814,8323.427,,9136.458,3761.927,,148.505
2015-04-23,4740.892,8410.703,,9111.73,3758.959,,148.43
2015-04-24,4702.641,8419.095,,9085.776,3726.784,,148.451
2015-04-27,4807.592,8513.016,,9150.529,3806.635,,148.626
2015-04-28,4741.861,8266.483,,8820.133,3738.941,,148.641
2015-04-29,4774.326,8428.254,,8966.679,3743.762,,148.533
2015-04-30,4749.886,8469.673,,8920.549,3836.291,,148.522
2015-05-04,4787.741,8510.481,,9007.121,4077.182,,148.579
2015-05-05,4596.837,8199.344,,8672.18,3838.582,,148.562
2015-05-06,4553.327,8082.999,,8554.033,3731.469,,148.571
2015-05-07,4470.089,7903.478,,8476.008,3534.657,,148.57
2015-05-08,4558.404,8201.293,,8694.847,3633.455,,148.831
2015-05-11,4690.532,8558.218,,8931.998,3786.711,,148.863
