日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM中位数,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-17,=18079.7400,=19705.4225,=6510062389541.6992,=5369269509169,=3456322512483.7627,=119.0470,=0.9116,=105.8703,=85.3494,=61.6876
2026-07-16,=19471.2900,=21222.0959,=7006303752404.8398,=5760752266150,=3721254672540.5679,=126.2418,=0.9474,=105.8596,=85.3444,=61.6876
2026-07-15,=20652.3100,=22509.3087,=7341985600558.0420,=6074368240737,=3946145220509.2920,=137.0874,=0.9803,=105.8592,=85.2753,=61.6876
2026-07-14,=21802.2700,=23762.6735,=7743929078724.0498,=6408449572323,=4163695236221.4570,=145.9245,=0.9880,=105.8592,=85.2063,=61.6233
2026-07-13,=21414.6800,=23340.2290,=7680007024230.9102,=6330033720194,=4089730265708.4790,=147.3801,=0.9886,=105.8417,=85.1814,=61.6233
2026-07-10,=22325.1000,=24332.5120,=7905017170874.5098,=6552825414319,=4258726393463.6860,=150.3151,=0.9910,=105.8368,=85.1565,=61.6233
2026-07-09,=23874.9100,=26021.6764,=8445308895075.4600,=7017610585574,=4556323934130.6572,=163.7488,=0.9964,=105.7971,=85.0721,=61.6233
2026-07-08,=21833.9100,=23797.1618,=7720250997443.9102,=6454356996008,=4165628696289.3481,=148.8177,=0.9910,=105.7957,=84.9877,=61.6233
2026-07-07,=22004.1900,=23982.7471,=7707970697901.9219,=6486291468681,=4194675992739.2559,=151.9791,=0.9922,=105.7957,=84.9873,=61.6087
2026-07-06,=22108.0300,=24095.9260,=7689466983259.8398,=6474827677709,=4212857932380.5322,=149.8713,=0.9922,=105.7877,=84.9870,=61.6087
2026-07-03,=21934.4800,=23906.7732,=7588797104537.0898,=6407279033899,=4179559955483.6362,=153.3146,=0.9934,=105.7437,=84.9845,=61.6087
2026-07-02,=22163,=24154.0544,=7689677259371.6602,=6481108816708,=4223814944443.5010,=156.5700,=0.9952,=105.7096,=84.9819,=61.6087
2026-07-01,=24286.8800,=26468.7335,=8374565670129.8584,=7073819298636,=4629504833051.8701,=174.8755,=0.9988,=105.6666,=84.9809,=61.6087
2026-06-30,=24861.0500,=27094.4863,=8594577350429.4102,=7259134682014,=4740485755237.6699,=178.5724,=1,=105.6666,=84.9799,=61.5901
2026-06-29,=24226.2400,=26401.4791,=8317270539154.3066,=7042277622283,=4612937682979.6172,=175.0054,=1,=105.6630,=84.9639,=61.5901
2026-06-26,=23056.2800,=25126.4794,=7975446344941.8496,=6731875658981,=4391409403915.0981,=170.4441,=1,=105.6292,=84.9480,=61.5901
2026-06-25,=23318.2800,=25411.9976,=8109819228309.9102,=6815583321493,=4445451308105.1914,=168.7163,=0.9994,=105.6020,=84.9453,=61.5901
2026-06-24,=22111.0400,=24096.2257,=7731537915601.1406,=6485149641658,=4217543435967.8242,=154.3866,=0.9982,=105.5861,=84.9426,=61.5901
2026-06-23,=20987.7000,=22872.0271,=7351703089873.8301,=6181423819870,=4006327887522.9199,=152.4514,=0.9976,=105.5861,=84.9343,=61.5746
2026-06-22,=21473.8000,=23400.1399,=7419647373760.5918,=6299373604509,=4100907742994.6001,=147.4098,=0.9976,=105.5716,=84.9260,=61.5746
2026-06-18,=20721.2800,=22580.1100,=7223521390241.2510,=6136192314884,=3963868978848.7817,=145.3042,=0.9964,=105.5612,=84.9219,=61.5746
2026-06-17,=19831.5600,=21610.5728,=6874624115723.9014,=5837467914032,=3786788763638.4058,=136.3413,=0.9891,=105.5464,=84.9178,=61.5746
2026-06-16,=18702.0700,=20379.7648,=6522011346398.1104,=5524676282930,=3575593082724.0649,=121.4043,=0.9365,=105.5458,=84.9079,=61.5746
2026-06-15,=18523.8300,=20185.0628,=6497228933413.8496,=5503901840600,=3545012756773.1201,=123.7869,=0.9492,=105.5458,=84.8980,=61.5363
