日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-07-17,=12327.9000,=17295.7800,=3867205312775.4102,=3539871471203,=1747150613827.4231,=3.3910,=0.0841,=6.6974,=5.0605,=3.8573
2026-07-16,=12536.4900,=17579.7200,=3917868936568.3198,=3584480778554,=1768529718720.8701,=3.4300,=0.0904,=6.6995,=5.0606,=3.8573
2026-07-15,=12439.5200,=17374.9400,=3894021685029.4609,=3564786415354,=1756912111915.2202,=3.3702,=0.0815,=6.6995,=5.0608,=3.8575
2026-07-14,=11997.6600,=16757.7800,=3764615653766.2905,=3446562190692,=1699026655662.8943,=3.2582,=0.0549,=6.6995,=5.0624,=3.8580
2026-07-13,=11953.6100,=16696.2500,=3749826531103.7202,=3432351807805,=1692985266805.0906,=3.2454,=0.0525,=6.6995,=5.0639,=3.8587
2026-07-10,=11968.1500,=16715.8500,=3747676555434.5190,=3431126058871,=1691240903985.1182,=3.2433,=0.0515,=6.6995,=5.0646,=3.8587
2026-07-09,=11736.4700,=16391.6300,=3674602259984.2500,=3364111476377,=1659377317753.1021,=3.1792,=0.0348,=6.6998,=5.0653,=3.8587
2026-07-08,=11853.8200,=16555.5300,=3717570730759.0103,=3405501999982,=1678919647054.9976,=3.2164,=0.0431,=6.6998,=5.0654,=3.8594
2026-07-07,=11942.8500,=16679.8700,=3720534174264.2100,=3403519464053,=1681112257361.3899,=3.2189,=0.0438,=6.6998,=5.0654,=3.8600
2026-07-06,=12125.1800,=16934.5200,=3781372883873.3789,=3459616950491,=1706419928279.6499,=3.2716,=0.0572,=6.6998,=5.0680,=3.8603
2026-07-03,=11888.2800,=16603.6600,=3725148660498.7998,=3411746420413,=1678835432499.6602,=3.2229,=0.0451,=6.6998,=5.0706,=3.8614
2026-07-02,=11885.5800,=16596.6300,=3730629610829.6299,=3437541824555,=1682533784486.0845,=3.2268,=0.0460,=6.7000,=5.0707,=3.8614
2026-07-01,=11921.4700,=16646.7300,=3730828662608.0698,=3437162323754,=1681324018671.8042,=3.2270,=0.0460,=6.7000,=5.0708,=3.8623
2026-06-30,=11658.4600,=16279.4800,=3670753232876.3701,=3387969928141,=1653837618888.9036,=3.1750,=0.0339,=6.7000,=5.0710,=3.8643
2026-06-29,=11779.9200,=16435.2900,=3705438497594.1382,=3417232441329,=1669930894480.4617,=3.1989,=0.0390,=6.7000,=5.0712,=3.8656
2026-06-26,=11451.0900,=15976.5100,=3613457297878.0308,=3331823489520,=1627194224046.8601,=3.1195,=0.0247,=6.7000,=5.0714,=3.8658
2026-06-25,=11592.1800,=16135.2000,=3694360091674.5703,=3411171365808,=1661627763019.3645,=3.0957,=0.0223,=6.7010,=5.0716,=3.8658
2026-06-24,=11564.9200,=16097.2600,=3684781655792.2412,=3400790900198,=1656808215894.2500,=3.0877,=0.0209,=6.7010,=5.0720,=3.8658
2026-06-23,=11746.1100,=16332.9200,=3736214573913.3179,=3446620514913,=1680233112900.4199,=3.1273,=0.0252,=6.7010,=5.0723,=3.8666
2026-06-22,=11933.8800,=16589.4500,=3792983596949.9888,=3499627742518,=1706424076337.8440,=3.1736,=0.0323,=6.7010,=5.0729,=3.8669
2026-06-18,=11832.4800,=16448.5000,=3744536837043.0298,=3453459621087,=1683933586404.1399,=3.1330,=0.0262,=6.7010,=5.0734,=3.8675
2026-06-17,=12111.3800,=16831.7000,=3828650423210.6802,=3530658498753,=1721540811363.3721,=3.2018,=0.0384,=6.7012,=5.0738,=3.8675
2026-06-16,=12234.7800,=16989.1600,=3872266853592.8599,=3568822753659,=1740227070187.1541,=3.2334,=0.0449,=6.7012,=5.0741,=3.8682
2026-06-15,=12453.5700,=17292.9600,=3934258299925.5410,=3624949492278,=1768152136949.0081,=3.2852,=0.0581,=6.7012,=5.0745,=3.8689
2026-06-12,=12532.0100,=17381.2100,=4017229560115.6992,=3705322831127,=1809550890916.5120,=3.2700,=0.0532,=6.7012,=5.0748,=3.8709
2026-06-11,=12412.8100,=17214.6400,=3977528047951.8398,=3671878389198,=1792870972624.8464,=3.2366,=0.0464,=6.7012,=5.0754,=3.8711
2026-06-10,=12420.4600,=17225.2400,=3975981368811.8101,=3667967967166,=1791428467460.4141,=3.2353,=0.0457,=6.7028,=5.0760,=3.8711
2026-06-09,=12302.3500,=17061.4500,=3932140160305.9009,=3626385489669,=1771219779251.0295,=3.1997,=0.0379,=6.7028,=5.0764,=3.8712
2026-06-08,=12364.6500,=17147.8600,=3951115442425.5498,=3645120941738,=1780564644600.8335,=3.2151,=0.0406,=6.7028,=5.0768,=3.8712
2026-06-05,=12557.5100,=17410.3800,=4003300792466.5308,=3692284387914,=1802944192695.2524,=3.2563,=0.0494,=6.7028,=5.0775,=3.8727
2026-06-04,=12623.7600,=17432.8500,=4006648586394.9302,=3695886800789,=1808051345784.8535,=3.2432,=0.0467,=6.7028,=5.0781,=3.8760
2026-06-03,=12856.3300,=17740.8000,=4073558065846.1211,=3753771795261,=1836536625486.6875,=3.2933,=0.0599,=6.7039,=5.0800,=3.8760
2026-06-02,=13034.5700,=17979.3600,=4138458966668.8198,=3813213102302,=1865106637040.1599,=3.3424,=0.0687,=6.7039,=5.0819,=3.8774
2026-06-01,=13244.4800,=18268.4600,=4185941986086.4102,=3854188499644,=1885940605625.7395,=3.3805,=0.0765,=6.7039,=5.0820,=3.8785
2026-05-29,=13190.3900,=18193.8500,=4189991576584.6699,=3862601696716,=1889122092687.4116,=3.3838,=0.0765,=6.7039,=5.0821,=3.8786
2026-05-28,=12865.4100,=17745.5900,=4069919056588.0698,=3749573288476,=1833822110207.1985,=3.2868,=0.0570,=6.7039,=5.0824,=3.8787
2026-05-27,=13099.6500,=18067.6000,=4151302290140.9302,=3824021834990,=1869304217215.6699,=3.3525,=0.0702,=6.7055,=5.0827,=3.8787
2026-05-26,=13074.6100,=18016.2200,=4110709491533.8198,=3784342906208,=1853140738085.1465,=3.3131,=0.0639,=6.7055,=5.0827,=3.8791
2026-05-25,=13104.6400,=18049.8300,=4134015921145.0986,=3809386357559,=1862288805056.5315,=3.3260,=0.0654,=6.7055,=5.0827,=3.8791
2026-05-22,=13093.3400,=18034.2700,=4137037425066.8589,=3811210958596,=1862875114489.2544,=3.3284,=0.0656,=6.7055,=5.0830,=3.8797
2026-05-21,=13270.0800,=18277.7100,=4192190894349.5210,=3863258817448,=1890058555490.5640,=3.3728,=0.0744,=6.7055,=5.0832,=3.8801
2026-05-20,=13420.8000,=18483.4800,=4230777072330.7900,=3897104048284,=1906245910900.1096,=3.4031,=0.0776,=6.7064,=5.0844,=3.8801
2026-05-19,=13451.4600,=18525.7100,=4247127171147.1001,=3910692839382,=1913532437201.2280,=3.4163,=0.0791,=6.7064,=5.0855,=3.8802
2026-05-18,=13467.5700,=18547.8900,=4249274462522.2700,=3912923994043,=1914210154697.0603,=3.4180,=0.0791,=6.7064,=5.0871,=3.8806
2026-05-15,=13642.8100,=18781.5700,=4295479840818.6694,=3951725240816,=1935507258258.8601,=3.4512,=0.0857,=6.7064,=5.0888,=3.8831
2026-05-14,=13850.6700,=19067.7300,=4352859857293.6899,=4004978557057,=1960139379464.7200,=3.4974,=0.0960,=6.7064,=5.0888,=3.8845
2026-05-13,=13839.3100,=19052.1000,=4355778558935.4189,=4005848374334,=1960347960518.6597,=3.4997,=0.0968,=6.7077,=5.0889,=3.8845
2026-05-12,=13938.7100,=19188.9400,=4386589846841.7998,=4034753237321,=1974848330682.0896,=3.5245,=0.1044,=6.7077,=5.0890,=3.8846
2026-05-11,=14146.9700,=19475.6400,=4435101766829.7002,=4077283718202,=1997698190645.2600,=3.5634,=0.1178,=6.7077,=5.0891,=3.8846
2026-05-08,=14116.9500,=19434.3100,=4443811005627.6807,=4088227490889,=1995304325916.8997,=3.5704,=0.1198,=6.7077,=5.0902,=3.8861
2026-05-07,=14214.3600,=19568.4100,=4463413397332.0996,=4105774284925,=2003547092753.7695,=3.5862,=0.1243,=6.7077,=5.0913,=3.8863
2026-05-06,=14272.1200,=19647.9200,=4477518762516.7695,=4116421287578,=2010731858315.4297,=3.5975,=0.1272,=6.7082,=5.0919,=3.8863
2026-04-30,=14358.2300,=19766.4700,=4511969248634.1699,=4150988604855,=2025227604103.1597,=3.6252,=0.1366,=6.7082,=5.0926,=3.8868
2026-04-29,=14352.7300,=19758.9100,=4536968036493.9805,=4178086099275,=2019366941077.4705,=3.7477,=0.1672,=6.7082,=5.0950,=3.8884
2026-04-28,=14103.8500,=19404.0800,=4498226335356.2295,=4145827720900,=1996830517310.7903,=3.7235,=0.1623,=6.7082,=5.0975,=3.8885
2026-04-27,=14051.1500,=19331.5800,=4488132227004.8896,=4137719031290,=1991425984501.5801,=3.7333,=0.1641,=6.7082,=5.0978,=3.8887
2026-04-24,=14198.5100,=19534.3100,=4575848651483.5195,=4222826969453,=2030746639238.5701,=3.8973,=0.2041,=6.7084,=5.0982,=3.8887
2026-04-23,=14193.6000,=19527.5700,=4534798642900.8096,=4179299949373,=2011342913352.9597,=3.8114,=0.1777,=6.7084,=5.0986,=3.8887
2026-04-22,=14187.8000,=19519.5900,=4518719140259.0791,=4159906605785,=2005014642893.6204,=3.8032,=0.1767,=6.7084,=5.0991,=3.8894
2026-04-21,=14285.9000,=19654.5500,=4541717119266.5107,=4180220024052,=2016085183137.3701,=3.8521,=0.1873,=6.7084,=5.0996,=3.8896
2026-04-20,=14275.1100,=19633.0100,=4535673404376.8115,=4174475368596,=2014344283409.0803,=3.8445,=0.1839,=6.7084,=5.1001,=3.8905
2026-04-17,=14276.3700,=19634.7300,=4533542217399.7100,=4171528641305,=2013009982320.9500,=3.8435,=0.1835,=6.7087,=5.1002,=3.8905
2026-04-16,=14490.6600,=19929.4600,=4634635616878.6104,=4269289135429,=2060984537411.0095,=3.9886,=0.2296,=6.7087,=5.1002,=3.8919
2026-04-15,=14481.9200,=19917.4400,=4634575515929.5400,=4271457293775,=2073660474049.1299,=3.9885,=0.2294,=6.7087,=5.1010,=3.8919
2026-04-14,=14457.6900,=19884.1100,=4607657743749.8486,=4244820874826,=2061817044487.2700,=3.9650,=0.2236,=6.7087,=5.1017,=3.8919
2026-04-13,=14319.0500,=19693.4300,=4579813507314.1689,=4221554512979,=2047465922494.7900,=3.9411,=0.2153,=6.7087,=5.1027,=3.8919
2026-04-10,=14319.4300,=19693.9600,=4590750099562.3096,=4234287114852,=2052062351784.2100,=3.9512,=0.2178,=6.7088,=5.1037,=3.8905
2026-04-09,=14363.5200,=19754.6000,=4605847740059.8896,=4249179235377,=2059319474031.6003,=3.9645,=0.2228,=6.7088,=5.1038,=3.8905
2026-04-08,=14560.5300,=20025.5500,=4652592549117.5303,=4290196359405,=2080034799209.7507,=4.0047,=0.2329,=6.7088,=5.1038,=3.8905
2026-04-07,=14354.3500,=19741.9900,=4585476845754.2793,=4228914722427,=2048824597104.4497,=3.9469,=0.2170,=6.7088,=5.1038,=3.8905
2026-04-03,=14371.8400,=19766.0500,=4608937663167.1699,=4255528656647,=2060116559713.5105,=3.9669,=0.2237,=6.7088,=5.1039,=3.8905
2026-04-02,=14571.8400,=20041.1100,=4652577003036.7900,=4292360057475,=2079206452156.6399,=4.0045,=0.2324,=6.7094,=5.1044,=3.8896
2026-04-01,=14455.4900,=19881.0900,=4629942189284.9287,=4271030080252,=2056488923319.5601,=3.9850,=0.2273,=6.7094,=5.1049,=3.8896
2026-03-31,=14326.9400,=19704.2900,=4587502213135.7793,=4233075578895,=2040383785921.5601,=3.9484,=0.2175,=6.7094,=5.1050,=3.8896
2026-03-30,=14486.9800,=19924.3900,=4593629549050.6201,=4232070254769,=2039488928948.3999,=3.9586,=0.2210,=6.7094,=5.1052,=3.8896
2026-03-27,=14476.7400,=19910.3200,=4583563223977.0508,=4220058686851,=2035537029374.5305,=3.9526,=0.2188,=6.7094,=5.1053,=3.8896
2026-03-26,=14222.8400,=19561.1200,=4509398035931.3711,=4152172608033,=2004601618343.6997,=3.8923,=0.2009,=6.7095,=5.1055,=3.8894
2026-03-25,=14365.1300,=19756.8100,=4551223623462.9209,=4189053218949,=2021747308902.7795,=3.9284,=0.2118,=6.7095,=5.1065,=3.8894
2026-03-24,=14255.9700,=19606.6900,=4524999395381.7402,=4166691438420,=2010077121923.7800,=3.9096,=0.2064,=6.7095,=5.1076,=3.8894
2026-03-23,=14184.7700,=19508.7500,=4509307618457.3096,=4150202417575,=2003195058284.0703,=3.8960,=0.2033,=6.7095,=5.1077,=3.8894
2026-03-20,=14761.7900,=20302.3500,=4668538604123.1309,=4290058387188,=2073305758699.0601,=4.0322,=0.2351,=6.7095,=5.1077,=3.8894
2026-03-19,=14839.0400,=20408.6000,=4695949949804.3193,=4315512099297,=2083953265604.2695,=4.0559,=0.2388,=6.7095,=5.1095,=3.8887
2026-03-18,=15038.0700,=20682.3400,=4753312521074.7305,=4367872834803,=2109876085280.3296,=4.1054,=0.2567,=6.7095,=5.1114,=3.8887
2026-03-17,=15182.5100,=20880.9800,=4802918498397.2695,=4412231307619,=2130943622309.1997,=4.1483,=0.2693,=6.7095,=5.1116,=3.8887
2026-03-16,=15203.5900,=20909.9800,=4783314339732.7100,=4390839113055,=2120855133159.1909,=4.1314,=0.2637,=6.7095,=5.1118,=3.8887
2026-03-13,=15037.7900,=20681.9500,=4698045359605.4688,=4306222882983,=2082998013364.6897,=4.0577,=0.2393,=6.7095,=5.1128,=3.8887
2026-03-12,=14996.3300,=20624.9300,=4656274432178.4102,=4268459638359,=2068703011891.5601,=4.0216,=0.2340,=6.7102,=5.1137,=3.8885
2026-03-11,=14930.4300,=20534.2900,=4656989828860.2891,=4270903426994,=2066226746888.3203,=4.0223,=0.2343,=6.7102,=5.1139,=3.8885
2026-03-10,=14848.1300,=20421.1000,=4642180918791.7305,=4258898434268,=2059495200219.9500,=4.0095,=0.2314,=6.7102,=5.1141,=3.8885
2026-03-09,=14865.4200,=20443.9500,=4643509924539.8906,=4254688751632,=2058316928524.4604,=4.0102,=0.2314,=6.7102,=5.1144,=3.8885
2026-03-06,=14896.7700,=20487.0600,=4644930799379.5498,=4268538334264,=2063414922432.2495,=4.0112,=0.2317,=6.7102,=5.1147,=3.8885
2026-03-05,=14530.5400,=19983.3900,=4567358113063.9902,=4201579763481,=2028450637960.3203,=3.9443,=0.2165,=6.7119,=5.1150,=3.8884
2026-03-04,=14578.5000,=20049.3500,=4575564756688.7510,=4206195248782,=2033430511444.5205,=3.9513,=0.2175,=6.7119,=5.1152,=3.8884
2026-03-03,=14729.1900,=20256.6000,=4635122386645.4600,=4267309933778,=2059392488005.1504,=4.0028,=0.2307,=6.7119,=5.1155,=3.8884
2026-03-02,=14771.4000,=20314.6400,=4656023209181.3398,=4288224649167,=2070220899352.4304,=4.0208,=0.2327,=6.7119,=5.1157,=3.8884
2026-02-27,=14897.7900,=20488.4600,=4699499307247.2998,=4327866209310,=2088708350913.3904,=4.0584,=0.2382,=6.7119,=5.1180,=3.8884
2026-02-26,=14816.5100,=20376.3900,=4697830672392.7402,=4330235406309,=2086557466493.7100,=4.0564,=0.2375,=6.7120,=5.1202,=3.8868
2026-02-25,=14934.3100,=20538.4000,=4749114791041.1191,=4381346077929,=2109455989051.1799,=4.1007,=0.2534,=6.7120,=5.1207,=3.8868
2026-02-24,=14850.0400,=20422.5100,=4707940290785.4600,=4342018751187,=2090257309811.1597,=4.0651,=0.2401,=6.7120,=5.1213,=3.8868
2026-02-13,=14952.5200,=20563.4400,=4747621961611.6406,=4379469665446,=2108428510934.4199,=4.0994,=0.2528,=6.7120,=5.1216,=3.8868
2026-02-12,=14996.4400,=20623.8300,=4757038333635.3906,=4386580501972,=2112314552757.1499,=4.1075,=0.2548,=6.7120,=5.1219,=3.8868
2026-02-11,=15197.6100,=20900.5000,=4819139421446.6807,=4443315159899,=2139446163999.0200,=4.1611,=0.2693,=6.7123,=5.1221,=3.8863
2026-02-10,=15179.8400,=20876.0600,=4815774851070.9717,=4440817496534,=2138315370438.7200,=4.1582,=0.2686,=6.7123,=5.1223,=3.8863
2026-02-09,=15363.3800,=21126.0800,=4875056849460.4102,=4496297300881,=2164795682061.7395,=4.2075,=0.2803,=6.7123,=5.1234,=3.8863
2026-02-06,=15333.4800,=21084.9600,=4857497882741.7402,=4480207324318,=2157108549267.5105,=4.1923,=0.2762,=6.7123,=5.1245,=3.8863
2026-02-05,=15518.6100,=21332.2000,=4927647255085.5107,=4560442447591,=2193463314318.8000,=4.2464,=0.2909,=6.7123,=5.1249,=3.8863
2026-02-04,=15391.3300,=21157.2400,=4863915426314.7197,=4501121845133,=2167664838992.1697,=4.1915,=0.2755,=6.7138,=5.1253,=3.8861
2026-02-03,=15073.7500,=20720.6900,=4745238815118.1299,=4388492083038,=2115165537193.5403,=4.0893,=0.2501,=6.7138,=5.1261,=3.8861
2026-02-02,=14936.8700,=20532.5300,=4659444294889.7793,=4315541739218,=2079984343468.7400,=4.0153,=0.2325,=6.7138,=5.1269,=3.8861
2026-01-30,=14964.9900,=20571.1800,=4635652268249.8516,=4284535598716,=2069113679275.5300,=3.9948,=0.2283,=6.7138,=5.1269,=3.8861
2026-01-29,=15341.6900,=21074.3500,=4763441086292.2295,=4404962630314,=2122739426896.6204,=4.0979,=0.2515,=6.7138,=5.1270,=3.8861
2026-01-28,=14575.3300,=20021.6300,=4472210302759.7090,=4126046500345,=1995473393632.5500,=3.8473,=0.1862,=6.7170,=5.1274,=3.8846
2026-01-27,=14583.6700,=20033.0900,=4493441270063.0391,=4146692876668,=2006040231400.9199,=3.8656,=0.1930,=6.7170,=5.1278,=3.8861
2026-01-26,=14819.2100,=20356.6300,=4541315227885.3896,=4187017313205,=2027339943768.4905,=3.9068,=0.2072,=6.7170,=5.1280,=3.8863
2026-01-23,=14860.6100,=20413.5000,=4545696704520.3711,=4193727397388,=2029194484295.2400,=3.9106,=0.2075,=6.7170,=5.1283,=3.8863
2026-01-22,=14860.5800,=20413.4700,=4549014031043.1904,=4198763117223,=2030581322097.6599,=3.9134,=0.2083,=6.7170,=5.1286,=3.8863
2026-01-21,=14899.8500,=20467.4100,=4569365779817.0293,=4217756375275,=2039431486059.1599,=3.9309,=0.2128,=6.7191,=5.1289,=3.8861
2026-01-20,=15098.3500,=20740.0800,=4635844119287.7813,=4280592202433,=2068825506363.5093,=3.9881,=0.2268,=6.7191,=5.1295,=3.8861
2026-01-19,=15047.2100,=20669.8400,=4625137343544.0215,=4271366621818,=2065379359728.2505,=3.9789,=0.2239,=6.7191,=5.1301,=3.8861
2026-01-16,=15035.5700,=20653.8500,=4632059339515.2900,=4280491569851,=2066993712094.3999,=3.9849,=0.2257,=6.7191,=5.1306,=3.8861
2026-01-15,=15213.5600,=20898.3400,=4673422582284.3604,=4317568487019,=2087241210707.7800,=4.0204,=0.2312,=6.7191,=5.1311,=3.8861
2026-01-14,=15271.5900,=20978.0600,=4696357740639.8701,=4338124714671,=2097660960699.7400,=4.0402,=0.2338,=6.7191,=5.1315,=3.8846
2026-01-13,=15342.4400,=21075.3700,=4725934058888.4307,=4369027210091,=2110505676147.0801,=4.0656,=0.2383,=6.7191,=5.1319,=3.8846
2026-01-12,=15496.5800,=21287.1200,=4769106576724.4297,=4407889569931,=2130420509910.5903,=4.1028,=0.2513,=6.7191,=5.1322,=3.8846
2026-01-09,=15414.9800,=21175.0300,=4743690752222.5908,=4385339372275,=2120365047685.2505,=4.0809,=0.2439,=6.7191,=5.1325,=3.8846
