date,m2数量(亿元),m2同比增长,m2环比增长,m1数量(亿元),m1同比增长,m1环比增长,m0数量(亿元),m0同比增长,m0环比增长,ppi_yoy,ppi_acc_yoy,cpi_current,cpi_yoy,cpi_mom,cpi_acc,pmi_主要原材料购进价格指数,pmi_产成品库存指数,pmi_从业人员指数,pmi_供应商配送时间指数,pmi_出厂价格指数,pmi_制造业采购经理指数,pmi_原材料库存指数,pmi_在手订单指数,pmi_新出口订单指数,pmi_新订单指数,pmi_生产指数,pmi_生产经营活动预期指数,pmi_进口指数,pmi_采购量指数,社融增量(亿元),社融增量_12月滚动和,社融存量增速(近似)
2015-01-05,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516.0,,
2015-01-06,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516.0,,
2015-01-07,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516.0,,
2015-01-08,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516.0,,
2015-01-09,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516.0,,
2015-01-12,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516.0,,
2015-01-13,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516.0,,
2015-01-14,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516.0,,
2015-01-15,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516.0,,
2015-01-16,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516.0,,
2015-01-19,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516.0,,
2015-01-20,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516.0,,
2015-01-21,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516.0,,
2015-01-22,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516.0,,
2015-01-23,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516.0,,
2015-01-26,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516.0,,
2015-01-27,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516.0,,
2015-01-28,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516.0,,
2015-01-29,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516.0,,
2015-01-30,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516.0,,
2015-02-02,1257380.48,0.125,0.0118,334439.22,0.056,-0.0393,72896.19,0.17,0.1563,-4.7976,95.4414,101.4,0.014,0.012,101.1,43.9,47.0,47.8,49.9,,49.9,48.2,43.8,48.5,50.4,51.4,54.0,47.5,49.4,13609.0,,
2015-02-03,1257380.48,0.125,0.0118,334439.22,0.056,-0.0393,72896.19,0.17,0.1563,-4.7976,95.4414,101.4,0.014,0.012,101.1,43.9,47.0,47.8,49.9,,49.9,48.2,43.8,48.5,50.4,51.4,54.0,47.5,49.4,13609.0,,
2015-02-04,1257380.48,0.125,0.0118,334439.22,0.056,-0.0393,72896.19,0.17,0.1563,-4.7976,95.4414,101.4,0.014,0.012,101.1,43.9,47.0,47.8,49.9,,49.9,48.2,43.8,48.5,50.4,51.4,54.0,47.5,49.4,13609.0,,
2015-02-05,1257380.48,0.125,0.0118,334439.22,0.056,-0.0393,72896.19,0.17,0.1563,-4.7976,95.4414,101.4,0.014,0.012,101.1,43.9,47.0,47.8,49.9,,49.9,48.2,43.8,48.5,50.4,51.4,54.0,47.5,49.4,13609.0,,
2015-02-06,1257380.48,0.125,0.0118,334439.22,0.056,-0.0393,72896.19,0.17,0.1563,-4.7976,95.4414,101.4,0.014,0.012,101.1,43.9,47.0,47.8,49.9,,49.9,48.2,43.8,48.5,50.4,51.4,54.0,47.5,49.4,13609.0,,
2015-02-09,1257380.48,0.125,0.0118,334439.22,0.056,-0.0393,72896.19,0.17,0.1563,-4.7976,95.4414,101.4,0.014,0.012,101.1,43.9,47.0,47.8,49.9,,49.9,48.2,43.8,48.5,50.4,51.4,54.0,47.5,49.4,13609.0,,
2015-02-10,1257380.48,0.125,0.0118,334439.22,0.056,-0.0393,72896.19,0.17,0.1563,-4.7976,95.4414,101.4,0.014,0.012,101.1,43.9,47.0,47.8,49.9,,49.9,48.2,43.8,48.5,50.4,51.4,54.0,47.5,49.4,13609.0,,
2015-02-11,1257380.48,0.125,0.0118,334439.22,0.056,-0.0393,72896.19,0.17,0.1563,-4.7976,95.4414,101.4,0.014,0.012,101.1,43.9,47.0,47.8,49.9,,49.9,48.2,43.8,48.5,50.4,51.4,54.0,47.5,49.4,13609.0,,
2015-02-12,1257380.48,0.125,0.0118,334439.22,0.056,-0.0393,72896.19,0.17,0.1563,-4.7976,95.4414,101.4,0.014,0.012,101.1,43.9,47.0,47.8,49.9,,49.9,48.2,43.8,48.5,50.4,51.4,54.0,47.5,49.4,13609.0,,
2015-02-13,1257380.48,0.125,0.0118,334439.22,0.056,-0.0393,72896.19,0.17,0.1563,-4.7976,95.4414,101.4,0.014,0.012,101.1,43.9,47.0,47.8,49.9,,49.9,48.2,43.8,48.5,50.4,51.4,54.0,47.5,49.4,13609.0,,
2015-02-16,1257380.48,0.125,0.0118,334439.22,0.056,-0.0393,72896.19,0.17,0.1563,-4.7976,95.4414,101.4,0.014,0.012,101.1,43.9,47.0,47.8,49.9,,49.9,48.2,43.8,48.5,50.4,51.4,54.0,47.5,49.4,13609.0,,
2015-02-17,1257380.48,0.125,0.0118,334439.22,0.056,-0.0393,72896.19,0.17,0.1563,-4.7976,95.4414,101.4,0.014,0.012,101.1,43.9,47.0,47.8,49.9,,49.9,48.2,43.8,48.5,50.4,51.4,54.0,47.5,49.4,13609.0,,
2015-02-25,1257380.48,0.125,0.0118,334439.22,0.056,-0.0393,72896.19,0.17,0.1563,-4.7976,95.4414,101.4,0.014,0.012,101.1,43.9,47.0,47.8,49.9,,49.9,48.2,43.8,48.5,50.4,51.4,54.0,47.5,49.4,13609.0,,
2015-02-26,1257380.48,0.125,0.0118,334439.22,0.056,-0.0393,72896.19,0.17,0.1563,-4.7976,95.4414,101.4,0.014,0.012,101.1,43.9,47.0,47.8,49.9,,49.9,48.2,43.8,48.5,50.4,51.4,54.0,47.5,49.4,13609.0,,
2015-02-27,1257380.48,0.125,0.0118,334439.22,0.056,-0.0393,72896.19,0.17,0.1563,-4.7976,95.4414,101.4,0.014,0.012,101.1,43.9,47.0,47.8,49.9,,49.9,48.2,43.8,48.5,50.4,51.4,54.0,47.5,49.4,13609.0,,
2015-03-02,1275332.78,0.116,0.0143,337210.52,0.029,0.0083,61949.81,0.062,-0.1502,-4.5603,95.4408,101.4,0.014,-0.005,101.19,45.0,48.6,48.4,50.1,,50.1,48.0,44.1,48.3,50.2,52.1,61.3,48.1,49.7,12433.0,,
2015-03-03,1275332.78,0.116,0.0143,337210.52,0.029,0.0083,61949.81,0.062,-0.1502,-4.5603,95.4408,101.4,0.014,-0.005,101.19,45.0,48.6,48.4,50.1,,50.1,48.0,44.1,48.3,50.2,52.1,61.3,48.1,49.7,12433.0,,
2015-03-04,1275332.78,0.116,0.0143,337210.52,0.029,0.0083,61949.81,0.062,-0.1502,-4.5603,95.4408,101.4,0.014,-0.005,101.19,45.0,48.6,48.4,50.1,,50.1,48.0,44.1,48.3,50.2,52.1,61.3,48.1,49.7,12433.0,,
2015-03-05,1275332.78,0.116,0.0143,337210.52,0.029,0.0083,61949.81,0.062,-0.1502,-4.5603,95.4408,101.4,0.014,-0.005,101.19,45.0,48.6,48.4,50.1,,50.1,48.0,44.1,48.3,50.2,52.1,61.3,48.1,49.7,12433.0,,
2015-03-06,1275332.78,0.116,0.0143,337210.52,0.029,0.0083,61949.81,0.062,-0.1502,-4.5603,95.4408,101.4,0.014,-0.005,101.19,45.0,48.6,48.4,50.1,,50.1,48.0,44.1,48.3,50.2,52.1,61.3,48.1,49.7,12433.0,,
2015-03-09,1275332.78,0.116,0.0143,337210.52,0.029,0.0083,61949.81,0.062,-0.1502,-4.5603,95.4408,101.4,0.014,-0.005,101.19,45.0,48.6,48.4,50.1,,50.1,48.0,44.1,48.3,50.2,52.1,61.3,48.1,49.7,12433.0,,
2015-03-10,1275332.78,0.116,0.0143,337210.52,0.029,0.0083,61949.81,0.062,-0.1502,-4.5603,95.4408,101.4,0.014,-0.005,101.19,45.0,48.6,48.4,50.1,,50.1,48.0,44.1,48.3,50.2,52.1,61.3,48.1,49.7,12433.0,,
2015-03-11,1275332.78,0.116,0.0143,337210.52,0.029,0.0083,61949.81,0.062,-0.1502,-4.5603,95.4408,101.4,0.014,-0.005,101.19,45.0,48.6,48.4,50.1,,50.1,48.0,44.1,48.3,50.2,52.1,61.3,48.1,49.7,12433.0,,
2015-03-12,1275332.78,0.116,0.0143,337210.52,0.029,0.0083,61949.81,0.062,-0.1502,-4.5603,95.4408,101.4,0.014,-0.005,101.19,45.0,48.6,48.4,50.1,,50.1,48.0,44.1,48.3,50.2,52.1,61.3,48.1,49.7,12433.0,,
2015-03-13,1275332.78,0.116,0.0143,337210.52,0.029,0.0083,61949.81,0.062,-0.1502,-4.5603,95.4408,101.4,0.014,-0.005,101.19,45.0,48.6,48.4,50.1,,50.1,48.0,44.1,48.3,50.2,52.1,61.3,48.1,49.7,12433.0,,
2015-03-16,1275332.78,0.116,0.0143,337210.52,0.029,0.0083,61949.81,0.062,-0.1502,-4.5603,95.4408,101.4,0.014,-0.005,101.19,45.0,48.6,48.4,50.1,,50.1,48.0,44.1,48.3,50.2,52.1,61.3,48.1,49.7,12433.0,,
2015-03-17,1275332.78,0.116,0.0143,337210.52,0.029,0.0083,61949.81,0.062,-0.1502,-4.5603,95.4408,101.4,0.014,-0.005,101.19,45.0,48.6,48.4,50.1,,50.1,48.0,44.1,48.3,50.2,52.1,61.3,48.1,49.7,12433.0,,
2015-03-18,1275332.78,0.116,0.0143,337210.52,0.029,0.0083,61949.81,0.062,-0.1502,-4.5603,95.4408,101.4,0.014,-0.005,101.19,45.0,48.6,48.4,50.1,,50.1,48.0,44.1,48.3,50.2,52.1,61.3,48.1,49.7,12433.0,,
2015-03-19,1275332.78,0.116,0.0143,337210.52,0.029,0.0083,61949.81,0.062,-0.1502,-4.5603,95.4408,101.4,0.014,-0.005,101.19,45.0,48.6,48.4,50.1,,50.1,48.0,44.1,48.3,50.2,52.1,61.3,48.1,49.7,12433.0,,
2015-03-20,1275332.78,0.116,0.0143,337210.52,0.029,0.0083,61949.81,0.062,-0.1502,-4.5603,95.4408,101.4,0.014,-0.005,101.19,45.0,48.6,48.4,50.1,,50.1,48.0,44.1,48.3,50.2,52.1,61.3,48.1,49.7,12433.0,,
2015-03-23,1275332.78,0.116,0.0143,337210.52,0.029,0.0083,61949.81,0.062,-0.1502,-4.5603,95.4408,101.4,0.014,-0.005,101.19,45.0,48.6,48.4,50.1,,50.1,48.0,44.1,48.3,50.2,52.1,61.3,48.1,49.7,12433.0,,
2015-03-24,1275332.78,0.116,0.0143,337210.52,0.029,0.0083,61949.81,0.062,-0.1502,-4.5603,95.4408,101.4,0.014,-0.005,101.19,45.0,48.6,48.4,50.1,,50.1,48.0,44.1,48.3,50.2,52.1,61.3,48.1,49.7,12433.0,,
2015-03-25,1275332.78,0.116,0.0143,337210.52,0.029,0.0083,61949.81,0.062,-0.1502,-4.5603,95.4408,101.4,0.014,-0.005,101.19,45.0,48.6,48.4,50.1,,50.1,48.0,44.1,48.3,50.2,52.1,61.3,48.1,49.7,12433.0,,
