date,year,month,上交所融资余额(元),上交所融券余额(元),上交所融资融券余额(元),深交所融资余额(元),深交所融券余额(元),深交所融资融券余额(元),沪深融资余额合计(元),沪深融券余额合计(元),沪深融资融券余额合计(元),沪深融资余额合计(亿元),沪深融资融券余额合计(亿元),融资买入额_x,融券卖出量_x,融券余量_x,融资买入额_y,融券卖出量_y,融券余量_y
2015-01-05,2015,1,,,,,,,,,,,,,,,,,
2015-01-06,2015,1,,,,,,,,,,,,,,,,,
2015-01-07,2015,1,,,,,,,,,,,,,,,,,
2015-01-08,2015,1,,,,,,,,,,,,,,,,,
2015-01-09,2015,1,,,,,,,,,,,,,,,,,
2015-01-12,2015,1,,,,,,,,,,,,,,,,,
2015-01-13,2015,1,,,,,,,,,,,,,,,,,
2015-01-14,2015,1,,,,,,,,,,,,,,,,,
2015-01-15,2015,1,,,,,,,,,,,,,,,,,
2015-01-16,2015,1,,,,,,,,,,,,,,,,,
2015-01-19,2015,1,,,,,,,,,,,,,,,,,
2015-01-20,2015,1,,,,,,,,,,,,,,,,,
2015-01-21,2015,1,,,,,,,,,,,,,,,,,
2015-01-22,2015,1,,,,,,,,,,,,,,,,,
2015-01-23,2015,1,,,,,,,,,,,,,,,,,
2015-01-26,2015,1,,,,,,,,,,,,,,,,,
2015-01-27,2015,1,,,,,,,,,,,,,,,,,
2015-01-28,2015,1,,,,,,,,,,,,,,,,,
2015-01-29,2015,1,,,,,,,,,,,,,,,,,
2015-01-30,2015,1,,,,,,,,,,,,,,,,,
2015-02-02,2015,2,,,,,,,,,,,,,,,,,
2015-02-03,2015,2,,,,,,,,,,,,,,,,,
2015-02-04,2015,2,,,,,,,,,,,,,,,,,
2015-02-05,2015,2,,,,,,,,,,,,,,,,,
2015-02-06,2015,2,,,,,,,,,,,,,,,,,
2015-02-09,2015,2,,,,,,,,,,,,,,,,,
2015-02-10,2015,2,,,,,,,,,,,,,,,,,
2015-02-11,2015,2,,,,,,,,,,,,,,,,,
2015-02-12,2015,2,,,,,,,,,,,,,,,,,
2015-02-13,2015,2,,,,,,,,,,,,,,,,,
2015-02-16,2015,2,,,,,,,,,,,,,,,,,
2015-02-17,2015,2,,,,,,,,,,,,,,,,,
2015-02-25,2015,2,,,,,,,,,,,,,,,,,
2015-02-26,2015,2,,,,,,,,,,,,,,,,,
2015-02-27,2015,2,,,,,,,,,,,,,,,,,
2015-03-02,2015,3,,,,,,,,,,,,,,,,,
2015-03-03,2015,3,,,,,,,,,,,,,,,,,
2015-03-04,2015,3,,,,,,,,,,,,,,,,,
2015-03-05,2015,3,,,,,,,,,,,,,,,,,
2015-03-06,2015,3,,,,,,,,,,,,,,,,,
2015-03-09,2015,3,,,,,,,,,,,,,,,,,
2015-03-10,2015,3,,,,,,,,,,,,,,,,,
2015-03-11,2015,3,,,,,,,,,,,,,,,,,
2015-03-12,2015,3,,,,,,,,,,,,,,,,,
2015-03-13,2015,3,,,,,,,,,,,,,,,,,
2015-03-16,2015,3,,,,,,,,,,,,,,,,,
2015-03-17,2015,3,,,,,,,,,,,,,,,,,
2015-03-18,2015,3,,,,,,,,,,,,,,,,,
2015-03-19,2015,3,,,,,,,,,,,,,,,,,
2015-03-20,2015,3,,,,,,,,,,,,,,,,,
2015-03-23,2015,3,,,,,,,,,,,,,,,,,
2015-03-24,2015,3,,,,,,,,,,,,,,,,,
2015-03-25,2015,3,,,,,,,,,,,,,,,,,
2015-03-26,2015,3,,,,,,,,,,,,,,,,,
2015-03-27,2015,3,,,,,,,,,,,,,,,,,
2015-03-30,2015,3,,,,,,,,,,,,,,,,,
2015-03-31,2015,3,578682092143.0,3416567962.0,582098660105.0,402844790525.0,928213119.0,403773003644.0,981526882668.0,4344781081.0,985871663749.0,9815.26882668,9858.71663749,32575427391.0,80668836.0,419667372.0,32510062183.0,22399652.0,72016267.0
2015-04-01,2015,4,578682092143.0,3416567962.0,582098660105.0,402844790525.0,928213119.0,403773003644.0,981526882668.0,4344781081.0,985871663749.0,9815.26882668,9858.71663749,32575427391.0,80668836.0,419667372.0,32510062183.0,22399652.0,72016267.0
2015-04-02,2015,4,578682092143.0,3416567962.0,582098660105.0,402844790525.0,928213119.0,403773003644.0,981526882668.0,4344781081.0,985871663749.0,9815.26882668,9858.71663749,32575427391.0,80668836.0,419667372.0,32510062183.0,22399652.0,72016267.0
