date,val_score,macro_score,sent_score,trend_score,total_score,market_state
2015-01-05,12.5,12.2,13.01,15.0,52.71,震荡
2015-01-06,12.5,12.2,13.01,13.98,51.69,震荡
2015-01-07,12.5,12.38,13.21,14.26,52.36,震荡
2015-01-08,12.5,12.67,13.21,9.51,47.9,震荡
2015-01-09,12.5,12.68,13.13,8.87,47.19,震荡
2015-01-12,12.5,12.6,14.12,9.11,48.33,震荡
2015-01-13,12.5,12.63,13.96,9.44,48.53,震荡
2015-01-14,12.5,12.43,13.73,9.53,48.2,震荡
2015-01-15,12.5,12.23,13.77,17.56,56.05,震荡
2015-01-16,12.5,12.33,14.93,19.69,59.46,震荡
2015-01-19,12.5,12.04,14.72,0.0,39.26,下行
2015-01-20,12.5,11.9,11.81,0.0,36.21,下行
2015-01-21,12.5,11.93,11.08,13.12,48.63,震荡
2015-01-22,12.5,11.93,10.44,13.72,48.59,震荡
2015-01-23,12.5,11.89,9.97,15.15,49.51,震荡
2015-01-26,12.5,11.94,10.04,17.82,52.3,震荡
2015-01-27,12.5,12.02,12.62,14.8,51.94,震荡
2015-01-28,12.5,12.13,13.16,10.27,48.06,震荡
2015-01-29,12.5,12.37,12.89,7.55,45.32,震荡
2015-01-30,12.5,12.46,12.13,4.46,41.54,下行
2015-02-02,12.5,12.39,11.16,0.0,36.06,下行
2015-02-03,12.5,12.29,10.5,7.03,42.32,下行
2015-02-04,12.5,12.15,10.11,4.85,39.61,下行
2015-02-05,12.5,12.28,10.09,2.4,37.28,下行
2015-02-06,12.5,12.22,10.4,0.0,35.12,下行
2015-02-09,12.5,12.26,11.0,3.33,39.08,下行
2015-02-10,12.5,12.14,11.74,9.72,46.1,震荡
2015-02-11,12.5,12.21,13.21,12.1,50.02,震荡
2015-02-12,12.5,12.03,13.83,14.16,52.52,震荡
2015-02-13,12.5,12.03,13.22,16.97,54.71,震荡
2015-02-16,12.5,11.88,10.09,18.66,53.13,震荡
2015-02-17,12.5,11.98,8.7,20.76,53.94,震荡
2015-02-25,12.5,11.84,5.0,16.39,45.73,震荡
2015-02-26,12.5,12.06,6.75,25.25,56.57,震荡
2015-02-27,12.5,12.13,7.91,24.65,57.18,震荡
2015-03-02,12.5,12.06,11.21,27.12,62.88,震荡偏强
2015-03-03,12.5,12.03,13.58,18.89,57.0,震荡
2015-03-04,12.5,12.2,15.0,21.34,61.05,震荡偏强
2015-03-05,12.5,12.04,15.0,18.63,58.17,震荡
2015-03-06,12.5,12.15,15.0,16.51,56.16,震荡
2015-03-09,12.5,12.16,15.0,21.58,61.24,震荡偏强
2015-03-10,12.5,12.21,15.0,19.04,58.75,震荡
2015-03-11,12.5,12.34,15.0,18.9,58.74,震荡
2015-03-12,12.5,12.14,15.0,23.4,63.04,震荡偏强
2015-03-13,12.5,12.17,15.0,23.77,63.44,震荡偏强
2015-03-16,12.5,12.27,15.0,29.81,69.58,震荡偏强
2015-03-17,12.5,12.52,15.0,30.0,70.02,震荡偏强
2015-03-18,12.5,12.59,14.18,30.0,69.27,震荡偏强
2015-03-19,12.5,12.64,13.96,30.0,69.1,震荡偏强
2015-03-20,12.5,12.56,13.82,30.0,68.89,震荡偏强
2015-03-23,12.5,12.7,15.0,30.0,70.2,震荡偏强
2015-03-24,12.5,12.58,15.0,30.0,70.08,震荡偏强
2015-03-25,12.5,12.53,15.0,30.0,70.03,震荡偏强
2015-03-26,12.5,12.63,15.0,30.0,70.13,震荡偏强
2015-03-27,12.5,12.8,15.0,30.0,70.3,震荡偏强
2015-03-30,12.5,12.81,15.0,30.0,70.31,震荡偏强
2015-03-31,12.5,12.82,15.0,30.0,70.32,震荡偏强
2015-04-01,12.5,13.01,15.0,30.0,70.51,震荡偏强
2015-04-02,12.5,12.75,15.0,30.0,70.26,震荡偏强
2015-04-03,12.5,12.63,15.0,30.0,70.13,震荡偏强
2015-04-07,12.5,12.82,15.0,30.0,70.32,震荡偏强
