date,hs300_ma5,hs300_ma20,hs300_std20,hs300_atr14,hs300_rsi14,hs300_macd_dif,hs300_macd_dea,hs300_macd_bar,hs300_ma20_vol,hs300_ma20_amt,hs300_obv,zz500_ma5,zz500_ma20,zz500_std20,zz500_atr14,zz500_rsi14,zz500_macd_dif,zz500_macd_dea,zz500_macd_bar,zz500_ma20_vol,zz500_ma20_amt,zz500_obv,kc50_ma5,kc50_ma20,kc50_std20,kc50_atr14,kc50_rsi14,kc50_macd_dif,kc50_macd_dea,kc50_macd_bar,kc50_ma20_vol,kc50_ma20_amt,kc50_obv,consume_ma5,consume_ma20,consume_std20,consume_atr14,consume_rsi14,consume_macd_dif,consume_macd_dea,consume_macd_bar,consume_ma20_vol,consume_ma20_amt,consume_obv,gold_ma5,gold_ma20,gold_std20,gold_atr14,gold_rsi14,gold_macd_dif,gold_macd_dea,gold_macd_bar,gold_ma20_vol,gold_ma20_amt,gold_obv,bond10_ma5,bond10_ma20,bond10_std20,bond10_atr14,bond10_rsi14,bond10_macd_dif,bond10_macd_dea,bond10_macd_bar,bond10_ma20_vol,bond10_ma20_amt,bond10_obv,hs300_pe,hs300_pb,zz500_pe,zz500_pb,hs300_erp,hs300_pe_quantile,hs300_pb_quantile,zz500_pe_quantile,zz500_pb_quantile,kc50_pe_quantile,kc50_pe_p80,kc50_pe_p50,kc50_pe_p20,kc50_pb,kc50_pb_quantile,kc50_pb_p80,kc50_pb_p50,kc50_pb_p20,kc50_ps,kc50_ps_quantile,kc50_ps_p80,kc50_ps_p50,kc50_ps_p20,kc50_div_yield,kc50_div_quantile,kc50_div_p80,kc50_div_p50,kc50_div_p20,yield_1y,yield_2y,yield_10y,m2数量(亿元),m2同比增长,m2环比增长,m1数量(亿元),m1同比增长,m1环比增长,m0数量(亿元),m0同比增长,m0环比增长,ppi_yoy,ppi_acc_yoy,cpi_current,cpi_yoy,cpi_mom,cpi_acc,pmi_主要原材料购进价格指数,pmi_产成品库存指数,pmi_从业人员指数,pmi_供应商配送时间指数,pmi_出厂价格指数,pmi_制造业采购经理指数,pmi_原材料库存指数,pmi_在手订单指数,pmi_新出口订单指数,pmi_新订单指数,pmi_生产指数,pmi_生产经营活动预期指数,pmi_进口指数,pmi_采购量指数,社融增量(亿元),社融增量_12月滚动和,社融存量增速(近似),上交所融资余额(元),上交所融券余额(元),上交所融资融券余额(元),深交所融资余额(元),深交所融券余额(元),深交所融资融券余额(元),沪深融资余额合计(元),沪深融券余额合计(元),沪深融资融券余额合计(元),沪深融资余额合计(亿元),沪深融资融券余额合计(亿元),融资买入额_x,融券卖出量_x,融券余量_x,turnover,north_net,north_20d_sum,volatility_20d,margin_total,margin_5d_chg,score_valuation,score_macro,score_sentiment,score_trend,score_total,market_state,m1_m2_spread,bond_10y_2y_spread,ma20_slope,ma20_streak,macd_signal,consume_pe,consume_pb,consume_dividend_yield,consume_pe_quantile,consume_pb_quantile,chip_ma5,chip_ma20,chip_std20,chip_atr14,chip_rsi14,chip_macd_dif,chip_macd_dea,chip_macd_bar,chip_ma20_vol,chip_ma20_amt,chip_obv,chip_pe,chip_pb,chip_dividend_yield,chip_pe_quantile,chip_pb_quantile
2015/01/05,3.5438000000038405,3.357450000005767,0.1390375675985654,0.1172010645261324,76.47472421045805,0.179987373443708,0.1719599300852084,0.0080274433584996,1891840845.0,6374724271.699198,16648410248.0,1.4973999999993004,1.5139999999986111,0.0350038255308837,0.0373211766400995,53.81351551641499,0.0092625750154824,0.0166982095634367,-0.007435635,58941759.2,89271589.71380004,2828509189,,,,,,,,,,,,1.1535999999996145,1.1383000000075234,0.0192694663435794,0.0258509308138776,72.37337672909146,0.0212617119105673,0.0204139016564744,0.0008478102540929,1708413.3,1936755.9045999865,644879349,,,,,,,,,,,,,,,,,,,,,,,13.24,1.96,31.82,2.92,3.9277700906344406,,,,,,,,,,,,,,,,,,,,,,,,3.2314,3.3783,3.6251,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516,,,,,,,,,,,,,,,,,0.0004100673534616,,,,1037927132359.0,3.011083402001047,13.0,12.0,14.0,12.0,51.0,震荡,,0.318,,0,0.0,25.4392,3.7058,0.0156,0.4745484400656814,0.3555008210180624,,,,,,,,,,,,,,,,
2015/01/06,3.577000000003841,3.3825500000057667,0.1464235131508555,0.1156867027742658,74.22228355911611,0.1841831388594004,0.1744045718400468,0.0097785670193535,1873161798.0,6355898600.268798,15046067848.0,1.5007999999993005,1.5158499999986117,0.0351396542641079,0.0380125211658066,57.283504292727415,0.0112989394849831,0.015618355547746,-0.004319416,57351329.8,86935948.43420003,2854678049,,,,,,,,,,,,1.1655999999996145,1.1428000000075234,0.0235661268158074,0.0270044357557434,73.46488811665456,0.0245124042171487,0.0212336021686092,0.0032788020485394,1400031.95,1601015.3559999862,646748913,,,,,,,,,,,,,,,,,,,,,,,13.25,1.95,32.16,2.95,3.911869811320755,,,,,,,,,,,,,,,,,,,,,,,,3.2189,3.3589,3.6353,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516,,,,,,,,,,,,,,,,,0.000550809913728,,,,1045994364434.0,3.2100818408485,13.0,12.0,14.0,7.0,46.0,震荡,,0.3452,,-1,-1.0,25.6192,3.732,0.0155,0.4786535303776683,0.3571428571428571,,,,,,,,,,,,,,,,
2015/01/07,3.61340000000384,3.400000000005767,0.1574741175661456,0.1120662240046754,74.12823248562798,0.1852916942265734,0.1765819963173521,0.0087096979092212,1875252218.0,6392564581.049598,13341745672.0,1.5089999999993002,1.5167499999986114,0.0354380487866368,0.0372259125111062,57.4332452316488,0.0128453909698058,0.015063762632158,-0.002218372,55591456.6,84276112.51940003,2869579689,,,,,,,,,,,,1.1759999999996145,1.1465000000075234,0.0255764018783569,0.0268612617731903,68.86071820874575,0.025902406403591,0.0221673630156056,0.0037350433879854,1321996.4,1517753.4435499862,645609470,,,,,,,,,,,,,,,,,,,,,,,13.31,1.96,32.21,2.96,3.8723480090157767,,,,,,,,,,,,,,,,,,,,,,,,3.1767,3.3255,3.6408,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516,,,,,,,,,,,,,,,,,0.0004194820244519,,,,1057801770588.0,3.2092581572419787,13.0,12.0,14.0,9.0,48.0,震荡,,0.3886,,-2,-0.5,25.3628,3.6947,0.0157,0.473727422003284,0.3538587848932676,,,,,,,,,,,,,,,,
2015/01/08,3.63380000000384,3.4226000000057666,0.1493269490178457,0.1120614937186271,66.83215283622454,0.1776668678706374,0.1767989706280092,0.0008678972426282,1856077645.0,6360484854.803198,12105609096.0,1.5195999999993002,1.5200499999986117,0.0326866226737025,0.0362812044745986,54.55018395623961,0.0127938029197973,0.0146097706896858,-0.001815968,53987511.2,81997951.26160005,2851765389,,,,,,,,,,,,1.1887999999996146,1.151200000007523,0.0252341501337494,0.0261568859322482,68.44078665255262,0.0266164832573154,0.0230571870639476,0.0035592961933678,1189566.1,1375956.2223499862,644784766,,,,,,,,,,,,,,,,,,,,,,,12.95,1.91,32.02,2.93,4.080507722007722,,,,,,,,,,,,,,,,,,,,,,,,3.189,3.3146,3.6415,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516,,,,,,,,,,,,,,,,,0.000578024102332,,,,1060898071626.0,3.133976644380354,13.0,12.0,12.5,9.0,46.5,震荡,,0.39,,-3,-0.5,25.3461,3.6922,0.0157,0.473727422003284,0.3538587848932676,,,,,,,,,,,,,,,,
2015/01/09,3.63020000000384,3.438250000005767,0.1460499407832717,0.1171285298815823,64.60653588099875,0.1675942333425317,0.1749580231709137,-0.00736379,1842130362.0,6347775396.793597,10027552776.0,1.5247999999993005,1.5200999999986116,0.0326780936073857,0.0356896898692701,52.915550185487525,0.0119694099698501,0.0140816985457187,-0.002112289,53176061.8,80771323.82940003,2813626201,,,,,,,,,,,,1.1945999999996146,1.1535000000075233,0.0255646696231007,0.0261456797942304,62.30325631711556,0.0256760422366457,0.0235809580984872,0.0020950841381585,1118757.2,1296639.618649986,644389166,,,,,,,,,,,,,,,,,,,,,,,12.95,1.91,31.82,2.91,4.087207722007722,,,,,,,,,,,,,,,,,,,,,,,,3.1787,3.3337,3.6348,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516,,,,,,,,,,,,,,,,,0.0015417180266798,,,,1067956909894.0,4.124257048991442,13.0,15.0,12.5,9.0,49.5,震荡,,0.3772,,-4,-0.5,25.0517,3.6494,0.0159,0.4729064039408867,0.3513957307060755,,,,,,,,,,,,,,,,
2015/01/12,3.6016000000038404,3.455100000005767,0.1377159674932507,0.1154050634614693,63.64091772192694,0.1569151694433892,0.1713494524254088,-0.014434283,1815206758.0,6284702138.585597,8644902280.0,1.5207999999993005,1.5180999999986111,0.0330493237723355,0.0352118548786079,48.60235658516848,0.0094321287700926,0.0131517845905935,-0.003719656,51954962.7,78841742.25710003,2784807875,,,,,,,,,,,,1.1889999999996148,1.1549500000075232,0.0256933811110254,0.0293495598089283,59.25142269682214,0.0240084483630538,0.0236664561514005,0.0003419922116532,1192868.55,1385653.971749986,641369034,,,,,,,,,,,,,,,,,,,,,,,12.77,1.88,31.37,2.87,4.193753563038372,,,,,,,,,,,,,,,,,,,,,,,,3.2146,3.3025,3.6371,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516,,,,,,,,,,,,,,,,,0.0017481689369566,,,,1079016485249.0,3.958789746310232,13.0,15.0,12.5,3.0,43.5,震荡,,0.3827,-1.952277657,-5,-0.5,24.8375,3.6182,0.016,0.4720853858784893,0.3497536945812808,,,,,,,,,,,,,,,,
2015/01/13,3.5766000000038405,3.471100000005767,0.1274460187782222,0.1117332732142215,62.99566525470509,0.1462017698706317,0.1663199159144534,-0.020118146,1796481994.0,6239961686.995197,7675162184.0,1.5163999999993003,1.5166999999986113,0.0325972054293729,0.0362681509587074,52.57605253987402,0.0090119554224752,0.0123238187569698,-0.003311863,48953663.5,74145127.13070002,2833816275,,,,,,,,,,,,1.1815999999996147,1.1558500000075234,0.0258540099965695,0.0291817341082905,58.480193258743405,0.022268784235732,0.0233869217682668,-0.001118138,1172805.0,1363178.495699986,640682734,,,,,,,,,,,,,,,,,,,,,,,12.77,1.88,31.8,2.91,4.247253563038372,,,,,,,,,,,,,,,,,,,,,,,,3.2014,3.2681,3.5836,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516,,,,,,,,,,,,,,,,,0.0012480533165464,,,,1085058114332.0,3.734604241308492,13.0,15.0,12.5,3.0,43.5,震荡,,0.3516,-1.92199312,-6,-0.5,24.8488,3.6198,0.016,0.4729064039408867,0.3505747126436782,,,,,,,,,,,,,,,,
2015/01/14,3.5502000000038407,3.4848500000057667,0.1178640114804449,0.1096808965560628,62.21924897131571,0.1355037870729369,0.1601566901461501,-0.024652903,1788181194.0,6226186076.115198,6711999048.0,1.5105999999993005,1.5137499999986113,0.030514837404069,0.0351775687473711,51.354405430676586,0.0081014269544275,0.0114793403964613,-0.003377913,48004331.1,72504242.27470002,2781856619,,,,,,,,,,,,1.173999999999615,1.1556500000075232,0.0258288565930855,0.0285258959576983,53.94330290173237,0.0196947592444032,0.0226484892634941,-0.00295373,1153585.3,1340751.039799986,640115813,,,,,,,,,,,,,,,,,,,,,,,12.75,1.88,31.64,2.89,4.30203725490196,,,,,,,,,,,,,,,,,,,,,,,,3.2012,3.246,3.5411,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516,,,,,,,,,,,,,,,,,0.0022310743620782,,,,1097669839046.0,3.7689545968370375,13.0,15.0,12.5,3.0,43.5,震荡,,0.3215,-2.056660311,-7,-0.5,24.52,3.5719,0.0162,0.4696223316912972,0.334975369458128,,,,,,,,,,,,,,,,
2015/01/15,3.559800000003841,3.4998000000057665,0.1163544485702583,0.1112751182306297,67.59554725826756,0.1335551818944247,0.154836388495805,-0.021281207,1771683274.0,6190844829.151998,8023927112.0,1.5125999999993005,1.5118999999986111,0.0280723672281367,0.0363077424082732,55.94746561743912,0.0092900279899523,0.0110414779151595,-0.00175145,47237634.7,71222125.39390002,2824236907,,,,,,,,,,,,1.1685999999996146,1.1565000000075234,0.0259085378378076,0.027631189103577,56.94118788378715,0.0182513520945655,0.0217690618297084,-0.00351771,1134277.25,1318987.452049986,640634248,,,,,,,,,,,,,,,,,,,,,,,13.24,1.95,32.07,2.92,4.006470090634441,,,,,,,,,,,,,,,,,,,,,,,,3.2059,3.2267,3.5464,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516,,,,,,,,,,,,,,,,,0.0008755909277223,,,,1113197421708.0,4.929724304413408,13.0,13.0,12.5,6.5,45.0,震荡,-9.0,0.3374,-1.354345095,1,-0.5,24.7472,3.605,0.0161,0.4729064039408867,0.3489326765188834,,,,,,,,,,,,,,,,
2015/01/16,3.58100000000384,3.5135000000057666,0.1184953488620178,0.1072554669284419,69.11036441690392,0.1330592071033463,0.1504809522173133,-0.017421745,1737137910.0,6091798661.638397,9337322952.0,1.518999999999301,1.5113499999986113,0.0272597744266153,0.0356429036648251,58.3207574706111,0.0112322079694666,0.011079623926021,0.0001525840434456,46102083.9,69430006.54630002,2865929091,,,,,,,,,,,,1.1671999999996143,1.1587000000075234,0.0252549467007968,0.0263718184533215,58.39925648288982,0.01731134532937,0.0208775185296407,-0.003566173,1110221.4,1293755.0132499863,641499048,,,,,,,,,,,,,,,,,,,,,,,13.39,1.97,32.51,2.96,3.966559895444361,,,,,,,,,,,,,,,,,,,,,,,,3.2029,3.2248,3.5017,1242710.22,0.108,0.0117,348109.5,0.106,0.0002,63040.51,-0.176,0.0462,-4.3202,95.6798,100.8,0.008,0.003,100.76,41.9,48.0,47.9,50.2,,49.8,47.3,44.0,48.4,50.2,51.7,47.4,46.4,49.6,20516,,,,,,,,,,,,,,,,,0.0016204530558741,,,,1118404063063.0,4.723706799556848,13.0,12.0,12.5,7.5,45.0,震荡,-9.0,0.2929,-0.677648614,2,-0.5,25.003,3.6423,0.0159,0.4761904761904761,0.3530377668308703,,,,,,,,,,,,,,,,
