日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-07-17,=18079.7400,=19705.4225,=6510062389541.6992,=5369269509169,=3456322512483.7627,=10.2161,=0.9845,=7.4476,=5.7344,=4.0927
2026-07-16,=19471.2900,=21222.0959,=7006303752404.8398,=5760752266150,=3721254672540.5679,=10.9949,=0.9875,=7.4432,=5.7286,=4.0927
2026-07-15,=20652.3100,=22509.3087,=7341985600558.0420,=6074368240737,=3946145220509.2920,=11.5217,=0.9886,=7.4407,=5.7268,=4.0927
2026-07-14,=21802.2700,=23762.6735,=7743929078724.0498,=6408449572323,=4163695236221.4570,=12.1524,=0.9922,=7.4407,=5.7249,=4.0884
2026-07-13,=21414.6800,=23340.2290,=7680007024230.9102,=6330033720194,=4089730265708.4790,=12.0521,=0.9916,=7.4405,=5.7236,=4.0884
2026-07-10,=22325.1000,=24332.5120,=7905017170874.5098,=6552825414319,=4258726393463.6860,=12.4954,=0.9958,=7.4384,=5.7223,=4.0884
2026-07-09,=23874.9100,=26021.6764,=8445308895075.4600,=7017610585574,=4556323934130.6572,=13.3495,=0.9994,=7.4343,=5.7219,=4.0884
2026-07-08,=21833.9100,=23797.1618,=7720250997443.9102,=6454356996008,=4165628696289.3481,=12.2034,=0.9958,=7.4334,=5.7216,=4.0884
2026-07-07,=22004.1900,=23982.7471,=7707970697901.9219,=6486291468681,=4194675992739.2559,=12.1840,=0.9958,=7.4334,=5.7212,=4.0876
2026-07-06,=22108.0300,=24095.9260,=7689466983259.8398,=6474827677709,=4212857932380.5322,=12.1547,=0.9952,=7.4252,=5.7209,=4.0876
2026-07-03,=21934.4800,=23906.7732,=7588797104537.0898,=6407279033899,=4179559955483.6362,=11.9956,=0.9946,=7.4251,=5.7202,=4.0876
2026-07-02,=22163,=24154.0544,=7689677259371.6602,=6481108816708,=4223814944443.5010,=12.1444,=0.9952,=7.4245,=5.7195,=4.0876
