日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-17,=18079.7400,=19705.4225,=6510062389541.6992,=5369269509169,=3456322512483.7627,=137.6386,=0.9284,=107.1632,=80.4597,=55.7047
2026-07-16,=19471.2900,=21222.0959,=7006303752404.8398,=5760752266150,=3721254672540.5679,=148.1303,=0.9612,=106.8749,=80.3553,=55.7047
2026-07-15,=20652.3100,=22509.3087,=7341985600558.0420,=6074368240737,=3946145220509.2920,=155.2275,=0.9701,=106.8605,=80.3529,=55.7047
2026-07-14,=21802.2700,=23762.6735,=7743929078724.0498,=6408449572323,=4163695236221.4570,=163.7255,=0.9779,=106.8605,=80.3505,=55.6722
2026-07-13,=21414.6800,=23340.2290,=7680007024230.9102,=6330033720194,=4089730265708.4790,=162.3741,=0.9749,=106.8477,=80.2291,=55.6722
2026-07-10,=22325.1000,=24332.5120,=7905017170874.5098,=6552825414319,=4258726393463.6860,=167.1313,=0.9790,=106.8366,=80.1077,=55.6722
2026-07-09,=23874.9100,=26021.6764,=8445308895075.4600,=7017610585574,=4556323934130.6572,=178.5544,=0.9826,=106.7871,=80.0906,=55.6722
2026-07-08,=21833.9100,=23797.1618,=7720250997443.9102,=6454356996008,=4165628696289.3481,=163.2249,=0.9784,=106.7461,=80.0736,=55.6722
2026-07-07,=22004.1900,=23982.7471,=7707970697901.9219,=6486291468681,=4194675992739.2559,=162.9653,=0.9784,=106.7461,=79.8602,=55.6428
2026-07-06,=22108.0300,=24095.9260,=7689466983259.8398,=6474827677709,=4212857932380.5322,=162.5741,=0.9778,=106.6979,=79.6469,=55.6428
2026-07-03,=21934.4800,=23906.7732,=7588797104537.0898,=6407279033899,=4179559955483.6362,=160.4457,=0.9778,=106.4883,=79.5633,=55.6428
2026-07-02,=22163,=24154.0544,=7689677259371.6602,=6481108816708,=4223814944443.5010,=162.5785,=0.9784,=106.4697,=79.4798,=55.6428
2026-07-01,=24286.8800,=26468.7335,=8374565670129.8584,=7073819298636,=4629504833051.8701,=177.0587,=0.9826,=106.4663,=79.4352,=55.6428
2026-06-30,=24861.0500,=27094.4863,=8594577350429.4102,=7259134682014,=4740485755237.6699,=181.7103,=0.9832,=106.4663,=79.3907,=55.6194
2026-06-29,=24226.2400,=26401.4791,=8317270539154.3066,=7042277622283,=4612937682979.6172,=175.8474,=0.9831,=106.4628,=79.3438,=55.6194
2026-06-26,=23056.2800,=25126.4794,=7975446344941.8496,=6731875658981,=4391409403915.0981,=168.6204,=0.9819,=106.4474,=79.2970,=55.6194
2026-06-25,=23318.2800,=25411.9976,=8109819228309.9102,=6815583321493,=4445451308105.1914,=171.4613,=0.9831,=106.3732,=79.2812,=55.6194
2026-06-24,=22111.0400,=24096.2257,=7731537915601.1406,=6485149641658,=4217543435967.8242,=163.4636,=0.9819,=106.3416,=79.2654,=55.6194
2026-06-23,=20987.7000,=22872.0271,=7351703089873.8301,=6181423819870,=4006327887522.9199,=155.4329,=0.9795,=106.3416,=79.2361,=55.6095
2026-06-22,=21473.8000,=23400.1399,=7419647373760.5918,=6299373604509,=4100907742994.6001,=156.8694,=0.9819,=106.3234,=79.2068,=55.6095
2026-06-18,=20721.2800,=22580.1100,=7223521390241.2510,=6136192314884,=3963868978848.7817,=152.7229,=0.9795,=106.2256,=79.1944,=55.6095
2026-06-17,=19831.5600,=21610.5728,=6874624115723.9014,=5837467914032,=3786788763638.4058,=145.3463,=0.9661,=106.1983,=79.1821,=55.6095
2026-06-16,=18702.0700,=20379.7648,=6522011346398.1104,=5524676282930,=3575593082724.0649,=137.8912,=0.9419,=106.1395,=79.1326,=55.6095
2026-06-15,=18523.8300,=20185.0628,=6497228933413.8496,=5503901840600,=3545012756773.1201,=137.3673,=0.9395,=106.1395,=79.0832,=55.5610
2026-06-12,=17477.3200,=19044.7058,=5622563499032.6904,=4781387496112,=3005383698087.8232,=197.7831,=0.9903,=106.1180,=79.0110,=55.5610
2026-06-11,=17610.2200,=19189.5218,=5657421531164.6709,=4798943901601,=3023419945672.6694,=199.0093,=0.9915,=106.0879,=78.9389,=55.5610
2026-06-10,=17521.2800,=19092.5987,=5614843172758.0605,=4767595105111,=3006682257488.3125,=197.5116,=0.9909,=105.8906,=78.8931,=55.5610
2026-06-09,=17751.2800,=19342.5694,=5672365442909.5918,=4810844993692,=3044769429433.6211,=199.5350,=0.9921,=105.7852,=78.8473,=55.5610
2026-06-08,=16880.2100,=18393.4150,=5411600545789.3594,=4589627876999,=2899724630856.6235,=190.3622,=0.9872,=105.7852,=78.7856,=55.5373
2026-06-05,=17641.1900,=19222.6094,=5654057440097.4893,=4794619069313,=3029381495919.9946,=198.8910,=0.9921,=105.6922,=78.7238,=55.5373
2026-06-04,=18583.1500,=20249.0069,=5944838944540.9697,=5035970565019,=3190803273489.2876,=209.1197,=0.9970,=105.6384,=78.7234,=55.5373
2026-06-03,=18238.2700,=19872.2410,=5864396924721.3594,=4965154445889,=3136942142833.6299,=206.2900,=0.9957,=105.3990,=78.7230,=55.5373
2026-06-02,=17629.9700,=19209.4473,=5684156764548.5000,=4797743808351,=3031208966715.0220,=199.9498,=0.9945,=105.3908,=78.6109,=55.5373
2026-06-01,=17333.1900,=18886.0708,=5586796412156.9004,=4700473618217,=2975815017166.5703,=196.5250,=0.9939,=105.3908,=78.4988,=55.4897
2026-05-29,=18347.7400,=19991.3050,=5913943773990.3906,=4977397193576,=3151787170196.6509,=208.0329,=0.9963,=105.3600,=78.4944,=55.4897
2026-05-28,=19395.8500,=21132.2091,=6301358567063.5391,=5276084622152,=3333200761120.1250,=221.6609,=0.9988,=105.3315,=78.4901,=55.4897
2026-05-27,=19329.4300,=21059.1969,=6210546781356.8604,=5230452115784,=3314726566943.7588,=218.4664,=0.9988,=105.3264,=78.4842,=55.4897
2026-05-26,=19868.5000,=21646.5104,=6402553432025.6016,=5404740948072,=3412629665211.9229,=225.2206,=0.9994,=105.2898,=78.4784,=55.4897
2026-05-25,=20000.7000,=21787.2782,=6464897114142.1191,=5423417059757,=3437946047630.5049,=227.4136,=1,=105.2898,=78.4750,=55.4895
2026-05-22,=18621.3400,=20284.7108,=5938877411586.5898,=5050074749107,=3196033467809.9507,=208.9100,=0.9994,=105.2673,=78.4716,=55.4895
2026-05-21,=18149.3100,=19770.5119,=5807495252996.3311,=4946968891235,=3120461910217.8232,=204.2884,=0.9994,=105.1343,=78.4542,=55.4895
2026-05-20,=18722.5800,=20394.3579,=6022850525493.5400,=5119018350693,=3221428695640.7148,=211.8639,=1,=105.1047,=78.4367,=55.4895
2026-05-19,=17879.2600,=19475.3863,=5720654390568.1807,=4909843905730,=3076608336038.0342,=201.2337,=1,=105.0843,=78.4323,=55.4895
2026-05-18,=17194.8200,=18729.8388,=5498244005709.7305,=4697883115108,=2953665085652.6934,=193.4100,=0.9975,=105.0843,=78.4280,=55.4544
2026-05-15,=17032.6200,=18553.1624,=5465180485287.9199,=4657078821660,=2926847393929.2397,=192.2469,=0.9975,=104.7321,=78.4054,=55.4544
