日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-17,=12327.9000,=17295.7800,=3867205312775.4102,=3539871471203,=1747150613827.4231,=19.7830,=0.0307,=35.6314,=29.5277,=23.8911
2026-07-16,=12536.4900,=17579.7200,=3917868936568.3198,=3584480778554,=1768529718720.8701,=20.1990,=0.0421,=35.6874,=29.5305,=23.8911
2026-07-15,=12439.5200,=17374.9400,=3894021685029.4609,=3564786415354,=1756912111915.2202,=20.0644,=0.0375,=35.6874,=29.5333,=23.8915
2026-07-14,=11997.6600,=16757.7800,=3764615653766.2905,=3446562190692,=1699026655662.8943,=19.3089,=0.0172,=35.6874,=29.5341,=23.8917
2026-07-13,=11953.6100,=16696.2500,=3749826531103.7202,=3432351807805,=1692985266805.0906,=19.1973,=0.0148,=35.6874,=29.5349,=23.8984
2026-07-10,=11968.1500,=16715.8500,=3747676555434.5190,=3431126058871,=1691240903985.1182,=19.2372,=0.0148,=35.6874,=29.5354,=23.9033
2026-07-09,=11736.4700,=16391.6300,=3674602259984.2500,=3364111476377,=1659377317753.1021,=18.8560,=0.0090,=35.6888,=29.5360,=23.9033
2026-07-08,=11853.8200,=16555.5300,=3717570730759.0103,=3405501999982,=1678919647054.9976,=19.0994,=0.0109,=35.6888,=29.5364,=23.9049
2026-07-07,=11942.8500,=16679.8700,=3720534174264.2100,=3403519464053,=1681112257361.3899,=19.1641,=0.0128,=35.6888,=29.5369,=23.9105
2026-07-06,=12125.1800,=16934.5200,=3781372883873.3789,=3459616950491,=1706419928279.6499,=19.5293,=0.0225,=35.6888,=29.5377,=23.9138
2026-07-03,=11888.2800,=16603.6600,=3725148660498.7998,=3411746420413,=1678835432499.6602,=19.2615,=0.0150,=35.6888,=29.5386,=23.9223
2026-07-02,=11885.5800,=16596.6300,=3730629610829.6299,=3437541824555,=1682533784486.0845,=19.1701,=0.0131,=35.7123,=29.5403,=23.9223
2026-07-01,=11921.4700,=16646.7300,=3730828662608.0698,=3437162323754,=1681324018671.8042,=19.1759,=0.0133,=35.7123,=29.5421,=23.9276
2026-06-30,=11658.4600,=16279.4800,=3670753232876.3701,=3387969928141,=1653837618888.9036,=18.7644,=0.0078,=35.7123,=29.5485,=23.9335
2026-06-29,=11779.9200,=16435.2900,=3705438497594.1382,=3417232441329,=1669930894480.4617,=18.9061,=0.0092,=35.7123,=29.5549,=23.9374
2026-06-26,=11451.0900,=15976.5100,=3613457297878.0308,=3331823489520,=1627194224046.8601,=18.4679,=0.0070,=35.7123,=29.5572,=23.9445
2026-06-25,=11592.1800,=16135.2000,=3694360091674.5703,=3411171365808,=1661627763019.3645,=18.7719,=0.0075,=35.7518,=29.5596,=23.9445
2026-06-24,=11564.9200,=16097.2600,=3684781655792.2412,=3400790900198,=1656808215894.2500,=18.8183,=0.0075,=35.7518,=29.5600,=23.9473
2026-06-23,=11746.1100,=16332.9200,=3736214573913.3179,=3446620514913,=1680233112900.4199,=19.1799,=0.0121,=35.7518,=29.5605,=23.9477
2026-06-22,=11933.8800,=16589.4500,=3792983596949.9888,=3499627742518,=1706424076337.8440,=19.5538,=0.0206,=35.7518,=29.5613,=23.9495
2026-06-18,=11832.4800,=16448.5000,=3744536837043.0298,=3453459621087,=1683933586404.1399,=19.5016,=0.0192,=35.7518,=29.5620,=23.9609
2026-06-17,=12111.3800,=16831.7000,=3828650423210.6802,=3530658498753,=1721540811363.3721,=19.9705,=0.0318,=35.7534,=29.5630,=23.9609
2026-06-16,=12234.7800,=16989.1600,=3872266853592.8599,=3568822753659,=1740227070187.1541,=20.1927,=0.0372,=35.7534,=29.5639,=23.9817
2026-06-15,=12453.5700,=17292.9600,=3934258299925.5410,=3624949492278,=1768152136949.0081,=20.6422,=0.0549,=35.7534,=29.5648,=23.9821
2026-06-12,=12532.0100,=17381.2100,=4017229560115.6992,=3705322831127,=1809550890916.5120,=20.7802,=0.0613,=35.7534,=29.5657,=23.9869
2026-06-11,=12412.8100,=17214.6400,=3977528047951.8398,=3671878389198,=1792870972624.8464,=20.4391,=0.0474,=35.7534,=29.5689,=23.9924
2026-06-10,=12420.4600,=17225.2400,=3975981368811.8101,=3667967967166,=1791428467460.4141,=20.5680,=0.0511,=35.7720,=29.5721,=23.9924
2026-06-09,=12302.3500,=17061.4500,=3932140160305.9009,=3626385489669,=1771219779251.0295,=20.3426,=0.0435,=35.7720,=29.5722,=23.9954
2026-06-08,=12364.6500,=17147.8600,=3951115442425.5498,=3645120941738,=1780564644600.8335,=20.4819,=0.0489,=35.7720,=29.5723,=23.9961
2026-06-05,=12557.5100,=17410.3800,=4003300792466.5308,=3692284387914,=1802944192695.2524,=20.7876,=0.0608,=35.7720,=29.5735,=24.0027
2026-06-04,=12623.7600,=17432.8500,=4006648586394.9302,=3695886800789,=1808051345784.8535,=20.8679,=0.0645,=35.7720,=29.5747,=24.0122
2026-06-03,=12856.3300,=17740.8000,=4073558065846.1211,=3753771795261,=1836536625486.6875,=21.2987,=0.0913,=35.7884,=29.5764,=24.0122
2026-06-02,=13034.5700,=17979.3600,=4138458966668.8198,=3813213102302,=1865106637040.1599,=21.6768,=0.1062,=35.7884,=29.5780,=24.0196
2026-06-01,=13244.4800,=18268.4600,=4185941986086.4102,=3854188499644,=1885940605625.7395,=22.0690,=0.1152,=35.7884,=29.5811,=24.0242
2026-05-29,=13190.3900,=18193.8500,=4189991576584.6699,=3862601696716,=1889122092687.4116,=21.7781,=0.1094,=35.7884,=29.5843,=24.0262
2026-05-28,=12865.4100,=17745.5900,=4069919056588.0698,=3749573288476,=1833822110207.1985,=21.2943,=0.0912,=35.7884,=29.5873,=24.0383
2026-05-27,=13099.6500,=18067.6000,=4151302290140.9302,=3824021834990,=1869304217215.6699,=21.6343,=0.1039,=35.8353,=29.5904,=24.0383
2026-05-26,=13074.6100,=18016.2200,=4110709491533.8198,=3784342906208,=1853140738085.1465,=21.5480,=0.1000,=35.8353,=29.5926,=24.0432
2026-05-25,=13104.6400,=18049.8300,=4134015921145.0986,=3809386357559,=1862288805056.5315,=21.5706,=0.1015,=35.8353,=29.5947,=24.0473
2026-05-22,=13093.3400,=18034.2700,=4137037425066.8589,=3811210958596,=1862875114489.2544,=21.5753,=0.1015,=35.8353,=29.5980,=24.0494
2026-05-21,=13270.0800,=18277.7100,=4192190894349.5210,=3863258817448,=1890058555490.5640,=21.7470,=0.1071,=35.8353,=29.6012,=24.0603
2026-05-20,=13420.8000,=18483.4800,=4230777072330.7900,=3897104048284,=1906245910900.1096,=22.0571,=0.1133,=35.8417,=29.6038,=24.0603
2026-05-19,=13451.4600,=18525.7100,=4247127171147.1001,=3910692839382,=1913532437201.2280,=21.9851,=0.1111,=35.8417,=29.6064,=24.0863
2026-05-18,=13467.5700,=18547.8900,=4249274462522.2700,=3912923994043,=1914210154697.0603,=21.9727,=0.1109,=35.8417,=29.6071,=24.0870
2026-05-15,=13642.8100,=18781.5700,=4295479840818.6694,=3951725240816,=1935507258258.8601,=22.1426,=0.1141,=35.8417,=29.6078,=24.0900
