日期,="华夏上证科创板50成份ETF相对起始点分红再投入收益率",="科创50相对起始点全收益率",="绝对收益率差值(基金相对值 / 指数相对值 - 1)"
2026-07-17,=0.2563,=0.3153,=-0.0448
2026-07-16,=0.3527,=0.4161,=-0.0448
2026-07-15,=0.4092,=0.4754,=-0.0449
2026-07-14,=0.4713,=0.5409,=-0.0452
2026-07-13,=0.4603,=0.5291,=-0.0450
2026-07-10,=0.5118,=0.5832,=-0.0451
2026-07-09,=0.6002,=0.6759,=-0.0452
2026-07-08,=0.4762,=0.5459,=-0.0451
2026-07-07,=0.4654,=0.5346,=-0.0451
2026-07-06,=0.4612,=0.5304,=-0.0452
2026-07-03,=0.4461,=0.5147,=-0.0453
2026-07-02,=0.4546,=0.5236,=-0.0453
2026-07-01,=0.5760,=0.6506,=-0.0452
2026-06-30,=0.6162,=0.6926,=-0.0451
2026-06-29,=0.5561,=0.6298,=-0.0453
2026-06-26,=0.4875,=0.5579,=-0.0452
2026-06-25,=0.5125,=0.5839,=-0.0451
2026-06-24,=0.4567,=0.5250,=-0.0448
2026-06-23,=0.4032,=0.4689,=-0.0447
2026-06-22,=0.4270,=0.4939,=-0.0448
2026-06-18,=0.3996,=0.4652,=-0.0448
2026-06-17,=0.3475,=0.4110,=-0.0450
2026-06-16,=0.2876,=0.3479,=-0.0447
2026-06-15,=0.2812,=0.3401,=-0.0439
2026-06-12,=0.2188,=0.2749,=-0.0439
2026-06-11,=0.2206,=0.2743,=-0.0421
2026-06-10,=0.2124,=0.2664,=-0.0426
2026-06-09,=0.2202,=0.2747,=-0.0428
2026-06-08,=0.1710,=0.2237,=-0.0431
2026-06-05,=0.2221,=0.2786,=-0.0442
2026-06-04,=0.2734,=0.3320,=-0.0440
2026-06-03,=0.2648,=0.3229,=-0.0439
2026-06-02,=0.2377,=0.2956,=-0.0446
2026-06-01,=0.2175,=0.2750,=-0.0451
2026-05-29,=0.2818,=0.3421,=-0.0449
2026-05-28,=0.3495,=0.4132,=-0.0451
2026-05-27,=0.3284,=0.3911,=-0.0450
2026-05-26,=0.3665,=0.4311,=-0.0452
2026-05-25,=0.3872,=0.4528,=-0.0451
2026-05-22,=0.3102,=0.3722,=-0.0451
2026-05-21,=0.2905,=0.3515,=-0.0451
2026-05-20,=0.3402,=0.4033,=-0.0450
2026-05-19,=0.2987,=0.3598,=-0.0449
2026-05-18,=0.2513,=0.3098,=-0.0447
2026-05-15,=0.2413,=0.2993,=-0.0447
2026-05-14,=0.2624,=0.3214,=-0.0447
2026-05-13,=0.2953,=0.3559,=-0.0447
2026-05-12,=0.2615,=0.3204,=-0.0446
2026-05-11,=0.2563,=0.3150,=-0.0446
2026-05-08,=0.2006,=0.2566,=-0.0445
2026-05-07,=0.2285,=0.2859,=-0.0446
2026-05-06,=0.2124,=0.2691,=-0.0447
2026-04-30,=0.1495,=0.2033,=-0.0447
2026-04-29,=0.0931,=0.1439,=-0.0444
2026-04-28,=0.0895,=0.1402,=-0.0444
2026-04-27,=0.1039,=0.1553,=-0.0445
2026-04-24,=0.0640,=0.1134,=-0.0444
2026-04-23,=0.0485,=0.0972,=-0.0444
