日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB中位数,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-07-17,=1715.4000,=1770.0700,=7267156533226.2197,=5158265433069,=3051934153149.7729,=6.9797,=0.7621,=7.5566,=5.6318,=4.6162
2026-07-16,=1846.8800,=1905.7300,=7823327075783.5801,=5531910612749,=3285075216740.3037,=7.4478,=0.7937,=7.5566,=5.6286,=4.6162
2026-07-15,=1924.2700,=1985.5900,=8048272577820.2598,=5747716720152,=3428244032602.9995,=7.5324,=0.7977,=7.5566,=5.6253,=4.6162
2026-07-14,=2009.7300,=2073.6800,=8433200859293.4199,=5982019271965,=3581036390832.6626,=7.3687,=0.7892,=7.5652,=5.6244,=4.6148
2026-07-13,=1994.3200,=2057.7800,=8430073917108.1504,=5954677326595,=3552738719162.7979,=7.4872,=0.7953,=7.5652,=5.6236,=4.6148
2026-07-10,=2064.9800,=2130.6900,=8618112231856.2822,=6152438628079,=3673468102269.9761,=7.6174,=0.8035,=7.5652,=5.6230,=4.6148
2026-07-09,=2185.8300,=2255.3800,=9128579727857.8105,=6498826162831,=3891142485865.5361,=8.1590,=0.8594,=7.5566,=5.6225,=4.6148
2026-07-08,=2016.2300,=2080.3900,=8359478184141.2197,=6032646100406,=3583661691525.3223,=7.8147,=0.8170,=7.5399,=5.6209,=4.6148
2026-07-07,=2001.5900,=2065.2800,=8233102021293.6504,=5999866002794,=3556662028775.4683,=7.6007,=0.8024,=7.5399,=5.6193,=4.6129
2026-07-06,=1996.1000,=2059.6200,=8130320887391.4287,=5981197265975,=3549324640321.8462,=7.8942,=0.8279,=7.5339,=5.6190,=4.6129
2026-07-03,=1975.6000,=2038.4700,=8014132443329.6377,=5920275738146,=3509572731705.6270,=8.0947,=0.8507,=7.5258,=5.6188,=4.6129
2026-07-02,=1987.2900,=2050.3600,=8071053854902.9004,=5949167032049,=3530090786899.6533,=8.1492,=0.8582,=7.5166,=5.6171,=4.6129
2026-07-01,=2153.0400,=2221.3700,=8688821290477.1982,=6406938389318,=3831422445811.0811,=8.2057,=0.8609,=7.5113,=5.6154,=4.6129
2026-06-30,=2207.8600,=2277.8300,=8961805112310.0293,=6577023242255,=3935911903393.8701,=8.1340,=0.8587,=7.5113,=5.6152,=4.6107
2026-06-29,=2126.0100,=2193.3800,=8622845416354.3701,=6322487534303,=3784135221537.3188,=7.6499,=0.8085,=7.4788,=5.6150,=4.6107
2026-06-26,=2032.2800,=2096.5500,=8278699026816.6816,=6064060506246,=3617445717511.1182,=7.1462,=0.7812,=7.4176,=5.6140,=4.6107
