日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM中位数,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-17,=1715.4000,=1770.0700,=7267156533226.2197,=5158265433069,=3051934153149.7729,=142.7530,=0.9855,=87.8591,=70.1446,=56.3806
2026-07-16,=1846.8800,=1905.7300,=7823327075783.5801,=5531910612749,=3285075216740.3037,=151.2772,=0.9869,=87.8377,=70.1170,=56.3806
2026-07-15,=1924.2700,=1985.5900,=8048272577820.2598,=5747716720152,=3428244032602.9995,=159.0380,=0.9890,=87.8373,=70.0895,=56.3806
2026-07-14,=2009.7300,=2073.6800,=8433200859293.4199,=5982019271965,=3581036390832.6626,=167.2237,=0.9903,=87.8373,=70.0859,=56.3453
2026-07-13,=1994.3200,=2057.7800,=8430073917108.1504,=5954677326595,=3552738719162.7979,=168.5079,=0.9910,=87.8292,=70.0823,=56.3453
2026-07-10,=2064.9800,=2130.6900,=8618112231856.2822,=6152438628079,=3673468102269.9761,=173.4088,=0.9945,=87.7966,=70.0594,=56.3453
2026-07-09,=2185.8300,=2255.3800,=9128579727857.8105,=6498826162831,=3891142485865.5361,=188.9303,=1,=87.7779,=70.0366,=56.3453
2026-07-08,=2016.2300,=2080.3900,=8359478184141.2197,=6032646100406,=3583661691525.3223,=174.6852,=0.9979,=87.7137,=70.0247,=56.3453
2026-07-07,=2001.5900,=2065.2800,=8233102021293.6504,=5999866002794,=3556662028775.4683,=173.7019,=0.9965,=87.7137,=70.0128,=56.2849
2026-07-06,=1996.1000,=2059.6200,=8130320887391.4287,=5981197265975,=3549324640321.8462,=173.3461,=0.9965,=87.6686,=69.9960,=56.2849
2026-07-03,=1975.6000,=2038.4700,=8014132443329.6377,=5920275738146,=3509572731705.6270,=171.6228,=0.9965,=87.6618,=69.9792,=56.2849
2026-07-02,=1987.2900,=2050.3600,=8071053854902.9004,=5949167032049,=3530090786899.6533,=169.6963,=0.9958,=87.6370,=69.9704,=56.2849
2026-07-01,=2153.0400,=2221.3700,=8688821290477.1982,=6406938389318,=3831422445811.0811,=179.9565,=0.9993,=87.6366,=69.9616,=56.2849
2026-06-30,=2207.8600,=2277.8300,=8961805112310.0293,=6577023242255,=3935911903393.8701,=178.7994,=0.9993,=87.6366,=69.8726,=56.2810
2026-06-29,=2126.0100,=2193.3800,=8622845416354.3701,=6322487534303,=3784135221537.3188,=182.2416,=1,=87.5987,=69.7836,=56.2810
2026-06-26,=2032.2800,=2096.5500,=8278699026816.6816,=6064060506246,=3617445717511.1182,=173.8445,=1,=87.5408,=69.7719,=56.2810
2026-06-25,=2066.3300,=2131.6300,=8485761913766.6602,=6178483960404,=3686047165781.2329,=173.8084,=1,=87.4535,=69.7602,=56.2810
2026-06-24,=1989.4300,=2052.2700,=8201145991288.2998,=5948946602446,=3545480526498.8828,=170.0951,=1,=87.4303,=69.7544,=56.2810
2026-06-23,=1916.2100,=1976.7500,=7896420091228.4463,=5743957270361,=3414231096208.1812,=166.6895,=1,=87.4303,=69.7486,=56.2202
2026-06-22,=1948.9300,=2010.4200,=7902005895276.8594,=5835130943447,=3480600352165.6396,=157.9532,=1,=87.4191,=69.7445,=56.2202
2026-06-18,=1911.5100,=1971.8300,=7807399390545.9307,=5769305135176,=3420985150739.2124,=153.8530,=1,=87.3988,=69.7403,=56.2202
2026-06-17,=1840.8200,=1898.9100,=7462724105579.4199,=5522413616600,=3279971786430.8965,=144.7549,=1,=87.3667,=69.6818,=56.2202
2026-06-16,=1758.4200,=1813.9100,=7171262175670.4111,=5296504529725,=3136523942118.7451,=131.9870,=0.9993,=87.3360,=69.6232,=56.2202
2026-06-15,=1748.3300,=1803.4500,=7156404206399.4189,=5292464931140,=3123898096817.2212,=134.5871,=1,=87.3360,=69.5849,=56.1846
2026-06-12,=1663.2200,=1715.6600,=5814874523530.6270,=4860137774949,=2778299966901.3330,=114.0910,=0.9923,=87.3272,=69.5467,=56.1846
2026-06-11,=1662.4400,=1714.8500,=5819550753371.2891,=4845761064664,=2777982495046.8003,=110.9826,=0.9874,=87.2762,=69.5431,=56.1846
2026-06-10,=1652.2200,=1704.3100,=5772333195552.3623,=4808660169406,=2757949924486.8628,=108.3191,=0.9803,=87.2645,=69.5395,=56.1846
2026-06-09,=1663.1100,=1715.4800,=5804079809074.8184,=4826166317268,=2773242116821.2212,=107.8041,=0.9775,=87.2564,=69.5063,=56.1846
2026-06-08,=1596.5700,=1646.8400,=5576431952393.6904,=4616596595096,=2661080926272.7539,=102.4629,=0.9634,=87.2564,=69.4731,=56.1835
2026-06-05,=1668.3300,=1720.7400,=5823110824687.7705,=4819237862148,=2781735101099.2231,=107.2549,=0.9754,=87.2513,=69.4502,=56.1835
2026-06-04,=1738.0600,=1792.5700,=6074179475301.4893,=5016549219514,=2902514940247.6978,=113.1981,=0.9908,=87.1422,=69.4272,=56.1835
2026-06-03,=1726.1800,=1780.2800,=6037167213785.6504,=4987209534900,=2882242761844.4805,=113.2911,=0.9915,=87.0285,=69.3944,=56.1835
2026-06-02,=1690.5600,=1743.5400,=5917715601795.6406,=4882203925662,=2820327271912.0615,=107.8615,=0.9795,=86.9605,=69.3616,=56.1835
2026-06-01,=1663.6900,=1715.8400,=5827548630788.1504,=4792736441184,=2773166772542.9004,=105.6511,=0.9711,=86.9605,=69.3167,=56.1451
2026-05-29,=1751.3200,=1806.1100,=6138443981639.8496,=5046018418862,=2924587583121.8105,=114.1343,=0.9936,=86.9018,=69.2718,=56.1451
2026-05-28,=1844.2500,=1901.7800,=6491291311938.1797,=5300228062880,=3080012134352.6245,=120.1768,=0.9979,=86.8594,=69.2543,=56.1451
2026-05-27,=1815.4500,=1872.0800,=6366175245764.2803,=5226940240662,=3035135062887.1587,=120.7745,=0.9986,=86.8571,=69.2367,=56.1451
2026-05-26,=1867.7100,=1925.9700,=6551261902723.9316,=5394258553732,=3126023568186.7129,=129.5319,=0.9993,=86.8436,=69.2363,=56.1451
2026-05-25,=1896.0400,=1955.1800,=6637976591169.9883,=5431740877114,=3172964873089.5142,=129.8560,=1,=86.8436,=69.2359,=56.1097
2026-05-22,=1790.7700,=1846.6300,=6195453699357.6611,=5143681805829,=2993576411055.2397,=117.3113,=0.9979,=86.8413,=69.2009,=56.1097
2026-05-21,=1764.1700,=1818.8200,=6092268091753.1719,=5074609977030,=2947791803290.0024,=117.4626,=0.9986,=86.8239,=69.1659,=56.1097
2026-05-20,=1832.0200,=1888.5800,=6339632717685.6807,=5271320792213,=3060427926375.5845,=117.9732,=1,=86.8188,=69.1481,=56.1097
2026-05-19,=1775.1300,=1829.9300,=6103603249135.4805,=5127590190018,=2962348991021.6440,=114.1228,=0.9986,=86.8115,=69.1302,=56.1097
2026-05-18,=1709.9600,=1762.7500,=5895007378337.3291,=4921601115439,=2854000788502.3936,=109.6511,=0.9929,=86.8115,=69.1258,=56.0508
2026-05-15,=1696.2600,=1748.6200,=5864970397101.4111,=4882509573468,=2831803697462.8003,=108.9767,=0.9908,=86.7540,=69.1213,=56.0508
2026-05-14,=1725.0900,=1778.3500,=5970981049421.7705,=4987701093593,=2880533253519.2085,=109.5068,=0.9929,=86.7103,=69.1010,=56.0508
2026-05-13,=1770.1500,=1824.7400,=6154793757569.3408,=5145651861154,=2957352468341.5605,=106.5761,=0.9850,=86.7047,=69.0807,=56.0508
2026-05-12,=1723.7800,=1776.9400,=6021771086040.9785,=5022023946891,=2878672320654.3428,=102.1314,=0.9758,=86.7038,=69.0252,=56.0508
2026-05-11,=1716.6900,=1769.6300,=5999012285864.7100,=4992549283827,=2865789926416.5005,=102.4910,=0.9765,=86.7038,=68.9697,=56.0211
2026-05-08,=1640.4600,=1691.0500,=5769449484746.6602,=4776757438293,=2734229573699.7852,=92.7951,=0.9272,=86.6895,=68.9419,=56.0211
2026-05-07,=1678.8900,=1730.4800,=5923482866287.1992,=4899256462636,=2802258061235.7598,=94.3324,=0.9407,=86.6814,=68.9141,=56.0211
