日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM平均值,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-17,=1715.4000,=1770.0700,=7267156533226.2197,=5158265433069,=3051934153149.7729,=111.9875,=0.9821,=83.8552,=62.0510,=54.1852
2026-07-16,=1846.8800,=1905.7300,=7823327075783.5801,=5531910612749,=3285075216740.3037,=120.3886,=0.9869,=83.7321,=62.0504,=54.1852
2026-07-15,=1924.2700,=1985.5900,=8048272577820.2598,=5747716720152,=3428244032602.9995,=124.5397,=0.9890,=83.5862,=62.0498,=54.1852
2026-07-14,=2009.7300,=2073.6800,=8433200859293.4199,=5982019271965,=3581036390832.6626,=128.7187,=0.9917,=83.5862,=62.0414,=54.0556
2026-07-13,=1994.3200,=2057.7800,=8430073917108.1504,=5954677326595,=3552738719162.7979,=127.6167,=0.9910,=83.5603,=62.0331,=54.0556
2026-07-10,=2064.9800,=2130.6900,=8618112231856.2822,=6152438628079,=3673468102269.9761,=132.4165,=0.9979,=83.4433,=62.0153,=54.0556
2026-07-09,=2185.8300,=2255.3800,=9128579727857.8105,=6498826162831,=3891142485865.5361,=140.0550,=1,=83.3205,=61.9975,=54.0556
2026-07-08,=2016.2300,=2080.3900,=8359478184141.2197,=6032646100406,=3583661691525.3223,=130.3560,=0.9951,=83.3162,=61.9925,=54.0556
2026-07-07,=2001.5900,=2065.2800,=8233102021293.6504,=5999866002794,=3556662028775.4683,=130.7253,=0.9958,=83.3162,=61.9874,=53.9623
2026-07-06,=1996.1000,=2059.6200,=8130320887391.4287,=5981197265975,=3549324640321.8462,=129.7956,=0.9958,=83.3102,=61.9698,=53.9623
2026-07-03,=1975.6000,=2038.4700,=8014132443329.6377,=5920275738146,=3509572731705.6270,=130.8962,=0.9972,=83.2645,=61.9522,=53.9623
2026-07-02,=1987.2900,=2050.3600,=8071053854902.9004,=5949167032049,=3530090786899.6533,=131.2272,=0.9979,=83.2566,=61.9181,=53.9623
2026-07-01,=2153.0400,=2221.3700,=8688821290477.1982,=6406938389318,=3831422445811.0811,=139.2866,=0.9993,=83.1804,=61.8840,=53.9623
2026-06-30,=2207.8600,=2277.8300,=8961805112310.0293,=6577023242255,=3935911903393.8701,=139.3938,=1,=83.1804,=61.8713,=53.9340
2026-06-29,=2126.0100,=2193.3800,=8622845416354.3701,=6322487534303,=3784135221537.3188,=131.8500,=1,=83.1707,=61.8585,=53.9340
2026-06-26,=2032.2800,=2096.5500,=8278699026816.6816,=6064060506246,=3617445717511.1182,=127.6303,=0.9986,=83.0398,=61.8402,=53.9340
2026-06-25,=2066.3300,=2131.6300,=8485761913766.6602,=6178483960404,=3686047165781.2329,=130.7643,=1,=83.0366,=61.8218,=53.9340
2026-06-24,=1989.4300,=2052.2700,=8201145991288.2998,=5948946602446,=3545480526498.8828,=128.7565,=1,=83.0142,=61.8006,=53.9340
2026-06-23,=1916.2100,=1976.7500,=7896420091228.4463,=5743957270361,=3414231096208.1812,=124.4741,=0.9993,=83.0142,=61.7793,=53.9337
2026-06-22,=1948.9300,=2010.4200,=7902005895276.8594,=5835130943447,=3480600352165.6396,=125.7809,=1,=82.9456,=61.7781,=53.9337
2026-06-18,=1911.5100,=1971.8300,=7807399390545.9307,=5769305135176,=3420985150739.2124,=123.2368,=1,=82.9412,=61.7769,=53.9337
2026-06-17,=1840.8200,=1898.9100,=7462724105579.4199,=5522413616600,=3279971786430.8965,=119.2966,=1,=82.8655,=61.7549,=53.9337
2026-06-16,=1758.4200,=1813.9100,=7171262175670.4111,=5296504529725,=3136523942118.7451,=115.1472,=0.9979,=82.8524,=61.7329,=53.9337
2026-06-15,=1748.3300,=1803.4500,=7156404206399.4189,=5292464931140,=3123898096817.2212,=114.1745,=0.9979,=82.8524,=61.7315,=53.9327
2026-06-12,=1663.2200,=1715.6600,=5814874523530.6270,=4860137774949,=2778299966901.3330,=92.9661,=0.9194,=82.8515,=61.7301,=53.9327
2026-06-11,=1662.4400,=1714.8500,=5819550753371.2891,=4845761064664,=2777982495046.8003,=91.7665,=0.9039,=82.7259,=61.7242,=53.9327
2026-06-10,=1652.2200,=1704.3100,=5772333195552.3623,=4808660169406,=2757949924486.8628,=91.1205,=0.8933,=82.6766,=61.7183,=53.9327
2026-06-09,=1663.1100,=1715.4800,=5804079809074.8184,=4826166317268,=2773242116821.2212,=92.2317,=0.9079,=82.6436,=61.7157,=53.9327
2026-06-08,=1596.5700,=1646.8400,=5576431952393.6904,=4616596595096,=2661080926272.7539,=89.1293,=0.8748,=82.6436,=61.7132,=53.9188
2026-06-05,=1668.3300,=1720.7400,=5823110824687.7705,=4819237862148,=2781735101099.2231,=92.1387,=0.9071,=82.6435,=61.6891,=53.9188
2026-06-04,=1738.0600,=1792.5700,=6074179475301.4893,=5016549219514,=2902514940247.6978,=94.1355,=0.9373,=82.6230,=61.6651,=53.9188
2026-06-03,=1726.1800,=1780.2800,=6037167213785.6504,=4987209534900,=2882242761844.4805,=94.2374,=0.9387,=82.5437,=61.6536,=53.9188
2026-06-02,=1690.5600,=1743.5400,=5917715601795.6406,=4882203925662,=2820327271912.0615,=92.8603,=0.9196,=82.5284,=61.6421,=53.9188
2026-06-01,=1663.6900,=1715.8400,=5827548630788.1504,=4792736441184,=2773166772542.9004,=91.5810,=0.9054,=82.5284,=61.6397,=53.8921
2026-05-29,=1751.3200,=1806.1100,=6138443981639.8496,=5046018418862,=2924587583121.8105,=94.8774,=0.9470,=82.5110,=61.6373,=53.8921
2026-05-28,=1844.2500,=1901.7800,=6491291311938.1797,=5300228062880,=3080012134352.6245,=99.4203,=0.9746,=82.5026,=61.6303,=53.8921
2026-05-27,=1815.4500,=1872.0800,=6366175245764.2803,=5226940240662,=3035135062887.1587,=97.7967,=0.9639,=82.4641,=61.6234,=53.8921
2026-05-26,=1867.7100,=1925.9700,=6551261902723.9316,=5394258553732,=3126023568186.7129,=100.3675,=0.9823,=82.4211,=61.6122,=53.8921
2026-05-25,=1896.0400,=1955.1800,=6637976591169.9883,=5431740877114,=3172964873089.5142,=101.0819,=0.9844,=82.4211,=61.6010,=53.8401
2026-05-22,=1790.7700,=1846.6300,=6195453699357.6611,=5143681805829,=2993576411055.2397,=95.6061,=0.9554,=82.3952,=61.5947,=53.8401
2026-05-21,=1764.1700,=1818.8200,=6092268091753.1719,=5074609977030,=2947791803290.0024,=94.4130,=0.9475,=82.3358,=61.5884,=53.8401
2026-05-20,=1832.0200,=1888.5800,=6339632717685.6807,=5271320792213,=3060427926375.5845,=98.3458,=0.9695,=82.3226,=61.5868,=53.8401
2026-05-19,=1775.1300,=1829.9300,=6103603249135.4805,=5127590190018,=2962348991021.6440,=95.6303,=0.9574,=82.2908,=61.5851,=53.8401
2026-05-18,=1709.9600,=1762.7500,=5895007378337.3291,=4921601115439,=2854000788502.3936,=92.7540,=0.9254,=82.2908,=61.5654,=53.7571
2026-05-15,=1696.2600,=1748.6200,=5864970397101.4111,=4882509573468,=2831803697462.8003,=92.1566,=0.9161,=82.1550,=61.5457,=53.7571
2026-05-14,=1725.0900,=1778.3500,=5970981049421.7705,=4987701093593,=2880533253519.2085,=92.9352,=0.9260,=82.1013,=61.5444,=53.7571
2026-05-13,=1770.1500,=1824.7400,=6154793757569.3408,=5145651861154,=2957352468341.5605,=95.6271,=0.9573,=82.0829,=61.5431,=53.7571
2026-05-12,=1723.7800,=1776.9400,=6021771086040.9785,=5022023946891,=2878672320654.3428,=94.1250,=0.9437,=82.0720,=61.5341,=53.7571
2026-05-11,=1716.6900,=1769.6300,=5999012285864.7100,=4992549283827,=2865789926416.5005,=93.9224,=0.9429,=82.0720,=61.5251,=53.7527
