日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-17,=1715.4000,=1770.0700,=7267156533226.2197,=5158265433069,=3051934153149.7729,=47.5960,=0.6683,=57.2090,=41.9583,=34.3738
2026-07-16,=1846.8800,=1905.7300,=7823327075783.5801,=5531910612749,=3285075216740.3037,=50.3588,=0.7295,=57.2090,=41.9547,=34.3738
2026-07-15,=1924.2700,=1985.5900,=8048272577820.2598,=5747716720152,=3428244032602.9995,=50.4545,=0.7320,=57.2090,=41.9512,=34.3738
2026-07-14,=2009.7300,=2073.6800,=8433200859293.4199,=5982019271965,=3581036390832.6626,=50.4975,=0.7326,=57.2387,=41.9482,=34.3397
2026-07-13,=1994.3200,=2057.7800,=8430073917108.1504,=5954677326595,=3552738719162.7979,=50.4341,=0.7317,=57.2387,=41.9453,=34.3397
2026-07-10,=2064.9800,=2130.6900,=8618112231856.2822,=6152438628079,=3673468102269.9761,=52.3447,=0.7453,=57.2387,=41.9413,=34.3397
2026-07-09,=2185.8300,=2255.3800,=9128579727857.8105,=6498826162831,=3891142485865.5361,=52.7379,=0.7486,=57.2387,=41.9374,=34.3397
2026-07-08,=2016.2300,=2080.3900,=8359478184141.2197,=6032646100406,=3583661691525.3223,=51.1070,=0.7387,=57.2387,=41.9311,=34.3397
2026-07-07,=2001.5900,=2065.2800,=8233102021293.6504,=5999866002794,=3556662028775.4683,=51.3848,=0.7399,=57.4269,=41.9248,=34.3234
2026-07-06,=1996.1000,=2059.6200,=8130320887391.4287,=5981197265975,=3549324640321.8462,=52.0776,=0.7446,=57.4269,=41.9227,=34.3234
2026-07-03,=1975.6000,=2038.4700,=8014132443329.6377,=5920275738146,=3509572731705.6270,=52.6794,=0.7472,=57.4269,=41.9205,=34.3234
2026-07-02,=1987.2900,=2050.3600,=8071053854902.9004,=5949167032049,=3530090786899.6533,=52.2337,=0.7457,=57.4269,=41.9177,=34.3234
2026-07-01,=2153.0400,=2221.3700,=8688821290477.1982,=6406938389318,=3831422445811.0811,=53.2329,=0.7510,=57.4269,=41.9149,=34.3234
2026-06-30,=2207.8600,=2277.8300,=8961805112310.0293,=6577023242255,=3935911903393.8701,=53.0397,=0.7502,=57.5749,=41.9031,=34.2906
2026-06-29,=2126.0100,=2193.3800,=8622845416354.3701,=6322487534303,=3784135221537.3188,=51.8977,=0.7458,=57.5749,=41.8913,=34.2906
2026-06-26,=2032.2800,=2096.5500,=8278699026816.6816,=6064060506246,=3617445717511.1182,=50.2123,=0.7359,=57.5749,=41.8737,=34.2906
2026-06-25,=2066.3300,=2131.6300,=8485761913766.6602,=6178483960404,=3686047165781.2329,=51.0315,=0.7413,=57.5749,=41.8561,=34.2906
2026-06-24,=1989.4300,=2052.2700,=8201145991288.2998,=5948946602446,=3545480526498.8828,=50.1802,=0.7355,=57.5749,=41.8510,=34.2906
2026-06-23,=1916.2100,=1976.7500,=7896420091228.4463,=5743957270361,=3414231096208.1812,=49.8332,=0.7304,=57.6004,=41.8459,=34.2896
2026-06-22,=1948.9300,=2010.4200,=7902005895276.8594,=5835130943447,=3480600352165.6396,=50.4365,=0.7372,=57.6004,=41.8458,=34.2896
2026-06-18,=1911.5100,=1971.8300,=7807399390545.9307,=5769305135176,=3420985150739.2124,=49.8303,=0.7308,=57.6004,=41.8457,=34.2896
2026-06-17,=1840.8200,=1898.9100,=7462724105579.4199,=5522413616600,=3279971786430.8965,=49.8778,=0.7320,=57.6004,=41.8426,=34.2896
2026-06-16,=1758.4200,=1813.9100,=7171262175670.4111,=5296504529725,=3136523942118.7451,=49.1101,=0.7206,=57.6004,=41.8395,=34.2896
2026-06-15,=1748.3300,=1803.4500,=7156404206399.4189,=5292464931140,=3123898096817.2212,=49.0123,=0.7204,=57.7090,=41.8371,=34.2640
2026-06-12,=1663.2200,=1715.6600,=5814874523530.6270,=4860137774949,=2778299966901.3330,=43.0166,=0.5589,=57.7090,=41.8347,=34.2640
2026-06-11,=1662.4400,=1714.8500,=5819550753371.2891,=4845761064664,=2777982495046.8003,=42.3811,=0.5340,=57.7090,=41.8264,=34.2640
2026-06-10,=1652.2200,=1704.3100,=5772333195552.3623,=4808660169406,=2757949924486.8628,=42.4739,=0.5386,=57.7090,=41.8181,=34.2640
2026-06-09,=1663.1100,=1715.4800,=5804079809074.8184,=4826166317268,=2773242116821.2212,=43.2844,=0.5706,=57.7090,=41.8160,=34.2640
2026-06-08,=1596.5700,=1646.8400,=5576431952393.6904,=4616596595096,=2661080926272.7539,=42.6075,=0.5464,=57.8400,=41.8138,=34.2542
2026-06-05,=1668.3300,=1720.7400,=5823110824687.7705,=4819237862148,=2781735101099.2231,=43.8073,=0.5841,=57.8400,=41.8029,=34.2542
2026-06-04,=1738.0600,=1792.5700,=6074179475301.4893,=5016549219514,=2902514940247.6978,=44.2199,=0.5880,=57.8400,=41.7920,=34.2542
2026-06-03,=1726.1800,=1780.2800,=6037167213785.6504,=4987209534900,=2882242761844.4805,=44.5117,=0.5934,=57.8400,=41.7875,=34.2542
2026-06-02,=1690.5600,=1743.5400,=5917715601795.6406,=4882203925662,=2820327271912.0615,=44.5813,=0.5938,=57.8400,=41.7830,=34.2542
2026-06-01,=1663.6900,=1715.8400,=5827548630788.1504,=4792736441184,=2773166772542.9004,=44.8340,=0.5956,=57.8596,=41.7781,=34.2352
2026-05-29,=1751.3200,=1806.1100,=6138443981639.8496,=5046018418862,=2924587583121.8105,=45.3923,=0.6081,=57.8596,=41.7731,=34.2352
2026-05-28,=1844.2500,=1901.7800,=6491291311938.1797,=5300228062880,=3080012134352.6245,=46.5402,=0.6424,=57.8596,=41.7609,=34.2352
2026-05-27,=1815.4500,=1872.0800,=6366175245764.2803,=5226940240662,=3035135062887.1587,=46.5678,=0.6436,=57.8596,=41.7487,=34.2352
2026-05-26,=1867.7100,=1925.9700,=6551261902723.9316,=5394258553732,=3126023568186.7129,=47.0729,=0.6568,=57.8596,=41.7225,=34.2352
2026-05-25,=1896.0400,=1955.1800,=6637976591169.9883,=5431740877114,=3172964873089.5142,=47.2462,=0.6650,=57.9050,=41.6963,=34.2259
2026-05-22,=1790.7700,=1846.6300,=6195453699357.6611,=5143681805829,=2993576411055.2397,=46.9232,=0.6520,=57.9050,=41.6963,=34.2259
