日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM中位数,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-17,=1715.4000,=1770.0700,=7267156533226.2197,=5158265433069,=3051934153149.7729,=9.7678,=0.5455,=15.5687,=9.5832,=8.4709
2026-07-16,=1846.8800,=1905.7300,=7823327075783.5801,=5531910612749,=3285075216740.3037,=10.6337,=0.6770,=15.5687,=9.5829,=8.4709
2026-07-15,=1924.2700,=1985.5900,=8048272577820.2598,=5747716720152,=3428244032602.9995,=10.7611,=0.6865,=15.5687,=9.5827,=8.4709
2026-07-14,=2009.7300,=2073.6800,=8433200859293.4199,=5982019271965,=3581036390832.6626,=10.4425,=0.6482,=15.5827,=9.5795,=8.4700
2026-07-13,=1994.3200,=2057.7800,=8430073917108.1504,=5954677326595,=3552738719162.7979,=10.4420,=0.6480,=15.5827,=9.5763,=8.4700
2026-07-10,=2064.9800,=2130.6900,=8618112231856.2822,=6152438628079,=3673468102269.9761,=10.8856,=0.6990,=15.5827,=9.5746,=8.4700
2026-07-09,=2185.8300,=2255.3800,=9128579727857.8105,=6498826162831,=3891142485865.5361,=11.7882,=0.7202,=15.5827,=9.5729,=8.4700
2026-07-08,=2016.2300,=2080.3900,=8359478184141.2197,=6032646100406,=3583661691525.3223,=10.8669,=0.6985,=15.5827,=9.5722,=8.4700
2026-07-07,=2001.5900,=2065.2800,=8233102021293.6504,=5999866002794,=3556662028775.4683,=11.0946,=0.7080,=15.5985,=9.5716,=8.4697
2026-07-06,=1996.1000,=2059.6200,=8130320887391.4287,=5981197265975,=3549324640321.8462,=11.2563,=0.7113,=15.5985,=9.5695,=8.4697
2026-07-03,=1975.6000,=2038.4700,=8014132443329.6377,=5920275738146,=3509572731705.6270,=11.2560,=0.7111,=15.5985,=9.5674,=8.4697
2026-07-02,=1987.2900,=2050.3600,=8071053854902.9004,=5949167032049,=3530090786899.6533,=11.0490,=0.7067,=15.5985,=9.5667,=8.4697
2026-07-01,=2153.0400,=2221.3700,=8688821290477.1982,=6406938389318,=3831422445811.0811,=11.8697,=0.7197,=15.5985,=9.5659,=8.4697
2026-06-30,=2207.8600,=2277.8300,=8961805112310.0293,=6577023242255,=3935911903393.8701,=12.2721,=0.7272,=15.6166,=9.5634,=8.4666
2026-06-29,=2126.0100,=2193.3800,=8622845416354.3701,=6322487534303,=3784135221537.3188,=11.2458,=0.7117,=15.6166,=9.5608,=8.4666
2026-06-26,=2032.2800,=2096.5500,=8278699026816.6816,=6064060506246,=3617445717511.1182,=11.2581,=0.7122,=15.6166,=9.5607,=8.4666
2026-06-25,=2066.3300,=2131.6300,=8485761913766.6602,=6178483960404,=3686047165781.2329,=11.5459,=0.7169,=15.6166,=9.5606,=8.4666
2026-06-24,=1989.4300,=2052.2700,=8201145991288.2998,=5948946602446,=3545480526498.8828,=11.4736,=0.7153,=15.6166,=9.5580,=8.4666
2026-06-23,=1916.2100,=1976.7500,=7896420091228.4463,=5743957270361,=3414231096208.1812,=10.9604,=0.7067,=15.6340,=9.5554,=8.4659
2026-06-22,=1948.9300,=2010.4200,=7902005895276.8594,=5835130943447,=3480600352165.6396,=11.1944,=0.7128,=15.6340,=9.5554,=8.4659
2026-06-18,=1911.5100,=1971.8300,=7807399390545.9307,=5769305135176,=3420985150739.2124,=11.0734,=0.7119,=15.6340,=9.5553,=8.4659
2026-06-17,=1840.8200,=1898.9100,=7462724105579.4199,=5522413616600,=3279971786430.8965,=10.9465,=0.7075,=15.6340,=9.5547,=8.4659
2026-06-16,=1758.4200,=1813.9100,=7171262175670.4111,=5296504529725,=3136523942118.7451,=10.9042,=0.7073,=15.6340,=9.5541,=8.4659
2026-06-15,=1748.3300,=1803.4500,=7156404206399.4189,=5292464931140,=3123898096817.2212,=10.8106,=0.7001,=15.6445,=9.5536,=8.4617
2026-06-12,=1663.2200,=1715.6600,=5814874523530.6270,=4860137774949,=2778299966901.3330,=9.6268,=0.5154,=15.6445,=9.5532,=8.4617
2026-06-11,=1662.4400,=1714.8500,=5819550753371.2891,=4845761064664,=2777982495046.8003,=9.4395,=0.4554,=15.6445,=9.5526,=8.4617
2026-06-10,=1652.2200,=1704.3100,=5772333195552.3623,=4808660169406,=2757949924486.8628,=9.3210,=0.4136,=15.6445,=9.5532,=8.4617
2026-06-09,=1663.1100,=1715.4800,=5804079809074.8184,=4826166317268,=2773242116821.2212,=9.4827,=0.4772,=15.6445,=9.5536,=8.4617
2026-06-08,=1596.5700,=1646.8400,=5576431952393.6904,=4616596595096,=2661080926272.7539,=9.1907,=0.3812,=15.6453,=9.5541,=8.4600
2026-06-05,=1668.3300,=1720.7400,=5823110824687.7705,=4819237862148,=2781735101099.2231,=9.4984,=0.4806,=15.6453,=9.5547,=8.4600
2026-06-04,=1738.0600,=1792.5700,=6074179475301.4893,=5016549219514,=2902514940247.6978,=9.5451,=0.4965,=15.6453,=9.5553,=8.4600
2026-06-03,=1726.1800,=1780.2800,=6037167213785.6504,=4987209534900,=2882242761844.4805,=9.2273,=0.3925,=15.6453,=9.5554,=8.4600
2026-06-02,=1690.5600,=1743.5400,=5917715601795.6406,=4882203925662,=2820327271912.0615,=9.2795,=0.4020,=15.6453,=9.5554,=8.4600
2026-06-01,=1663.6900,=1715.8400,=5827548630788.1504,=4792736441184,=2773166772542.9004,=8.9176,=0.3006,=15.6520,=9.5580,=8.4538
2026-05-29,=1751.3200,=1806.1100,=6138443981639.8496,=5046018418862,=2924587583121.8105,=9.1174,=0.3581,=15.6520,=9.5606,=8.4538
2026-05-28,=1844.2500,=1901.7800,=6491291311938.1797,=5300228062880,=3080012134352.6245,=9.4019,=0.4396,=15.6520,=9.5607,=8.4538
2026-05-27,=1815.4500,=1872.0800,=6366175245764.2803,=5226940240662,=3035135062887.1587,=9.3254,=0.4137,=15.6520,=9.5608,=8.4538
2026-05-26,=1867.7100,=1925.9700,=6551261902723.9316,=5394258553732,=3126023568186.7129,=9.2955,=0.4069,=15.6520,=9.5634,=8.4538
2026-05-25,=1896.0400,=1955.1800,=6637976591169.9883,=5431740877114,=3172964873089.5142,=9.1696,=0.3768,=15.6619,=9.5659,=8.4508
2026-05-22,=1790.7700,=1846.6300,=6195453699357.6611,=5143681805829,=2993576411055.2397,=9.0537,=0.3416,=15.6619,=9.5667,=8.4508
2026-05-21,=1764.1700,=1818.8200,=6092268091753.1719,=5074609977030,=2947791803290.0024,=8.9880,=0.3227,=15.6619,=9.5674,=8.4508
2026-05-20,=1832.0200,=1888.5800,=6339632717685.6807,=5271320792213,=3060427926375.5845,=9.3384,=0.4145,=15.6619,=9.5695,=8.4508
2026-05-19,=1775.1300,=1829.9300,=6103603249135.4805,=5127590190018,=2962348991021.6440,=9.2253,=0.3906,=15.6619,=9.5716,=8.4508
2026-05-18,=1709.9600,=1762.7500,=5895007378337.3291,=4921601115439,=2854000788502.3936,=9.4734,=0.4670,=15.6737,=9.5722,=8.4471
2026-05-15,=1696.2600,=1748.6200,=5864970397101.4111,=4882509573468,=2831803697462.8003,=9.3941,=0.4353,=15.6737,=9.5729,=8.4471
2026-05-14,=1725.0900,=1778.3500,=5970981049421.7705,=4987701093593,=2880533253519.2085,=9.5383,=0.4897,=15.6737,=9.5746,=8.4471
2026-05-13,=1770.1500,=1824.7400,=6154793757569.3408,=5145651861154,=2957352468341.5605,=9.7008,=0.5271,=15.6737,=9.5763,=8.4471
2026-05-12,=1723.7800,=1776.9400,=6021771086040.9785,=5022023946891,=2878672320654.3428,=9.4397,=0.4519,=15.6737,=9.5746,=8.4471
2026-05-11,=1716.6900,=1769.6300,=5999012285864.7100,=4992549283827,=2865789926416.5005,=9.5465,=0.4914,=15.6760,=9.5763,=8.4444
2026-05-08,=1640.4600,=1691.0500,=5769449484746.6602,=4776757438293,=2734229573699.7852,=9.5083,=0.4804,=15.6760,=9.5795,=8.4444
2026-05-07,=1678.8900,=1730.4800,=5923482866287.1992,=4899256462636,=2802258061235.7598,=9.3741,=0.4343,=15.6760,=9.5827,=8.4444
2026-05-06,=1656.9500,=1707.8600,=5852482521752.1406,=4841534482925,=2766102110343.8608,=9.2269,=0.3931,=15.6760,=9.5829,=8.4444
2026-04-30,=1571.0700,=1619.3400,=5558542259325.9902,=4550643368921,=2616232529267.8789,=9.0923,=0.3541,=15.6760,=9.5832,=8.4444
2026-04-29,=1493.5000,=1539.4000,=5282973057187.9990,=4313292904532,=2474250187888.0693,=9.1599,=0.3744,=15.6817,=9.5843,=8.4439
2026-04-28,=1488.6600,=1534.4000,=5270235865935.9883,=4302220169730,=2463455183758.5098,=9.4534,=0.4585,=15.6817,=9.5854,=8.4439
2026-04-27,=1508.3800,=1554.7300,=5355202284178.8486,=4367945127408,=2476039124610.4600,=9.6777,=0.5219,=15.6817,=9.5876,=8.4439
2026-04-24,=1453.6900,=1498.3500,=5173387265130.5801,=4225530488318,=2383675719221.3599,=9.4508,=0.4577,=15.6817,=9.5854,=8.4439
2026-04-23,=1432.5900,=1476.6100,=5074026349051.2402,=4158820146906,=2345396563056.1899,=9.7252,=0.5319,=15.6817,=9.5876,=8.4439
2026-04-22,=1451.1400,=1495.7300,=5123906426222.5293,=4200544960356,=2366119444269.8501,=9.9205,=0.5668,=15.6868,=9.5854,=8.4325
2026-04-21,=1426.6800,=1470.5200,=5051364344322.6592,=4134063042892,=2324886437256.3003,=9.9167,=0.5658,=15.6868,=9.5843,=8.4325
2026-04-20,=1450.5200,=1495.0900,=5134655295268.2900,=4207932776032,=2363826654583.0303,=10.1827,=0.6094,=15.6868,=9.5832,=8.4325
2026-04-17,=1423.3500,=1467.0900,=5040762688269.5293,=4135946379590,=2320785349183.6396,=9.7466,=0.5392,=15.6868,=9.5829,=8.4325
2026-04-16,=1422.2300,=1465.9300,=5021064781481.3301,=4122222571932,=2319306748973.7388,=9.9092,=0.5634,=15.6868,=9.5827,=8.4325
2026-04-15,=1406.3200,=1449.5400,=4968197275598.9199,=4073023071383,=2291779460640.3604,=10.2639,=0.6208,=15.6908,=9.5795,=8.4309
2026-04-14,=1405.0700,=1448.2500,=4943538319083.8213,=4061340054365,=2288867802572.8403,=10.3962,=0.6421,=15.6908,=9.5763,=8.4309
2026-04-13,=1375.2900,=1417.5500,=4852046509759.7197,=3977718864018,=2239983636023.3398,=10.4463,=0.6469,=15.6908,=9.5746,=8.4309
2026-04-10,=1364.4900,=1406.4200,=4808788446825.8701,=3933141220919,=2220514758030.2104,=9.5541,=0.4942,=15.6908,=9.5729,=8.4309
2026-04-09,=1343.9500,=1385.2400,=4742783812466.8008,=3875243132294,=2184453589468.6504,=9.2987,=0.4107,=15.6908,=9.5746,=8.4309
2026-04-08,=1352.6900,=1394.2500,=4779203709370.9697,=3900473445056,=2197337512791.7100,=9.4741,=0.4696,=15.7237,=9.5763,=8.4237
2026-04-07,=1274.0100,=1313.1600,=4506261958094.2695,=3679797663994,=2070184619475.0496,=9.0389,=0.3418,=15.7237,=9.5795,=8.4237
2026-04-03,=1256.2100,=1294.8100,=4427611486989.6201,=3627997877380,=2039444979943.9304,=8.9540,=0.3203,=15.7237,=9.5827,=8.4237
2026-04-02,=1262.1800,=1300.9700,=4451249320747.7910,=3642972348032,=2048152159026.0601,=9.0543,=0.3474,=15.7237,=9.5829,=8.4237
2026-04-01,=1298.2000,=1338.0900,=4580507617119.3496,=3745747860963,=2107803520596.2190,=9.1361,=0.3708,=15.7237,=9.5832,=8.4237
2026-03-31,=1256.3300,=1294.9300,=4431333813583.9893,=3617998360237,=2038339318549.6003,=8.9210,=0.3108,=15.7248,=9.5843,=8.4188
2026-03-30,=1289.7800,=1329.4100,=4534324269964.3906,=3705210833802,=2079769706122.7209,=9.3414,=0.4179,=15.7248,=9.5854,=8.4188
2026-03-27,=1300.7600,=1340.7300,=4579780902493.0293,=3738200832693,=2094225818196.6704,=9.5046,=0.4771,=15.7248,=9.5876,=8.4188
2026-03-26,=1288.8100,=1328.4100,=4530806819127.3291,=3695303895456,=2075770398451.9199,=9.2878,=0.4068,=15.7248,=9.5899,=8.4188
2026-03-25,=1315.4100,=1355.8300,=4625431271788.5098,=3759714460672,=2118463891486.6699,=9.4240,=0.4465,=15.7248,=9.5930,=8.4188
2026-03-24,=1290.7900,=1330.4500,=4553176857007.2402,=3691469054523,=2077881657566.0801,=9.1295,=0.3703,=15.7282,=9.5962,=8.4090
2026-03-23,=1261.4400,=1300.2000,=4448549633247.7891,=3598082232128,=2030333966237.7605,=8.8115,=0.2845,=15.7282,=9.5980,=8.4090
2026-03-20,=1318.3100,=1358.8200,=4646396362249.2793,=3759098788702,=2122053138902.3701,=9.2452,=0.3971,=15.7282,=9.5998,=8.4090
2026-03-19,=1339.0300,=1380.1800,=4727101916454.5508,=3813505269348,=2140516848408.2903,=9.4868,=0.4704,=15.7282,=9.6014,=8.4090
2026-03-18,=1372.5800,=1414.7500,=4832539530372.2002,=3907072832863,=2193679094921.3796,=9.6767,=0.5190,=15.7282,=9.6029,=8.4090
2026-03-17,=1354.1500,=1395.7600,=4781543805899.0703,=3864392271551,=2164440428935.8401,=9.8143,=0.5494,=15.7422,=9.6014,=8.4056
2026-03-16,=1384.9900,=1427.5400,=4891573130805.1387,=3949816296177,=2211616683164.6499,=10.0007,=0.5754,=15.7422,=9.5998,=8.4056
2026-03-13,=1373.6400,=1415.8400,=4769400208537.2695,=3860339698329,=2122649392845.2104,=8.8711,=0.2989,=15.7422,=9.5980,=8.4056
2026-03-12,=1383.6500,=1426.1700,=4799699192072.3994,=3893792028028,=2138281269237.1101,=9.0358,=0.3424,=15.7422,=9.5998,=8.4056
2026-03-11,=1401.0800,=1444.1400,=4854167987477.3594,=3937429774583,=2163643552048.3501,=9.1935,=0.3866,=15.7422,=9.6014,=8.4056
2026-03-10,=1420.5400,=1464.1900,=4910582299224.8896,=3995047431202,=2196795112451.6997,=9.3621,=0.4288,=15.7532,=9.6029,=8.4053
2026-03-09,=1390.4800,=1433.2100,=4796964176910.1201,=3901184112854,=2149277814100.4399,=9.0426,=0.3431,=15.7532,=9.6091,=8.4053
2026-03-06,=1414.3900,=1457.8600,=4874844721291.7207,=3967387968985,=2187769172956.9199,=9.2531,=0.3978,=15.7532,=9.6152,=8.4053
2026-03-05,=1405.3500,=1448.5400,=4853157937083.1113,=3947848623113,=2178368245995.5400,=9.1975,=0.3878,=15.7532,=9.6163,=8.4053
2026-03-04,=1381.5600,=1424.0100,=4774814404887.0811,=3874937161467,=2139525186811.8301,=9.3060,=0.4072,=15.7532,=9.6174,=8.4053
2026-03-03,=1388.4100,=1431.0700,=4818343196328.2793,=3905585429403,=2152551888521.4500,=8.7497,=0.2741,=15.7539,=9.6189,=8.4013
2026-03-02,=1464.7700,=1509.7800,=5067923507461.3203,=4116617248634,=2271667151348.5405,=9.0749,=0.3547,=15.7539,=9.6204,=8.4013
2026-02-27,=1488.0200,=1533.7500,=5135855465398.1699,=4165304159787,=2305344565949.5908,=9.3825,=0.4325,=15.7539,=9.6227,=8.4013
2026-02-26,=1485.8600,=1531.5200,=5138564262704.1396,=4159952518047,=2301650967225.1099,=9.4585,=0.4586,=15.7539,=9.6250,=8.4013
2026-02-25,=1473.2800,=1518.5600,=5081987488958.0195,=4103659447297,=2276447678483.0010,=9.4979,=0.4693,=15.7539,=9.6263,=8.4013
2026-02-24,=1465.3700,=1510.3900,=5052837077620.5596,=4077626095054,=2264355982564.6499,=9.6705,=0.5126,=15.7559,=9.6277,=8.3996
2026-02-13,=1470.3300,=1515.5100,=5088155530519.8203,=4111789846928,=2275957635251.3398,=9.4345,=0.4478,=15.7559,=9.6263,=8.3996
2026-02-12,=1480.9900,=1526.5000,=5117248241962.6289,=4145444244760,=2291869880327.7305,=9.6456,=0.5052,=15.7559,=9.6277,=8.3996
2026-02-11,=1455.1100,=1499.8300,=5030926712444.6895,=4071917124621,=2251837173453.3301,=9.3461,=0.4181,=15.7559,=9.6263,=8.3996
2026-02-10,=1471.5000,=1516.7100,=5082597499353.1592,=4115179618710,=2279110907769.1602,=9.4036,=0.4355,=15.7559,=9.6277,=8.3996
2026-02-09,=1458.1600,=1502.9700,=5033334952863.8203,=4073834680040,=2256487354740.2988,=9.4014,=0.4350,=15.7566,=9.6281,=8.3976
2026-02-06,=1422.4100,=1466.1100,=4907902080624.0195,=3979797176291,=2198970925373.6399,=9.2541,=0.4004,=15.7566,=9.6286,=8.3976
2026-02-05,=1432.5200,=1476.5400,=4922660724633.1602,=3999579278552,=2214575529949.9702,=9.2499,=0.3993,=15.7566,=9.6295,=8.3976
2026-02-04,=1453.4800,=1498.1400,=5004696358909.3203,=4057072486298,=2246514726084.9502,=9.3747,=0.4323,=15.7566,=9.6303,=8.3976
2026-02-03,=1471.0700,=1516.2700,=5058636856897.0703,=4107276191621,=2278511366372.7095,=9.4075,=0.4363,=15.7566,=9.6305,=8.3976
2026-02-02,=1450.9000,=1495.4800,=5028461393339.6484,=4076845301619,=2256609885739.5405,=9.2932,=0.4083,=15.7649,=9.6306,=8.3962
2026-01-30,=1509.4000,=1555.7800,=5233180562621.7998,=4233154400409,=2345084068270.6997,=9.9727,=0.5638,=15.7649,=9.6322,=8.3962
2026-01-29,=1507.6400,=1553.9700,=5241255718198.9902,=4239199810460,=2337264026977.7808,=10.2034,=0.5993,=15.7649,=9.6306,=8.3962
2026-01-28,=1554.8000,=1602.5300,=5407343038347.3691,=4359905168290,=2413172986464.0103,=10.5226,=0.6490,=15.7649,=9.6305,=8.3962
