日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM市值加权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-17,=1715.4000,=1770.0700,=7267156533226.2197,=5158265433069,=3051934153149.7729,=10.8570,=0.9034,=9.5698,=5.5900,=4.5621
2026-07-16,=1846.8800,=1905.7300,=7823327075783.5801,=5531910612749,=3285075216740.3037,=11.6879,=0.9289,=9.5668,=5.5884,=4.5621
2026-07-15,=1924.2700,=1985.5900,=8048272577820.2598,=5747716720152,=3428244032602.9995,=12.0240,=0.9544,=9.5609,=5.5868,=4.5621
2026-07-14,=2009.7300,=2073.6800,=8433200859293.4199,=5982019271965,=3581036390832.6626,=12.5991,=0.9869,=9.5609,=5.5776,=4.5618
2026-07-13,=1994.3200,=2057.7800,=8430073917108.1504,=5954677326595,=3552738719162.7979,=12.5944,=0.9869,=9.5558,=5.5683,=4.5618
2026-07-10,=2064.9800,=2130.6900,=8618112231856.2822,=6152438628079,=3673468102269.9761,=12.8753,=0.9924,=9.5545,=5.5674,=4.5618
2026-07-09,=2185.8300,=2255.3800,=9128579727857.8105,=6498826162831,=3891142485865.5361,=13.6380,=1,=9.5388,=5.5665,=4.5618
2026-07-08,=2016.2300,=2080.3900,=8359478184141.2197,=6032646100406,=3583661691525.3223,=12.4890,=0.9827,=9.4907,=5.5659,=4.5618
2026-07-07,=2001.5900,=2065.2800,=8233102021293.6504,=5999866002794,=3556662028775.4683,=12.3001,=0.9771,=9.4907,=5.5652,=4.5600
2026-07-06,=1996.1000,=2059.6200,=8130320887391.4287,=5981197265975,=3549324640321.8462,=12.1466,=0.9667,=9.4833,=5.5600,=4.5600
2026-07-03,=1975.6000,=2038.4700,=8014132443329.6377,=5920275738146,=3509572731705.6270,=11.9730,=0.9535,=9.4645,=5.5548,=4.5600
2026-07-02,=1987.2900,=2050.3600,=8071053854902.9004,=5949167032049,=3530090786899.6533,=12.0580,=0.9611,=9.4263,=5.5540,=4.5600
2026-07-01,=2153.0400,=2221.3700,=8688821290477.1982,=6406938389318,=3831422445811.0811,=12.9810,=0.9951,=9.4107,=5.5533,=4.5600
2026-06-30,=2207.8600,=2277.8300,=8961805112310.0293,=6577023242255,=3935911903393.8701,=13.3888,=1,=9.4107,=5.5513,=4.5600
2026-06-29,=2126.0100,=2193.3800,=8622845416354.3701,=6322487534303,=3784135221537.3188,=12.8824,=0.9951,=9.3377,=5.5493,=4.5600
2026-06-26,=2032.2800,=2096.5500,=8278699026816.6816,=6064060506246,=3617445717511.1182,=12.3683,=0.9826,=9.3078,=5.5481,=4.5600
2026-06-25,=2066.3300,=2131.6300,=8485761913766.6602,=6178483960404,=3686047165781.2329,=12.6776,=0.9916,=9.3075,=5.5470,=4.5600
2026-06-24,=1989.4300,=2052.2700,=8201145991288.2998,=5948946602446,=3545480526498.8828,=12.2524,=0.9777,=9.2903,=5.5461,=4.5600
2026-06-23,=1916.2100,=1976.7500,=7896420091228.4463,=5743957270361,=3414231096208.1812,=11.7971,=0.9455,=9.2903,=5.5452,=4.5546
2026-06-22,=1948.9300,=2010.4200,=7902005895276.8594,=5835130943447,=3480600352165.6396,=11.8055,=0.9462,=9.2690,=5.5447,=4.5546
