日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM平均值,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-17,=1715.4000,=1770.0700,=7267156533226.2197,=5158265433069,=3051934153149.7729,=16.9721,=0.7276,=19.6955,=12.0100,=9.8484
2026-07-16,=1846.8800,=1905.7300,=7823327075783.5801,=5531910612749,=3285075216740.3037,=18.2859,=0.7433,=19.6955,=12.0099,=9.8484
2026-07-15,=1924.2700,=1985.5900,=8048272577820.2598,=5747716720152,=3428244032602.9995,=19.1569,=0.7714,=19.6955,=12.0099,=9.8484
2026-07-14,=2009.7300,=2073.6800,=8433200859293.4199,=5982019271965,=3581036390832.6626,=19.8178,=0.8079,=19.7212,=12.0006,=9.8476
2026-07-13,=1994.3200,=2057.7800,=8430073917108.1504,=5954677326595,=3552738719162.7979,=19.9117,=0.8160,=19.6955,=11.9914,=9.8476
2026-07-10,=2064.9800,=2130.6900,=8618112231856.2822,=6152438628079,=3673468102269.9761,=20.7390,=0.8775,=19.6752,=11.9859,=9.8476
2026-07-09,=2185.8300,=2255.3800,=9128579727857.8105,=6498826162831,=3891142485865.5361,=21.6382,=0.9259,=19.6740,=11.9804,=9.8476
2026-07-08,=2016.2300,=2080.3900,=8359478184141.2197,=6032646100406,=3583661691525.3223,=20.1007,=0.8288,=19.6609,=11.9797,=9.8476
2026-07-07,=2001.5900,=2065.2800,=8233102021293.6504,=5999866002794,=3556662028775.4683,=19.8452,=0.8121,=19.6609,=11.9790,=9.8425
2026-07-06,=1996.1000,=2059.6200,=8130320887391.4287,=5981197265975,=3549324640321.8462,=19.8892,=0.8161,=19.6522,=11.9706,=9.8425
2026-07-03,=1975.6000,=2038.4700,=8014132443329.6377,=5920275738146,=3509572731705.6270,=19.8044,=0.8090,=19.6442,=11.9622,=9.8425
2026-07-02,=1987.2900,=2050.3600,=8071053854902.9004,=5949167032049,=3530090786899.6533,=20.0370,=0.8263,=19.6435,=11.9594,=9.8425
2026-07-01,=2153.0400,=2221.3700,=8688821290477.1982,=6406938389318,=3831422445811.0811,=19.4584,=0.7907,=19.6380,=11.9566,=9.8425
2026-06-30,=2207.8600,=2277.8300,=8961805112310.0293,=6577023242255,=3935911903393.8701,=19.6192,=0.7982,=19.6435,=11.9494,=9.8425
2026-06-29,=2126.0100,=2193.3800,=8622845416354.3701,=6322487534303,=3784135221537.3188,=18.9075,=0.7667,=19.6435,=11.9422,=9.8425
2026-06-26,=2032.2800,=2096.5500,=8278699026816.6816,=6064060506246,=3617445717511.1182,=19.9773,=0.8237,=19.6435,=11.9417,=9.8425
2026-06-25,=2066.3300,=2131.6300,=8485761913766.6602,=6178483960404,=3686047165781.2329,=18.1533,=0.7503,=19.6380,=11.9411,=9.8425
2026-06-24,=1989.4300,=2052.2700,=8201145991288.2998,=5948946602446,=3545480526498.8828,=19.5132,=0.7934,=19.6380,=11.9314,=9.8425
2026-06-23,=1916.2100,=1976.7500,=7896420091228.4463,=5743957270361,=3414231096208.1812,=16.8710,=0.7339,=19.6435,=11.9217,=9.8421
2026-06-22,=1948.9300,=2010.4200,=7902005895276.8594,=5835130943447,=3480600352165.6396,=16.9543,=0.7358,=19.6435,=11.9097,=9.8421
2026-06-18,=1911.5100,=1971.8300,=7807399390545.9307,=5769305135176,=3420985150739.2124,=16.7580,=0.7308,=19.6435,=11.8976,=9.8421
2026-06-17,=1840.8200,=1898.9100,=7462724105579.4199,=5522413616600,=3279971786430.8965,=16.4055,=0.7264,=19.6435,=11.8975,=9.8421
2026-06-16,=1758.4200,=1813.9100,=7171262175670.4111,=5296504529725,=3136523942118.7451,=14.0378,=0.6933,=19.6435,=11.8975,=9.8421
2026-06-15,=1748.3300,=1803.4500,=7156404206399.4189,=5292464931140,=3123898096817.2212,=14.0030,=0.6931,=19.6442,=11.8962,=9.8367
2026-06-12,=1663.2200,=1715.6600,=5814874523530.6270,=4860137774949,=2778299966901.3330,=13.3163,=0.6543,=19.6442,=11.8949,=9.8367
2026-06-11,=1662.4400,=1714.8500,=5819550753371.2891,=4845761064664,=2777982495046.8003,=13.2532,=0.6428,=19.6442,=11.8776,=9.8367
2026-06-10,=1652.2200,=1704.3100,=5772333195552.3623,=4808660169406,=2757949924486.8628,=13.1072,=0.6201,=19.6442,=11.8604,=9.8367
2026-06-09,=1663.1100,=1715.4800,=5804079809074.8184,=4826166317268,=2773242116821.2212,=13.1956,=0.6360,=19.6442,=11.8596,=9.8367
2026-06-08,=1596.5700,=1646.8400,=5576431952393.6904,=4616596595096,=2661080926272.7539,=12.5505,=0.5549,=19.6522,=11.8588,=9.8312
2026-06-05,=1668.3300,=1720.7400,=5823110824687.7705,=4819237862148,=2781735101099.2231,=13.1188,=0.6221,=19.6522,=11.8579,=9.8312
2026-06-04,=1738.0600,=1792.5700,=6074179475301.4893,=5016549219514,=2902514940247.6978,=13.5741,=0.6768,=19.6522,=11.8570,=9.8312
2026-06-03,=1726.1800,=1780.2800,=6037167213785.6504,=4987209534900,=2882242761844.4805,=13.3687,=0.6582,=19.6522,=11.8564,=9.8312
