日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM等权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-17,=1715.4000,=1770.0700,=7267156533226.2197,=5158265433069,=3051934153149.7729,=4.1015,=0.3793,=9.1070,=4.4507,=3.5302
2026-07-16,=1846.8800,=1905.7300,=7823327075783.5801,=5531910612749,=3285075216740.3037,=4.2406,=0.4155,=9.1070,=4.4517,=3.5302
2026-07-15,=1924.2700,=1985.5900,=8048272577820.2598,=5747716720152,=3428244032602.9995,=4.2466,=0.4171,=9.1070,=4.4526,=3.5302
2026-07-14,=2009.7300,=2073.6800,=8433200859293.4199,=5982019271965,=3581036390832.6626,=4.2346,=0.4140,=9.1200,=4.4534,=3.5280
2026-07-13,=1994.3200,=2057.7800,=8430073917108.1504,=5954677326595,=3552738719162.7979,=4.2295,=0.4122,=9.1200,=4.4542,=3.5280
2026-07-10,=2064.9800,=2130.6900,=8618112231856.2822,=6152438628079,=3673468102269.9761,=4.4672,=0.5073,=9.1200,=4.4547,=3.5280
2026-07-09,=2185.8300,=2255.3800,=9128579727857.8105,=6498826162831,=3891142485865.5361,=4.4361,=0.4924,=9.1200,=4.4542,=3.5280
2026-07-08,=2016.2300,=2080.3900,=8359478184141.2197,=6032646100406,=3583661691525.3223,=4.3307,=0.4456,=9.1200,=4.4547,=3.5280
2026-07-07,=2001.5900,=2065.2800,=8233102021293.6504,=5999866002794,=3556662028775.4683,=4.4154,=0.4806,=9.1279,=4.4552,=3.5262
2026-07-06,=1996.1000,=2059.6200,=8130320887391.4287,=5981197265975,=3549324640321.8462,=4.4471,=0.4962,=9.1279,=4.4559,=3.5262
2026-07-03,=1975.6000,=2038.4700,=8014132443329.6377,=5920275738146,=3509572731705.6270,=4.5531,=0.5278,=9.1279,=4.4566,=3.5262
2026-07-02,=1987.2900,=2050.3600,=8071053854902.9004,=5949167032049,=3530090786899.6533,=4.5451,=0.5268,=9.1279,=4.4559,=3.5262
2026-07-01,=2153.0400,=2221.3700,=8688821290477.1982,=6406938389318,=3831422445811.0811,=4.6467,=0.5327,=9.1279,=4.4552,=3.5262
2026-06-30,=2207.8600,=2277.8300,=8961805112310.0293,=6577023242255,=3935911903393.8701,=4.6147,=0.5303,=9.1294,=4.4547,=3.5261
2026-06-29,=2126.0100,=2193.3800,=8622845416354.3701,=6322487534303,=3784135221537.3188,=4.4960,=0.5181,=9.1294,=4.4542,=3.5261
2026-06-26,=2032.2800,=2096.5500,=8278699026816.6816,=6064060506246,=3617445717511.1182,=4.4306,=0.4913,=9.1294,=4.4534,=3.5261
2026-06-25,=2066.3300,=2131.6300,=8485761913766.6602,=6178483960404,=3686047165781.2329,=4.4976,=0.5188,=9.1294,=4.4542,=3.5261
2026-06-24,=1989.4300,=2052.2700,=8201145991288.2998,=5948946602446,=3545480526498.8828,=4.4205,=0.4871,=9.1294,=4.4534,=3.5261
2026-06-23,=1916.2100,=1976.7500,=7896420091228.4463,=5743957270361,=3414231096208.1812,=4.4215,=0.4874,=9.1441,=4.4542,=3.5257
2026-06-22,=1948.9300,=2010.4200,=7902005895276.8594,=5835130943447,=3480600352165.6396,=4.5405,=0.5248,=9.1441,=4.4547,=3.5257
2026-06-18,=1911.5100,=1971.8300,=7807399390545.9307,=5769305135176,=3420985150739.2124,=4.4751,=0.5112,=9.1441,=4.4542,=3.5257
2026-06-17,=1840.8200,=1898.9100,=7462724105579.4199,=5522413616600,=3279971786430.8965,=4.5207,=0.5220,=9.1441,=4.4534,=3.5257
2026-06-16,=1758.4200,=1813.9100,=7171262175670.4111,=5296504529725,=3136523942118.7451,=4.4958,=0.5175,=9.1441,=4.4526,=3.5257
2026-06-15,=1748.3300,=1803.4500,=7156404206399.4189,=5292464931140,=3123898096817.2212,=4.4570,=0.5032,=9.1527,=4.4517,=3.5228
2026-06-12,=1663.2200,=1715.6600,=5814874523530.6270,=4860137774949,=2778299966901.3330,=3.8924,=0.3015,=9.1527,=4.4507,=3.5228
2026-06-11,=1662.4400,=1714.8500,=5819550753371.2891,=4845761064664,=2777982495046.8003,=3.8150,=0.2765,=9.1527,=4.4517,=3.5228
2026-06-10,=1652.2200,=1704.3100,=5772333195552.3623,=4808660169406,=2757949924486.8628,=3.8586,=0.2907,=9.1527,=4.4526,=3.5228
2026-06-09,=1663.1100,=1715.4800,=5804079809074.8184,=4826166317268,=2773242116821.2212,=3.8674,=0.2923,=9.1527,=4.4534,=3.5228
2026-06-08,=1596.5700,=1646.8400,=5576431952393.6904,=4616596595096,=2661080926272.7539,=3.7963,=0.2722,=9.1541,=4.4542,=3.5223
2026-06-05,=1668.3300,=1720.7400,=5823110824687.7705,=4819237862148,=2781735101099.2231,=3.9547,=0.3209,=9.1541,=4.4547,=3.5223
2026-06-04,=1738.0600,=1792.5700,=6074179475301.4893,=5016549219514,=2902514940247.6978,=4.0027,=0.3423,=9.1541,=4.4552,=3.5223
2026-06-03,=1726.1800,=1780.2800,=6037167213785.6504,=4987209534900,=2882242761844.4805,=4.0342,=0.3629,=9.1541,=4.4559,=3.5223
2026-06-02,=1690.5600,=1743.5400,=5917715601795.6406,=4882203925662,=2820327271912.0615,=4.0579,=0.3681,=9.1541,=4.4566,=3.5223
