date,hs300_pe,hs300_pb,zz500_pe,zz500_pb,kc50_pe,bond_10y_yield,hs300_erp,hs300_pe_quantile,hs300_pb_quantile,zz500_pe_quantile,zz500_pb_quantile
2015-01-04,,,,,,3.6285,,,,,
2015-01-05,13.24,1.96,31.82,2.92,,3.6251,3.9277700906344406,,,,
2015-01-06,13.25,1.95,32.16,2.95,,3.6353,3.911869811320755,,,,
2015-01-07,13.31,1.96,32.21,2.96,,3.6408,3.8723480090157767,,,,
2015-01-08,12.95,1.91,32.02,2.93,,3.6415,4.080507722007722,,,,
2015-01-09,12.95,1.91,31.82,2.91,,3.6348,4.087207722007722,,,,
2015-01-12,12.77,1.88,31.37,2.87,,3.6371,4.1937535630383715,,,,
2015-01-13,12.77,1.88,31.8,2.91,,3.5836,4.247253563038372,,,,
2015-01-14,12.75,1.88,31.64,2.89,,3.5411,4.30203725490196,,,,
2015-01-15,13.24,1.95,32.07,2.92,,3.5464,4.006470090634441,,,,
2015-01-16,13.39,1.97,32.51,2.96,,3.5017,3.966559895444361,,,,
2015-01-19,12.27,1.81,31.2,2.83,,3.475,4.674959250203749,,,,
2015-01-20,12.43,1.83,32.31,2.94,,3.4711,4.573952292839904,,,,
2015-01-21,13.08,1.93,33.14,3.01,,3.4672,4.17805993883792,,,,
2015-01-22,13.11,1.93,33.55,3.05,,3.4521,4.175665064836004,,,,
2015-01-23,13.14,1.94,33.18,3.02,,3.452,4.158350076103501,,,,
2015-01-26,13.16,1.94,33.93,3.09,,3.4341,4.164684194528875,,,,
2015-01-27,13.1,1.93,34.1,3.1,,3.4309,4.202687786259542,,,,
2015-01-28,12.86,1.9,33.88,3.08,,3.4767,4.299349766718507,,,,
2015-01-29,12.66,1.87,33.66,3.06,,3.4966,4.402294154818326,,,,
2015-01-30,12.46,1.84,33.3,3.03,,3.5019,4.523782182985554,,,,
2015-02-02,12.09,1.78,33.17,3.01,,3.4729,4.798398593879239,,,,
2015-02-03,12.42,1.83,33.78,3.06,,3.4533,4.598229790660225,,,,
2015-02-04,12.27,1.81,33.66,3.05,,3.4589,4.6910592502037485,,,,
2015-02-05,12.12,1.79,33.52,3.03,,3.4018,4.84902508250825,,,,
2015-02-06,11.89,1.75,32.83,2.97,,3.4325,4.9779289318755255,,,,
2015-02-09,12.0,1.77,32.65,2.95,,3.4236,4.909733333333332,,,,
2015-02-10,12.21,1.8,33.11,2.99,,3.4299,4.760108190008189,,,,
2015-02-11,12.29,1.81,33.52,3.02,,3.3955,4.7411965012205055,,,,
2015-02-12,12.33,1.81,33.77,3.04,,3.3865,4.7238000811030005,,,,
2015-02-13,12.44,1.83,34.24,3.09,,3.3552,4.683385209003216,,,,
2015-02-15,,,,,,3.3625,,,,,
2015-02-16,12.5,1.83,34.84,3.14,,3.3374,4.662599999999999,,,,
2015-02-17,12.6,1.84,35.35,3.17,,3.3373,4.599207936507936,,,,
2015-02-25,12.49,1.83,35.31,3.17,,3.349,4.657405124099279,,,,
2015-02-26,12.79,1.87,35.66,3.2,,3.3594,4.4592082877247865,,,,
2015-02-27,12.81,1.87,35.87,3.22,,3.3745,4.4319012490242,,,,
2015-02-28,,,,,,3.3602,,,,,
2015-03-02,12.91,1.88,36.7,3.29,,3.3883,4.357633384972889,,,,
2015-03-03,12.54,1.83,36.59,3.27,,3.4022,4.5722816586921855,,,,
2015-03-04,12.59,1.84,37.15,3.33,,3.3869,4.555911755361398,,,,
2015-03-05,12.42,1.81,37.21,3.33,,3.4369,4.614629790660226,,,,
2015-03-06,12.39,1.81,36.74,3.28,,3.4753,4.595725020177562,,,,
2015-03-09,12.66,1.85,37.17,3.32,,3.4922,4.406694154818325,,,,
2015-03-10,12.54,1.83,37.53,3.36,,3.5228,4.451681658692185,,,,
2015-03-11,12.57,1.83,37.4,3.35,,3.4466,4.5088494828957835,,,,
2015-03-12,12.86,1.88,37.4,3.34,,3.4412,4.3348497667185075,,,,
2015-03-13,12.91,1.88,37.81,3.38,,3.4879,4.258033384972889,,,,
2015-03-16,13.18,1.92,38.83,3.47,,3.5301,4.057153414264036,,,,
2015-03-17,13.36,1.95,39.45,3.53,,3.5428,3.9422299401197614,,,,
2015-03-18,13.66,1.99,40.17,3.59,,3.5519,3.7687442166910694,,,,
2015-03-19,13.62,1.99,40.48,3.62,,3.5348,3.807343906020558,,,,
2015-03-20,13.75,2.0,41.07,3.67,,3.4958,3.7769272727272725,,,,
2015-03-23,14.09,2.04,41.98,3.75,,3.4933,3.6039320794889993,,,,
2015-03-24,14.1,2.04,42.64,3.78,,3.4841,3.608098581560284,,,,
2015-03-25,13.91,2.0,43.12,3.82,,3.5037,3.6853726096333568,,,,
2015-03-26,14.01,2.01,42.82,3.79,,3.544,3.5937587437544614,,,,
2015-03-27,14.2,2.01,43.47,3.78,,3.5678,3.474453521126761,,,,
2015-03-30,14.62,2.06,44.1,3.8,,3.5849,3.2550452804377565,,,,
2015-03-31,14.46,2.03,44.27,3.8,,3.6483,3.267329322268326,,,,
2015-04-01,14.68,2.06,45.26,3.88,,3.5997,3.2122891008174395,,,,
