date,net_value,turnover
2015-01-05,1.0011183,1.9752419
2015-01-06,0.99802965,0.055299707
2015-01-07,0.9991988,0.036920823
2015-01-08,1.002147,0.061471857
2015-01-09,1.0047339,0.09839268
2015-01-12,1.0035822,0.0
2015-01-13,1.0034484,0.0
2015-01-14,1.0144516,0.0
2015-01-15,1.0215329,0.0
2015-01-16,1.0231196,0.0
2015-01-19,1.0318958,0.9051393
2015-01-20,1.0328097,0.1672974
2015-01-21,1.0324036,0.025692001
2015-01-22,1.0354418,0.086045116
2015-01-23,1.03482,0.085162625
2015-01-26,1.0337918,0.04739642
2015-01-27,1.0326164,0.049666494
2015-01-28,1.030391,0.034783322
2015-01-29,1.0298693,0.019419057
2015-01-30,1.0315409,0.06801286
2015-02-02,1.0273882,0.94726264
2015-02-03,1.0228293,0.017360054
2015-02-04,1.0137886,0.15427843
2015-02-05,1.0129131,0.033294354
2015-02-06,1.0210294,0.15590939
2015-02-09,1.0249273,0.2841137
2015-02-10,1.0286809,0.27089456
2015-02-11,1.0353312,0.13265288
2015-02-12,1.0450841,0.14493217
2015-02-13,1.047709,0.046362214
2015-02-16,1.0459331,0.023161326
2015-02-17,1.0528216,0.008984951
2015-02-25,1.0580006,0.0704778
2015-02-26,1.0687132,0.06462295
2015-02-27,1.0634744,0.1062313
2015-03-02,1.0817304,0.80501866
2015-03-03,1.0813274,0.21116582
2015-03-04,1.069908,0.12092851
2015-03-05,1.0886662,0.14677835
2015-03-06,1.0934639,0.13615733
2015-03-09,1.0924879,0.067154825
2015-03-10,1.0920818,0.22016957
2015-03-11,1.1037884,0.024280468
2015-03-12,1.13358,0.025242541
2015-03-13,1.1456113,0.18407366
2015-03-16,1.1638144,0.16600883
2015-03-17,1.1652119,0.023835246
2015-03-18,1.1727232,0.089750186
2015-03-19,1.2065175,0.0141314175
2015-03-20,1.2010587,0.076064646
2015-03-23,1.2121931,0.0064819176
2015-03-24,1.2151604,0.10905656
2015-03-25,1.2250457,0.01173369
2015-03-26,1.2370669,0.14051773
2015-03-27,1.2286999,0.074966855
2015-03-30,1.2505053,0.11945767
2015-03-31,1.2656093,0.18379977
2015-04-01,1.2803415,0.20729344
2015-04-02,1.3089626,0.13760091
2015-04-03,1.3057024,0.0877336
2015-04-07,1.2947388,0.028118726
2015-04-08,1.3287987,0.119237505
2015-04-09,1.3478754,0.036993757
2015-04-10,1.3461976,0.05284346
2015-04-13,1.3744165,1.0886226
2015-04-14,1.40589,0.03395427
2015-04-15,1.4179406,0.25218946
2015-04-16,1.4011639,0.08343407
2015-04-17,1.4243114,0.5284974
2015-04-20,1.4557056,0.32222643
2015-04-21,1.4559331,1.5628755
2015-04-22,1.4565308,0.12641904
2015-04-23,1.458207,0.045589056
2015-04-24,1.4545413,0.09678583
2015-04-27,1.4591899,0.06049472
2015-04-28,1.4610006,0.159746
2015-04-29,1.4611052,0.04186378
2015-04-30,1.4504931,0.03346169
2015-05-04,1.4488307,0.28366396
2015-05-05,1.4431328,0.07903599
2015-05-06,1.4491398,0.15416725
2015-05-07,1.4552351,0.028545463
2015-05-08,1.4567252,0.044526663
2015-05-11,1.4596549,0.2139067
2015-05-12,1.4611853,0.26443887
2015-05-13,1.4570291,0.30981356
2015-05-14,1.4619498,0.99381614
2015-05-15,1.4623336,0.36672968
2015-05-18,1.4597453,0.12119752
2015-05-19,1.4733324,0.115353316
2015-05-20,1.4820156,0.05197131
2015-05-21,1.4930948,0.23721905
2015-05-22,1.5030935,0.4471427
2015-05-25,1.5057552,0.21496749
2015-05-26,1.4816793,0.11661363
2015-05-27,1.4793721,0.09362507
2015-05-28,1.5035151,0.34149522
2015-05-29,1.5161245,0.10184149
2015-06-01,1.5094925,0.45267308
2015-06-02,1.507291,0.1512138
2015-06-03,1.5122067,0.08363668
2015-06-04,1.5148346,0.09555781
2015-06-05,1.5136259,0.051317044
2015-06-08,1.5196416,0.097140044
