train_iter,sharpe,cum_ret,vol,mdd
0,-1.207,-0.0802,0.0825,-0.1017
1,-1.1991,-0.0823,0.0851,-0.1052
2,-1.2068,-0.0842,0.0865,-0.1068
3,-1.2315,-0.0866,0.0871,-0.1106
4,-1.2269,-0.0866,0.0875,-0.1103
5,-1.2433,-0.0921,0.0918,-0.1177
6,-1.2423,-0.09,0.0898,-0.1149
7,-1.2405,-0.0913,0.0912,-0.1173
8,-1.2521,-0.09,0.0891,-0.1158
9,-1.2381,-0.0838,0.0839,-0.1076
10,-1.2476,-0.0894,0.0888,-0.1141
11,-1.2229,-0.0916,0.0928,-0.1176
12,-1.233,-0.0911,0.0915,-0.1165
13,-1.2041,-0.0869,0.0895,-0.1115
14,-1.219,-0.0865,0.088,-0.11
15,-1.2037,-0.0873,0.0899,-0.1117
16,-1.205,-0.0911,0.0937,-0.1178
17,-1.2097,-0.092,0.0942,-0.1187
18,-1.2238,-0.0938,0.0949,-0.1189
19,-1.1854,-0.0899,0.0939,-0.1163
20,-1.1751,-0.0916,0.0966,-0.1192
21,-1.2045,-0.0967,0.0994,-0.1241
22,-1.2131,-0.0966,0.0986,-0.124
23,-1.2414,-0.0962,0.096,-0.1231
24,-1.2247,-0.0994,0.1004,-0.1284
25,-1.1975,-0.0955,0.0988,-0.1254
26,-1.1896,-0.0966,0.1005,-0.1257
27,-1.1997,-0.1012,0.1044,-0.1314
28,-1.2223,-0.1013,0.1025,-0.1301
29,-1.2402,-0.1015,0.1013,-0.1305
30,-1.2342,-0.097,0.0973,-0.1245
31,-1.2127,-0.0907,0.0927,-0.1171
32,-1.184,-0.0859,0.0899,-0.111
33,-1.1355,-0.0772,0.0844,-0.1009
34,-1.1419,-0.0753,0.0819,-0.0974
35,-1.1229,-0.0799,0.0883,-0.1028
36,-1.1569,-0.0839,0.0899,-0.1076
37,-1.1764,-0.0862,0.0909,-0.1099
38,-1.1639,-0.0907,0.0966,-0.1174
39,-1.2029,-0.0952,0.098,-0.1208
40,-1.1673,-0.0954,0.1012,-0.1213
41,-1.1487,-0.0899,0.097,-0.1161
42,-1.1185,-0.086,0.0953,-0.1132
43,-1.0937,-0.0849,0.0962,-0.1124
44,-1.1499,-0.0906,0.0976,-0.1168
45,-1.1627,-0.0934,0.0995,-0.1203
46,-1.116,-0.0926,0.1028,-0.1226
47,-1.0901,-0.0871,0.0991,-0.117
48,-1.0845,-0.0858,0.0981,-0.1154
49,-1.0948,-0.0853,0.0966,-0.1137
