train_iter,sharpe,cum_ret,vol,mdd
0,1.3512,0.049,0.0938,-0.049
1,1.3314,0.0508,0.0988,-0.0518
2,1.1024,0.0428,0.0999,-0.0544
3,1.1401,0.0448,0.1014,-0.0533
4,1.2456,0.0482,0.1001,-0.0517
5,1.2686,0.0494,0.1009,-0.0531
6,1.2764,0.0456,0.0922,-0.0501
7,1.4515,0.0498,0.0887,-0.0471
8,1.2346,0.0418,0.087,-0.0471
9,1.1727,0.041,0.0898,-0.0502
10,1.4468,0.0481,0.086,-0.0477
11,1.4078,0.0478,0.0878,-0.0482
12,1.7443,0.0568,0.0848,-0.045
13,1.6651,0.0546,0.0852,-0.0453
14,1.6492,0.0549,0.0865,-0.0455
15,1.7453,0.0589,0.0879,-0.0447
16,1.9621,0.0607,0.0807,-0.0406
17,1.6501,0.0546,0.086,-0.0456
18,1.3087,0.0488,0.0965,-0.0528
19,1.2091,0.0436,0.0929,-0.0501
20,0.9239,0.0384,0.1067,-0.0575
21,0.9818,0.0428,0.1123,-0.0584
22,1.0815,0.0459,0.1096,-0.0578
23,0.8836,0.0368,0.1068,-0.06
24,1.1258,0.0441,0.101,-0.0569
25,1.3649,0.053,0.1008,-0.0541
26,1.3181,0.0494,0.0971,-0.0527
27,1.2574,0.0495,0.1019,-0.0544
28,1.4989,0.0539,0.0933,-0.0522
29,0.9683,0.0403,0.107,-0.0637
