策略,年化收益,年化波动,夏普比率,索提诺比率,最大回撤,卡玛比率,月均换手率,权重集中度HHI,胜率,95%VaR
沪深300,0.0473,0.2255,0.099,0.125,-0.4639,0.102,0.0,1.0,0.5014,-0.0201
等权,0.138,0.2576,0.4386,0.787,-0.3838,0.3595,0.0037,0.1814,0.5104,-0.015
风险平价,0.1252,0.1837,0.5456,1.405,-0.2162,0.5792,0.0547,0.3726,0.5239,-0.0074
MVO,0.1659,0.302,0.4665,1.3989,-0.3294,0.5035,0.3732,0.3969,0.5168,-0.0108
动量,0.1716,0.3361,0.4361,0.6764,-0.4848,0.3539,0.1202,0.3327,0.5286,-0.0181
动态评分,0.1313,0.1946,0.5465,1.2316,-0.1427,0.9204,0.2218,0.4065,0.5282,-0.0084
LGB融合,0.1199,0.1468,0.6462,1.3525,-0.1502,0.7977,0.1366,0.3947,0.525,-0.0089
PPO月度,0.1436,0.2508,0.4728,0.864,-0.3632,0.3953,0.0201,0.1835,0.5096,-0.0141
SASF硬切换,0.1652,0.2335,0.6006,1.2635,-0.2656,0.6222,0.1405,0.2474,0.5125,-0.0124
PPO原生日频,0.1459,0.2517,0.4803,0.8763,-0.3632,0.4016,0.003,0.1851,0.5132,-0.0144
