date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合,PPO月度,SASF硬切换,PPO原生日频
2015-01-05,999990.0793650793,999982.1428571428,999998.0158730159,999998.0158730159,999982.1428571428,999982.1428571428,999977.91005291,999998.0158730159,999998.0158730159,999998.0158730159
2015-01-06,993201.4842124911,1005704.2578406723,999996.0317499684,999996.0317499684,1005704.2578406723,1005704.2578406723,1007273.9625967697,999996.0317499684,999996.0317499684,999996.0317499684
2015-01-07,992920.4867468294,1004520.6263072011,999994.0476308578,999994.0476308578,1004520.6263072011,1004520.6263072011,1008913.0950582181,999994.0476308578,999994.0476308578,998319.1203151658
2015-01-08,971219.3094910663,995080.9302494553,999992.0635156839,999992.0635156839,995080.9302494553,995080.9302494553,1001393.6910846119,999992.0635156839,999992.0635156839,988937.7011410719
2015-01-09,964160.0646505697,989644.1261832194,999990.0794044466,999990.0794044466,989644.1261832194,989644.1261832194,1000584.1980262238,999990.0794044466,999990.0794044466,983534.4617146365
2015-01-12,961168.002182724,985516.9198834087,999988.0952971461,999988.0952971461,985516.9198834087,985516.9198834087,1002780.2477621394,999988.0952971461,999988.0952971461,979432.7351251756
2015-01-13,959260.5327900294,989360.5614618642,999986.1111937824,999986.1111937824,989360.5614618642,989360.5614618642,1007420.1363465296,999986.1111937824,999986.1111937824,983252.6476077263
2015-01-14,957081.9704537651,984763.9276988294,999984.1270943554,999984.1270943554,984763.9276988294,984763.9276988294,1004134.8328676012,999984.1270943554,999984.1270943554,978684.3916112382
2015-01-15,984185.2792885212,997530.5094263181,999982.1429988651,999982.1429988651,997530.5094263181,997530.5094263181,1009327.2741296407,999982.1429988651,999982.1429988651,991372.1576021382
2015-01-16,992851.5290270024,1008729.446252272,999980.1589073115,999980.1589073115,1008729.446252272,1008729.446252272,1026845.572722919,999980.1589073115,999980.1589073115,1002501.9567000937
2015-01-19,893610.750957764,966949.0250439008,999978.1748196946,999978.1748196946,966949.0250439008,966949.0250439008,1017640.9809382452,999978.1748196946,999978.1748196946,960979.470994178
2015-01-20,916918.1857057135,987827.2340722517,999976.1907360144,999976.1907360144,987827.2340722517,987827.2340722517,1028515.218970605,999976.1907360144,999976.1907360144,981728.7863641994
2015-01-21,958932.2468304413,1015641.3785333807,999974.2066562709,999974.2066562709,1015641.3785333807,1015641.3785333807,1052687.6521669705,999974.2066562709,999974.2066562709,1009371.217493594
2015-01-22,960549.4210553193,1018765.9366982965,999972.222580464,999972.222580464,1018765.9366982965,1018765.9366982965,1047541.5697174808,999972.222580464,999972.222580464,1012476.4858941439
2015-01-23,965148.7939001686,1017193.8980176348,999970.2385085938,999970.2385085938,1017193.8980176348,1017193.8980176348,1050657.09886081,999970.2385085938,999970.2385085938,1010914.152347496
2015-01-26,974356.9322115103,1030037.7518610042,999968.2544406601,999968.2544406601,1030037.7518610042,1030037.7518610042,1057263.5066392405,999968.2544406601,999968.2544406601,1023678.7134073384
2015-01-27,964587.4302571301,1025888.2614419094,999966.2703766632,999966.2703766632,1025888.2614419094,1025888.2614419094,1050938.821395481,999966.2703766632,999966.2703766632,1019554.8402717758
2015-01-28,949124.9425774483,1018378.2377192759,999964.286316603,999964.286316603,1018378.2377192759,1018378.2377192759,1049282.545780999,999964.286316603,999964.286316603,1012091.1804125579
2015-01-29,939084.7860454688,1010010.2337944496,999962.3022604792,999962.3022604792,1010010.2337944496,1010010.2337944496,1042444.2963705893,999962.3022604792,999962.3022604792,1003774.8371755484
2015-01-30,927418.2394163815,998579.1082062377,999960.3182082921,999960.3182082921,998579.1082062377,998579.1082062377,1027675.8765132967,999960.3182082921,999960.3182082921,992414.282755289
2015-02-02,906534.673321199,993151.0235670264,998526.923368498,1005884.4392708961,998587.3384557915,1010059.276939292,1040562.4877328115,994024.7454171355,1011556.3620595101,987019.7089256457
2015-02-03,927942.019393066,1005925.3959215236,1008517.8274875011,1015515.9735589598,1007852.6934871181,1013147.960431259,1043861.668789621,1006810.3559901742,1014649.6235224955,999715.2174473591
2015-02-04,917360.2928021403,997546.9063442118,1000104.6417090449,1007471.862926908,1000490.9646777498,1002480.7533047558,1033066.2659734642,998424.4954599652,1003966.6057228685,991388.4532920617
2015-02-05,906507.6897265997,991821.0602007452,996437.9345803094,1007130.3577402893,996779.324860949,1006109.175495647,1037024.3351299373,992693.6120192829,1007600.4058722579,985697.9562178311
2015-02-06,892944.4548225292,979914.2588735484,985922.8020095123,994917.6638857457,985795.5197936937,1000309.8471784098,1030648.3560190382,980776.3357167423,1001792.4819326355,973864.6626891232
2015-02-09,903236.7162475769,978609.1625631423,980900.8591394497,980377.8594851021,980257.453491572,982184.0699346316,1011058.0463892729,979470.0912514877,983639.8391057935,972567.6235179906
2015-02-10,921390.0784916145,987924.969066092,988245.723720835,988346.1896344222,986132.338406219,987104.1269068313,1016192.3409972609,988794.0933092927,988567.1884659271,981825.91798153
2015-02-11,927344.627545451,994443.6290891408,993509.6747365411,991734.3027323053,992683.7970921532,985191.4156739184,1014278.7007386949,995318.4881053622,986651.6422592743,988304.3344215857
2015-02-12,931130.4656358791,997362.8976787282,994715.8419477112,990843.1818835654,995218.406380599,977809.4845659547,1006752.0028053088,998240.3249133701,979258.7698338327,991205.5806220089
2015-02-13,937084.8003538981,1006478.8908645512,1003644.7336084016,1001992.9935102385,1005225.5427306396,984518.3721993121,1014094.7158067733,1007364.3378688382,985977.6012161149,1000265.2953354097
2015-02-16,944936.4987316998,1016092.2616583103,1012034.3687039615,1012278.8799305549,1015219.86205999,986472.4416466568,1016661.0734085327,1016986.1659988095,987934.5669373323,1009819.317047607
2015-02-17,953330.1741209046,1018973.6178183015,1013318.9654815338,1012687.1478474606,1016052.3757744085,983873.6517753043,1013960.7683474327,1019870.0570238668,985331.9252032863,1012682.8848745133
2015-02-25,938683.2898659782,1010682.606771927,1005682.885224932,1006970.9091445162,1010232.9007531668,974888.6253581156,1005117.0878474432,1011571.7519835891,976333.5814000183,1004443.0591929164
