date,等权,风险平价,MVO,动量,动态评分,LGB融合
2015-01-05,999998.0158730159,999998.0158730159,999998.0158730159,999998.0158730159,999998.0158730159,999998.0158730159
2015-01-06,1005736.0946697682,999996.0317499684,999996.0317499684,1005736.0946697682,1005736.0946697682,1003276.0677041396
2015-01-07,1004568.3897319518,999994.0476308578,999994.0476308578,1004568.3897319518,1004568.3897319518,1002609.5867293017
2015-01-08,995144.1903610416,999992.0635156839,999992.0635156839,995144.1903610416,995144.1903610416,997233.9780726836
2015-01-09,989722.8366013104,999990.0794044466,999990.0794044466,989722.8366013104,989722.8366013104,994128.7080729329
2015-01-12,985611.01193431,999988.0952971461,999988.0952971461,985611.01193431,985611.01193431,991767.789037308
2015-01-13,989470.6651029917,999986.1111937824,999986.1111937824,989470.6651029917,989470.6651029917,993986.23890341
2015-01-14,984889.2256748248,999984.1270943554,999984.1270943554,984889.2256748248,984889.2256748248,991355.4808752524
2015-01-15,997673.0649405862,999982.1429988651,999982.1429988651,997673.0649405862,997673.0649405862,998707.6499476248
2015-01-16,1008889.4382693627,999980.1589073115,999980.1589073115,1008889.4382693627,1008889.4382693627,1005122.8033840647
2015-01-19,967118.4044924994,999978.1748196946,999978.1748196946,967118.4044924994,967118.4044924994,981341.9007728988
2015-01-20,988015.621820658,999976.1907360144,999976.1907360144,988015.621820658,988015.621820658,993457.9546182796
2015-01-21,1015850.7534828667,999974.2066562709,999974.2066562709,1015850.7534828667,1015850.7534828667,1009450.5139689321
2015-01-22,1018992.0803920573,999972.222580464,999972.222580464,1018992.0803920573,1018992.0803920573,1011233.390092819
2015-01-23,1017435.867230754,999970.2385085938,999970.2385085938,1017435.867230754,1017435.867230754,1010350.0364718561
2015-01-26,1030298.926134744,999968.2544406601,999968.2544406601,1030298.926134744,1030298.926134744,1017648.3061372039
2015-01-27,1026164.7375305212,999966.2703766632,999966.2703766632,1026164.7375305212,1026164.7375305212,1015314.0541673076
2015-01-28,1018668.9781915022,999964.286316603,999964.286316603,1018668.9781915022,1018668.9781915022,1011075.1913464686
2015-01-29,1010314.7546039463,999962.3022604792,999962.3022604792,1010314.7546039463,1010314.7546039463,1006336.0767016109
2015-01-30,998896.2192426762,999960.3182082921,999960.3182082921,998896.2192426762,998896.2192426762,999836.038968513
2015-02-02,993482.2663441935,997160.4622598204,1005900.3116568994,998922.9501839809,1010402.6277251856,1012023.366184751
2015-02-03,1006276.6688577933,1007856.6636416895,1015547.9645976833,1008209.9177492461,1013515.2155025682,1014008.9783000776
2015-02-04,997911.2261259076,999658.3843392172,1007519.720367004,1000864.2501957867,1002867.0663788976,1003762.4069778097
2015-02-05,992199.1286743232,995259.6801952083,1007194.1913345463,997169.7600806444,1006519.570705966,1007523.1617891705
2015-02-06,980303.5378316224,984330.7167482754,994996.7106285753,986200.1187993352,1000740.643337915,1002204.8942127824
2015-02-09,979013.4834346436,980705.3162374537,980471.5446312433,980678.0424797203,982629.695797875,984132.4073437956
2015-02-10,988348.6787404895,988328.2641142936,988456.1992765169,986573.6087753321,987574.211192641,987729.4622261272
2015-02-11,994885.8226162307,994310.6657135653,991860.379275335,993146.268962207,985682.9270657246,986328.8770053682
2015-02-12,997822.1811386403,996383.2329704453,990984.8889563169,995700.4506728763,978319.6083259322,979359.4849927673
2015-02-13,1006958.2106669528,1005506.9726660231,1002152.0251105718,1005730.8729797804,985054.1246475619,986195.2574685706
2015-02-16,1016592.143141593,1014509.2441638282,1012455.4512332515,1015748.8411327476,987031.538441094,988243.9900500579
2015-02-17,1019491.0532102102,1016223.2372259046,1012879.8610855755,1016600.5987911477,984453.6013832862,985128.2374637179
