date,market_state,hs300,zz500,kc50,consume,chip,gold,bond10
2015-01-05,震荡,,,0.0,,0.0,0.65,0.0
2015-02-02,下行,,,0.0,,0.0,0.85,0.0
2015-03-02,震荡,,,0.0,,0.0,0.65,0.0
2015-04-01,震荡偏强,,,0.0,,0.0,0.55,0.0
2015-05-04,震荡,,,0.0,,0.0,0.65,0.0
2015-06-01,震荡,,,0.0,,0.0,0.65,0.0
2015-07-01,下行,,,0.0,,0.0,0.85,0.0
2015-08-03,下行,,,0.0,,0.0,0.85,0.0
2015-09-01,下行,,,0.0,,0.0,0.85,0.0
2015-10-08,震荡,,,0.0,,0.0,0.65,0.0
2015-11-02,震荡偏强,,,0.0,,0.0,0.55,0.0
2015-12-01,下行,,,0.0,,0.0,0.85,0.0
2016-01-04,下行,,,0.0,,0.0,0.85,0.0
2016-02-01,震荡,,,0.0,,0.0,0.65,0.0
2016-03-01,震荡偏强,,,0.0,,0.0,0.55,0.0
2016-04-01,震荡偏强,,,0.0,,0.0,0.55,0.0
2016-05-03,震荡偏强,,,0.0,,0.0,0.55,0.0
2016-06-01,震荡偏强,,,0.0,,0.0,0.55,0.0
2016-07-01,震荡偏强,,,0.0,,0.0,0.55,0.0
2016-08-01,震荡,,,0.0,,0.0,0.65,0.0
2016-09-01,震荡,,,0.0,,0.0,0.65,0.0
2016-10-10,震荡,,,0.0,,0.0,0.65,0.0
2016-11-01,震荡偏强,,,0.0,,0.0,0.55,0.0
2016-12-01,震荡偏强,,,0.0,,0.0,0.55,0.0
2017-01-03,震荡,,,0.0,,0.0,0.65,0.0
2017-02-03,震荡,,,0.0,,0.0,0.65,0.0
2017-03-01,震荡偏强,,,0.0,,0.0,0.55,0.0
2017-04-05,震荡偏强,,,0.0,,0.0,0.55,0.0
2017-05-02,震荡,,,0.0,,0.0,0.65,0.0
2017-06-01,震荡偏强,,,0.0,,0.0,0.55,0.0
2017-07-03,震荡偏强,,,0.0,,0.0,0.55,0.0
