训练设备：cpu

========== 开始 PPO 滚动训练（随机种子42，复现锁定）==========

PPO 第1轮
训练区间: 0 ~ 300
验证区间: 300 ~ 500
预测区间: 500 ~ 600
轮次1 迭代0 | 夏普:0.67 | 累计收益:0.0320 | 年化波动:0.0600 | 最大回撤:-0.0303
轮次1 迭代1 | 夏普:0.69 | 累计收益:0.0322 | 年化波动:0.0587 | 最大回撤:-0.0292
轮次1 迭代2 | 夏普:0.63 | 累计收益:0.0307 | 年化波动:0.0613 | 最大回撤:-0.0311
轮次1 迭代3 | 夏普:0.66 | 累计收益:0.0332 | 年化波动:0.0634 | 最大回撤:-0.0323
轮次1 迭代4 | 夏普:0.65 | 累计收益:0.0337 | 年化波动:0.0654 | 最大回撤:-0.0334
轮次1 迭代5 | 夏普:0.62 | 累计收益:0.0346 | 年化波动:0.0701 | 最大回撤:-0.0357
轮次1 迭代6 | 夏普:0.65 | 累计收益:0.0344 | 年化波动:0.0666 | 最大回撤:-0.0338
轮次1 迭代7 | 夏普:0.66 | 累计收益:0.0334 | 年化波动:0.0641 | 最大回撤:-0.0323
轮次1 迭代8 | 夏普:0.62 | 累计收益:0.0326 | 年化波动:0.0661 | 最大回撤:-0.0338
轮次1 迭代9 | 夏普:0.63 | 累计收益:0.0324 | 年化波动:0.0651 | 最大回撤:-0.0330
轮次1 迭代10 | 夏普:0.61 | 累计收益:0.0327 | 年化波动:0.0674 | 最大回撤:-0.0343
轮次1 迭代11 | 夏普:0.62 | 累计收益:0.0331 | 年化波动:0.0667 | 最大回撤:-0.0337
轮次1 迭代12 | 夏普:0.67 | 累计收益:0.0351 | 年化波动:0.0659 | 最大回撤:-0.0327
轮次1 迭代13 | 夏普:0.68 | 累计收益:0.0339 | 年化波动:0.0623 | 最大回撤:-0.0307
轮次1 迭代14 | 夏普:0.68 | 累计收益:0.0343 | 年化波动:0.0638 | 最大回撤:-0.0314
轮次1 迭代15 | 夏普:0.71 | 累计收益:0.0358 | 年化波动:0.0637 | 最大回撤:-0.0315
轮次1 迭代16 | 夏普:0.71 | 累计收益:0.0358 | 年化波动:0.0637 | 最大回撤:-0.0315
轮次1 迭代17 | 夏普:0.69 | 累计收益:0.0337 | 年化波动:0.0615 | 最大回撤:-0.0306
轮次1 迭代18 | 夏普:0.63 | 累计收益:0.0324 | 年化波动:0.0643 | 最大回撤:-0.0324
轮次1 迭代19 | 夏普:0.67 | 累计收益:0.0335 | 年化波动:0.0632 | 最大回撤:-0.0318
轮次1 迭代20 | 夏普:0.69 | 累计收益:0.0321 | 年化波动:0.0585 | 最大回撤:-0.0298
轮次1 迭代21 | 夏普:0.70 | 累计收益:0.0313 | 年化波动:0.0565 | 最大回撤:-0.0289
轮次1 迭代22 | 夏普:0.69 | 累计收益:0.0320 | 年化波动:0.0580 | 最大回撤:-0.0297
轮次1 迭代23 | 夏普:0.70 | 累计收益:0.0321 | 年化波动:0.0581 | 最大回撤:-0.0295
轮次1 迭代24 | 夏普:0.71 | 累计收益:0.0322 | 年化波动:0.0576 | 最大回撤:-0.0296
轮次1 迭代25 | 夏普:0.73 | 累计收益:0.0318 | 年化波动:0.0546 | 最大回撤:-0.0277
轮次1 迭代26 | 夏普:0.73 | 累计收益:0.0327 | 年化波动:0.0564 | 最大回撤:-0.0289
轮次1 迭代27 | 夏普:0.75 | 累计收益:0.0355 | 年化波动:0.0600 | 最大回撤:-0.0308
轮次1 迭代28 | 夏普:0.76 | 累计收益:0.0368 | 年化波动:0.0609 | 最大回撤:-0.0305
轮次1 迭代29 | 夏普:0.77 | 累计收益:0.0351 | 年化波动:0.0574 | 最大回撤:-0.0288
轮次1 迭代30 | 夏普:0.78 | 累计收益:0.0352 | 年化波动:0.0570 | 最大回撤:-0.0280
轮次1 迭代31 | 夏普:0.80 | 累计收益:0.0374 | 年化波动:0.0586 | 最大回撤:-0.0287
轮次1 迭代32 | 夏普:0.75 | 累计收益:0.0348 | 年化波动:0.0585 | 最大回撤:-0.0288
轮次1 迭代33 | 夏普:0.75 | 累计收益:0.0344 | 年化波动:0.0575 | 最大回撤:-0.0280
轮次1 迭代34 | 夏普:0.74 | 累计收益:0.0329 | 年化波动:0.0559 | 最大回撤:-0.0274
轮次1 迭代35 | 夏普:0.76 | 累计收益:0.0351 | 年化波动:0.0579 | 最大回撤:-0.0285
轮次1 迭代36 | 夏普:0.74 | 累计收益:0.0358 | 年化波动:0.0610 | 最大回撤:-0.0298
轮次1 迭代37 | 夏普:0.77 | 累计收益:0.0366 | 年化波动:0.0598 | 最大回撤:-0.0292
轮次1 迭代38 | 夏普:0.75 | 累计收益:0.0359 | 年化波动:0.0606 | 最大回撤:-0.0299
轮次1 迭代39 | 夏普:0.74 | 累计收益:0.0356 | 年化波动:0.0609 | 最大回撤:-0.0300
轮次1 迭代40 | 夏普:0.76 | 累计收益:0.0357 | 年化波动:0.0591 | 最大回撤:-0.0292
轮次1 迭代41 | 夏普:0.75 | 累计收益:0.0350 | 年化波动:0.0585 | 最大回撤:-0.0287
轮次1 迭代42 | 夏普:0.75 | 累计收益:0.0339 | 年化波动:0.0566 | 最大回撤:-0.0280
