date,保守型C2_动态评分,平衡型C3_动态评分,进取型C4_动态评分,保守型C2_LGB融合,平衡型C3_LGB融合,进取型C4_LGB融合
2015-01-05,999987.8117913832,999984.7883597884,999984.7883597884,999989.0211640212,999987.4338624339,999986.3756613757
2015-01-06,1002012.8907411979,1004723.185601592,1004723.185601592,1000928.7682029817,1002351.6784960238,1003300.2828456765
2015-01-07,1000749.1610404571,1001779.7971565736,1001779.7971565736,1000334.3698231995,1000878.4860172344,1001239.8428483778
2015-01-08,996191.9242684904,991148.5446251052,991148.5446251052,998203.2480356352,995562.6775977185,993798.9973302837
2015-01-09,992611.4060069363,982849.4086425494,982849.4086425494,996523.6844300199,991389.6909768645,987971.1093725249
2015-01-12,989139.3159276302,974840.5417173649,974840.5417173649,994891.7168298138,987345.5441464541,982332.7477774831
2015-01-13,990594.448402677,978199.6637215063,978199.6637215063,995569.4638002107,989041.7525754754,984699.2813101455
2015-01-14,988248.9078626765,972808.1547978567,972808.1547978567,994464.1133664367,986311.213171334,980897.2178102795
2015-01-15,995796.9534123669,990157.9510891775,990157.9510891775,998003.4258007363,995101.6307774318,993140.1424040684
2015-01-16,998947.5155292294,997480.7309905996,997480.7309905996,999471.6654663736,998776.3653664116,998278.571058718
2015-01-19,972525.4668013816,935933.0028136122,935933.0028136122,987129.6181204669,967957.5746527127,955157.7297818683
2015-01-20,984360.3783593168,962521.1360207922,962521.1360207922,992730.290713604,981701.7194378107,974148.8776608338
2015-01-21,997460.5872915019,992422.8521501329,992422.8521501329,998890.4508642491,996945.6402964428,995330.0391859069
2015-01-22,1000898.1109034471,1000416.3578813454,1000416.3578813454,1000491.6430100201,1000955.6624754772,1000938.9221361091
2015-01-23,999019.4672648067,996048.198948811,996048.198948811,999610.0050695398,998765.4405574875,997876.6347128465
2015-01-26,1006116.2088332467,1012571.1881370818,1012571.1881370818,1002918.4865298328,1007044.5184987076,1009460.9890344462
2015-01-27,1004899.950615343,1009728.4386375735,1009728.4386375735,1002347.3968672545,1005625.9064305692,1007474.1722605514
2015-01-28,1000195.271973765,998711.4646625072,998711.4646625072,1000152.1535905709,1000134.8122322608,999776.5091828852
2015-01-29,996211.9228203263,989443.9823004735,989443.9823004735,998288.045645583,995489.5061314214,993279.3778929908
2015-01-30,992134.4579774674,980007.621154054,980007.621154054,996375.9812682979,990737.5594303191,986645.3640924862
2015-02-02,990314.4474438789,975597.7936791694,974229.7546568087,995142.0662538483,987684.9716090809,982393.3084026502
2015-02-03,991676.3214552011,978966.4009145361,978943.0576622018,996574.6388375771,991254.2633135327,987367.4429893813
2015-02-04,990924.6687436438,977125.9211718037,976370.3321572547,995925.753547088,989655.4613435082,985141.8150733667
2015-02-05,989969.41443686,974785.5810526619,973100.2640996077,995086.2913275086,987584.745826966,982259.9444852968
2015-02-06,988952.0452629117,972295.6740608747,969624.2825767072,993845.1844725109,984520.0653739247,977996.4232572797
2015-02-09,989956.0771070226,974777.9464770362,973093.7635812961,994350.1111973125,985785.1886289497,979759.7405814527
2015-02-10,990872.9377971486,977049.4602690624,976272.249888587,995310.1552036282,988179.2945074341,983094.8897430886
2015-02-11,991693.6172989943,979087.0755959692,979126.5162450842,996165.5360853152,990317.1309034607,986076.3623588841
2015-02-12,992260.0631208811,980499.7580614941,981108.2367895959,996775.6071547916,991848.0912476841,988214.4415420969
2015-02-13,992848.7444572387,981968.6094870665,983169.7982281907,997613.21523172,993946.5193884788,991145.3997548685
2015-02-16,993591.8260355934,983820.5684086296,985769.6137465705,998671.0558466265,996596.1916472015,994848.4198811549
2015-02-17,994031.4742517286,984923.5200797217,987320.7169483632,999100.6107397091,997682.6780451518,996370.7810671855
2015-02-25,993116.8697199785,982672.6158342522,984165.6991050324,998415.6347283553,995987.5147956895,994004.6270331867
2015-02-26,994802.9134592002,986858.0194936636,990038.0727334974,999887.0865160925,999672.0191800217,999156.6080855294
2015-02-27,994957.792913044,987256.8111923011,990602.1089281259,1000277.5066144003,1000662.7355572737,1000546.8608096171
2015-03-02,998982.7936900024,997256.1206062688,1004652.5084808464,1002317.039644119,1005778.422619038,1007711.9637792453
2015-03-03,997585.4070440669,993783.5323291576,999758.8142183059,999242.6108064271,998080.7745275698,996918.5378154274
2015-03-04,1001412.377313611,1003329.2842533237,1013207.1877059632,1002292.8299013795,1005712.308304141,1007594.1997425306
2015-03-05,1000944.3924086625,1002172.0129405573,1011575.0776565162,1001833.7254780978,1004575.5974369408,1006003.8250953451
