iter,sharpe,cum_ret,vol,mdd
0,1.3163,0.5946,0.1779,-0.1258
1,1.2261,0.537,0.1744,-0.1242
2,1.2024,0.5307,0.176,-0.1258
3,1.1819,0.5489,0.1845,-0.1249
4,1.2322,0.5681,0.1825,-0.1212
5,1.2338,0.5396,0.1741,-0.1172
6,1.2662,0.5319,0.1674,-0.111
7,1.1959,0.4801,0.1617,-0.1102
8,1.1952,0.4876,0.1641,-0.111
9,1.1753,0.4731,0.1623,-0.109
10,1.256,0.5178,0.1648,-0.1058
11,1.2386,0.5332,0.1715,-0.1072
12,1.2398,0.5487,0.1758,-0.1102
13,1.1658,0.4476,0.1557,-0.1109
14,1.1612,0.43,0.1507,-0.1087
15,1.2143,0.466,0.155,-0.1102
