date,net_value,turnover
2015-01-05,0.99872816,1.7332133
2015-01-06,0.9934697,0.010534428
2015-01-07,0.9902098,0.03928575
2015-01-08,0.98720104,0.010241203
2015-01-09,0.9898261,0.007270023
2015-01-12,0.98709434,0.0070467964
2015-01-13,0.9945959,0.004346706
2015-01-14,1.0006645,0.006819658
2015-01-15,0.9766939,0.016705327
2015-01-16,0.98958623,0.006413825
2015-01-19,1.0057147,0.0486138
2015-01-20,1.0085707,0.009924084
2015-01-21,1.0069939,0.026756398
2015-01-22,1.0150089,0.003189057
2015-01-23,1.0131556,0.0038922504
2015-01-26,1.0088723,0.009046897
2015-01-27,1.0041662,0.0018613935
2015-01-28,0.9978538,0.00699804
2015-01-29,0.99449223,0.008334123
2015-01-30,1.0022204,0.0101303905
2015-02-02,0.9974804,0.06775029
2015-02-03,0.99378586,0.013529025
2015-02-04,0.9860805,0.0043756217
2015-02-05,0.9854476,0.00907065
2015-02-06,0.99147683,0.009444192
2015-02-09,0.9958769,0.00422737
2015-02-10,0.99821883,0.01026392
2015-02-11,1.00414,0.005393371
2015-02-12,1.0106695,0.0059898943
2015-02-13,1.0126393,0.013655461
2015-02-16,1.0081627,0.011914335
2015-02-17,1.0158396,0.014349021
2015-02-25,1.0183433,0.0076071396
2015-02-26,1.0249001,0.012994014
2015-02-27,1.017239,0.009877011
2015-03-02,1.0248526,0.13672973
2015-03-03,1.0233995,0.0117465705
2015-03-04,1.018234,0.006152831
2015-03-05,1.0251479,0.0033013
2015-03-06,1.0252575,0.0017434135
2015-03-09,1.0251112,0.009425841
2015-03-10,1.0270032,0.002988197
2015-03-11,1.0314375,0.0031851828
2015-03-12,1.0460894,0.0075921714
2015-03-13,1.0514381,0.00463745
2015-03-16,1.0598295,0.012825213
2015-03-17,1.0617867,0.006850086
2015-03-18,1.0656877,0.008400716
2015-03-19,1.0812757,0.003715545
2015-03-20,1.0793182,0.004954584
2015-03-23,1.082222,0.010074668
2015-03-24,1.0830938,0.0018158033
2015-03-25,1.0883961,0.0035742968
2015-03-26,1.0959593,0.00420586
2015-03-27,1.091662,0.0040383264
2015-03-30,1.1018304,0.009261973
2015-03-31,1.1087707,0.009165578
2015-04-01,1.1157435,0.059323773
2015-04-02,1.1283566,0.0027090162
2015-04-03,1.1263719,0.0055839047
2015-04-07,1.1216103,0.0104773715
2015-04-08,1.1356477,0.010720149
2015-04-09,1.1412176,0.0062350705
2015-04-10,1.1400625,0.006585695
2015-04-13,1.168422,0.10107522
2015-04-14,1.1816895,0.0015453845
2015-04-15,1.1864353,0.0068326965
2015-04-16,1.1808814,0.0040710047
2015-04-17,1.1976471,0.002009049
2015-04-20,1.2096004,0.0051189065
2015-04-21,1.2099051,0.08221506
2015-04-22,1.2101296,0.0042094514
2015-04-23,1.2149936,0.0008603111
2015-04-24,1.2020634,0.002382271
2015-04-27,1.2106004,0.0021458045
2015-04-28,1.2129686,0.005369261
2015-04-29,1.2133079,0.0022032484
2015-04-30,1.1943858,0.0023007318
2015-05-04,1.1856539,0.01058282
2015-05-05,1.1765771,0.010827139
2015-05-06,1.1933413,0.004566312
2015-05-07,1.2137759,0.005207941
2015-05-08,1.2195845,0.0062536
2015-05-11,1.2236166,0.009668253
2015-05-12,1.2228098,0.0062693283
2015-05-13,1.2170626,0.061144494
2015-05-14,1.2210118,0.0031950474
2015-05-15,1.2335224,0.0066663325
2015-05-18,1.2371429,0.002966553
2015-05-19,1.2554392,0.004536949
2015-05-20,1.265202,0.003394857
2015-05-21,1.2801192,0.0060250834
2015-05-22,1.2926501,0.007910788
2015-05-25,1.2959083,0.00906419
2015-05-26,1.2620106,0.007799603
2015-05-27,1.2643948,0.0036643595
2015-05-28,1.2930298,0.021541514
2015-05-29,1.3057431,0.0048835054
2015-06-01,1.2992414,0.024772204
2015-06-02,1.2995821,0.0022425428
2015-06-03,1.3077035,0.005330004
2015-06-04,1.3095375,0.0028788522
2015-06-05,1.3088311,0.0032978654
2015-06-08,1.3158303,0.0053213164
2015-06-09,1.3207746,0.0029094368
2015-06-10,1.3301744,0.0028460994
2015-06-11,1.3197422,0.0022821054
2015-06-12,1.3007016,0.0041083544
2015-06-15,1.3093004,0.0022761375
2015-06-16,1.2903483,0.008889154
2015-06-17,1.2565477,0.0010609776
2015-06-18,1.2665864,0.007241942
2015-06-19,1.2787023,0.013952009
2015-06-23,1.2621614,0.008003838
2015-06-24,1.2157865,0.00743711
2015-06-25,1.192228,0.007845759
2015-06-26,1.2281054,0.022013262
2015-06-29,1.1978683,0.010195859
2015-06-30,1.1770903,0.017312974
2015-07-01,1.1435636,0.03181164
2015-07-02,1.1604193,0.011281669
2015-07-03,1.1210327,0.024514042
2015-07-06,1.0697349,0.02713205
