#{"t_start": 1789477410.6137094, "env_id": "None"}
r,l,t
-79.754385,1678,2.515509
-79.880066,1678,4.017089
-78.605492,1678,5.287017
-81.024845,1678,8.112398
-78.556073,1678,9.60865
-78.379043,1678,10.8631
-78.41486,1678,14.052717
-79.323521,1678,15.582681
-76.400685,1678,16.896104
-78.126631,1678,19.941299
-77.367044,1678,21.488948
-78.83715,1678,22.778635
-78.398093,1678,25.658845
-77.143041,1678,27.414189
-78.897279,1678,28.802112
-76.564128,1678,31.813574
-78.119756,1678,33.45828
-76.953763,1678,34.800872
-76.296131,1678,37.771879
-78.157497,1678,39.349
-76.536406,1678,40.664662
-75.203453,1678,44.202995
-76.272673,1678,45.769186
-77.307723,1678,47.135815
-78.021895,1678,50.120525
-75.586578,1678,51.703387
-71.949553,1678,53.54286
-74.559691,1678,56.115164
-72.536663,1678,57.670345
-74.277728,1678,58.925287
-72.22988,1678,61.923714
-72.46535,1678,63.593403
-70.035629,1678,64.8927
-70.42114,1678,67.787376
-68.471937,1678,69.387102
-69.851614,1678,70.760387
-67.200766,1678,73.749636
-65.104248,1678,75.407391
-64.74198,1678,76.746877
-63.806993,1678,79.860117
-64.174939,1678,81.479359
-62.585269,1678,82.813973
-62.375012,1678,85.707114
-59.871304,1678,87.348896
-58.257745,1678,88.77247
-56.096244,1678,91.800917
-55.544733,1678,93.449755
-54.850636,1678,94.932079
-52.168003,1678,97.970655
-50.942621,1678,99.525033
-50.278439,1678,100.931139
-47.520057,1678,103.870935
-48.026469,1678,105.511534
-46.669265,1678,106.928193
-44.621611,1678,110.714054
-45.40261,1678,112.3268
-43.874657,1678,113.764806
-42.175107,1678,117.004489
-41.87514,1678,118.468382
-42.46061,1678,119.715996
-40.510999,1678,122.540662
-39.366688,1678,124.135031
-39.366768,1678,125.526252
-38.448364,1678,128.401999
-36.387852,1678,129.92455
-38.22688,1678,131.273983
-37.875156,1678,134.168333
-35.468162,1678,136.541039
-36.981891,1678,137.899412
-35.882364,1678,140.820817
-35.773021,1678,142.331338
-34.525552,1678,143.6938
-34.950589,1678,146.764589
-34.205895,1678,148.262399
-35.35222,1678,149.609362
-34.295596,1678,152.988863
-32.863319,1678,154.50525
-33.010274,1678,155.784499
-33.049882,1678,158.826887
-33.075134,1678,160.391726
-30.722199,1678,161.693738
-31.325888,1678,164.934052
-31.492034,1678,166.467941
-30.839945,1678,167.761188
-30.166382,1678,170.486146
-30.473425,1678,171.971047
-30.147312,1678,173.240917
-28.988338,1678,176.039664
-29.327234,1678,177.539638
-29.120109,1678,178.821109
-27.343168,1678,181.553791
-27.366197,1678,182.999633
-27.197921,1678,184.184887
-27.826401,1678,186.808327
-26.91571,1678,188.25067
-25.134814,1678,189.5193
-25.716464,1678,192.254458
-26.359,1678,193.746825
-23.711179,1678,195.016783
-24.096029,1678,197.800414
-25.590805,1678,199.302209
-24.464408,1678,200.564394
-23.870498,1678,203.286187
-23.343664,1678,204.764755
-23.435085,1678,206.031559
-22.529045,1678,208.826134
-22.693681,1678,210.309873
-23.573867,1678,211.573791
-22.4751,1678,214.323873
-21.988371,1678,215.809056
-22.357472,1678,217.081833
-21.043702,1678,219.885591
-21.857128,1678,221.48746
-20.985048,1678,222.70689
-20.608182,1678,225.604132
-20.42744,1678,227.090821
-21.173067,1678,228.373888
-20.733853,1678,231.193231
-20.597978,1678,232.675611
-19.410159,1678,233.874412
-19.905755,1678,236.697854
-18.672956,1678,238.187126
-17.562691,1678,239.480017
-19.401128,1678,242.290914
-18.290231,1678,243.7565
-18.444058,1678,244.998204
-17.227503,1678,247.800335
-17.079647,1678,249.231566
-17.025273,1678,250.43085
-17.097274,1678,253.06072
-17.185491,1678,254.534427
-16.17956,1678,255.778397
-16.05493,1678,258.576178
-16.9449,1678,260.062085
-15.606556,1678,261.325722
-15.88569,1678,264.1161
-15.760486,1678,265.547349
-14.54333,1678,266.780022
-15.110404,1678,269.54193
-14.634469,1678,271.019798
-15.514194,1678,272.299391
-13.446624,1678,274.991105
-13.335926,1678,276.419478
-14.520735,1678,277.641478
-14.236767,1678,280.451648
-14.0556,1678,281.931828
-13.722733,1678,283.202158
-13.646229,1678,286.004039
-13.195874,1678,287.433417
-13.038323,1678,288.715733
-12.834665,1678,291.505155
-12.552154,1678,292.990207
-12.8393,1678,294.269765
-12.693707,1678,297.074764
-14.062109,1678,298.560594
-12.642419,1678,299.83744
-14.262123,1678,302.651268
-12.942057,1678,304.145054
-12.898985,1678,305.409366
-11.74302,1678,308.240895
-12.796301,1678,309.708935
-11.99886,1678,310.971862
-12.568162,1678,313.736157
-12.403648,1678,315.115316
-11.886588,1678,316.29218
