#{"t_start": 1789478607.7204766, "env_id": "None"}
r,l,t
-76.787531,1678,2.679468
-76.994157,1678,4.046767
-75.15912,1678,5.213304
-77.706095,1678,7.8202
-74.992785,1678,9.199546
-75.265264,1678,10.89814
-75.891726,1678,13.419599
-76.551301,1678,14.77246
-73.745173,1678,15.919671
-74.644619,1678,18.448701
-74.249077,1678,19.820336
-75.531251,1678,20.964606
-74.469588,1678,23.471998
-73.572371,1678,25.427379
-75.123666,1678,26.583593
-74.289645,1678,29.164361
-74.287709,1678,30.539651
-73.87269,1678,31.727597
-72.877959,1678,34.343947
-74.424217,1678,35.729362
-73.237458,1678,36.890599
-72.355655,1678,39.461267
-72.256356,1678,41.518451
-73.660587,1678,42.694098
-73.621475,1678,45.373406
-72.854981,1678,46.764123
-69.660015,1678,47.925687
-72.12777,1678,50.506449
-69.635626,1678,51.882113
-71.245438,1678,53.035641
-69.199934,1678,55.880335
-68.167235,1678,57.453832
-67.036529,1678,58.630872
-67.151854,1678,61.198239
-66.422528,1678,62.613064
-67.199264,1678,63.790766
-64.303583,1678,66.417542
-63.291076,1678,67.801705
-63.052573,1678,68.970197
-62.778997,1678,71.991434
-63.527913,1678,73.348796
-62.240504,1678,74.475284
-62.346044,1678,77.011677
-60.748628,1678,78.381988
-59.596698,1678,79.517497
-57.794278,1678,82.0306
-56.411847,1678,83.371521
-58.777637,1678,84.508048
-55.579804,1678,87.746617
-56.13248,1678,89.119236
-56.228427,1678,90.352607
-51.569759,1678,93.033815
-52.933886,1678,94.504817
-52.751336,1678,95.690996
-51.441736,1678,98.352235
-52.364017,1678,100.092094
-50.263244,1678,101.360684
-50.355699,1678,104.453328
-50.418988,1678,105.833026
-49.608418,1678,106.978164
-48.411256,1678,109.500865
-47.017876,1678,110.850976
-46.840597,1678,111.980481
-45.254061,1678,114.561097
-43.387382,1678,115.918193
-44.060798,1678,117.060393
-44.400868,1678,119.600255
-42.752764,1678,120.967298
-43.78567,1678,122.117609
-40.973902,1678,124.744732
-40.727044,1678,126.153807
-38.888475,1678,127.317903
-39.786906,1678,130.004966
-38.424458,1678,131.404099
-38.980508,1678,132.587055
-37.28958,1678,135.150408
-37.269313,1678,136.545592
-35.627867,1678,137.746637
-36.373012,1678,140.336192
-34.901477,1678,141.703009
-33.10091,1678,142.88041
-32.955139,1678,145.479529
-33.988412,1678,147.094238
-32.726712,1678,148.40416
-32.857163,1678,151.310762
-33.232471,1678,152.855908
-33.155536,1678,154.029036
-31.496415,1678,156.661748
-31.731541,1678,158.031366
-31.933094,1678,159.191118
-30.290001,1678,161.768686
-30.990405,1678,163.160619
-30.410275,1678,164.345477
-30.185085,1678,166.89384
-30.299064,1678,168.264253
-31.285934,1678,169.410547
-28.653973,1678,171.982626
-29.407034,1678,173.367683
-27.4268,1678,174.529747
-27.266604,1678,177.095529
-28.086955,1678,178.456233
-27.117865,1678,179.62607
-26.819033,1678,182.16819
-25.205179,1678,183.569291
-26.753199,1678,184.723794
