#{"t_start": 1789480039.7688355, "env_id": "None"}
r,l,t
-63.79159,2097,3.166258
-64.650633,2097,5.031844
-64.919971,2097,8.916724
-64.649881,2097,10.725202
-63.765533,2097,14.540523
-64.007227,2097,16.367963
-63.23034,2097,20.232772
-65.308785,2097,22.041646
-65.566251,2097,25.853271
-66.12547,2097,27.650736
-65.409101,2097,31.434433
-65.999433,2097,33.233324
-65.287855,2097,37.045586
-66.174515,2097,38.80279
-65.304367,2097,42.613783
-65.925988,2097,44.409634
-66.196766,2097,48.233689
-65.500503,2097,50.036459
-66.320465,2097,53.768326
-64.40282,2097,55.563572
-65.753157,2097,59.359716
-66.319743,2097,61.069678
-64.80269,2097,64.821828
-65.245868,2097,66.640949
-65.265342,2097,70.604738
-64.040068,2097,72.429641
-64.134194,2097,76.415373
-62.830909,2097,78.261245
-61.703564,2097,82.187759
-61.806068,2097,83.973644
-60.433215,2097,87.79928
-59.940217,2097,89.578617
-58.039706,2097,93.398873
-57.012826,2097,95.170656
-55.226402,2097,98.989738
-54.104218,2097,100.769126
-51.479849,2097,104.543346
-50.15326,2097,106.329114
-47.563967,2097,110.192344
-47.584528,2097,111.948742
-42.937576,2097,115.713042
-40.31756,2097,117.509394
-36.130525,2097,121.456654
-34.143494,2097,123.291891
-32.516645,2097,127.087372
-31.072146,2097,128.75626
-28.957666,2097,132.438973
-27.799416,2097,134.443547
-26.761877,2097,138.24847
-24.938126,2097,140.043058
-23.105208,2097,144.17012
-23.730619,2097,146.139282
-20.0292,2097,149.952024
-18.376562,2097,151.740637
-18.003045,2097,155.644516
-18.484054,2097,157.423354
-17.12673,2097,161.26945
-16.920656,2097,163.064599
-16.300695,2097,166.978095
-16.400453,2097,168.720732
-15.515494,2097,172.533487
-15.881696,2097,174.492393
-15.535274,2097,178.750053
-14.3184,2097,180.671338
-14.450518,2097,185.647035
-14.548835,2097,187.497223
-14.194089,2097,192.644553
-13.563319,2097,194.337273
-13.671461,2097,199.273806
-14.308628,2097,201.06898
-12.901328,2097,205.258981
-13.286874,2097,208.332051
-13.090237,2097,212.620032
-12.447951,2097,214.408101
-12.147268,2097,218.175674
-12.311621,2097,219.949768
-12.487281,2097,223.618546
-12.14362,2097,225.503451
-12.509454,2097,229.923205
-12.141386,2097,231.908423
-12.481766,2097,235.646844
-12.431995,2097,237.325382
-12.173196,2097,240.857521
-12.279653,2097,242.543213
-12.003413,2097,246.14914
-11.911819,2097,247.811063
-12.125902,2097,251.534279
-11.705698,2097,253.279086
-11.976017,2097,257.112719
-12.045244,2097,258.933098
-11.538184,2097,262.582075
-11.804919,2097,264.304892
-11.741753,2097,268.091472
-11.346176,2097,269.866741
-11.556411,2097,273.695179
-11.049266,2097,275.484221
-11.244288,2097,279.285113
-11.5368,2097,281.051684
-11.105502,2097,284.835037
-11.004237,2097,286.563608
-11.139224,2097,290.379316
-11.396068,2097,292.259272
-10.669277,2097,296.131196
-11.251694,2097,297.900936
-11.082188,2097,301.706407
-10.78926,2097,303.489397
-10.625601,2097,307.239448
-10.442528,2097,309.009945
-10.618082,2097,312.861797
-10.520279,2097,314.637907
