#{"t_start": 1789554317.491654, "env_id": "None"}
r,l,t
-7.322587,2097,3.011175
-7.272838,2097,4.784519
-7.371199,2097,8.55568
-7.264223,2097,10.265207
-7.027457,2097,14.040798
-7.314045,2097,15.795191
-7.121185,2097,19.58689
-7.419923,2097,21.338922
-7.261676,2097,25.08353
-7.448691,2097,26.838259
-7.491591,2097,30.530893
-7.190665,2097,32.289335
-7.282618,2097,36.019257
-7.039095,2097,37.758497
-7.297327,2097,41.440406
-7.092829,2097,43.09811
-7.143668,2097,46.722161
-7.226728,2097,48.479676
-7.368882,2097,52.226482
-7.504399,2097,53.982362
-7.287523,2097,57.746526
-7.609848,2097,59.50081
-7.389674,2097,63.260857
-7.522138,2097,65.029563
-7.161213,2097,68.771267
-7.1058,2097,70.516945
-7.210021,2097,74.254897
-7.50762,2097,76.000548
-7.570885,2097,79.751559
-7.092034,2097,81.610758
-7.288576,2097,85.354708
-7.363543,2097,87.108663
-7.672923,2097,90.855251
-7.313245,2097,92.602877
-7.42181,2097,96.352235
-7.566071,2097,98.093395
-6.783434,2097,101.854446
-7.122454,2097,103.574097
-7.394955,2097,107.285701
-7.22589,2097,108.950062
-7.290639,2097,112.550759
-7.320589,2097,114.296418
-7.031478,2097,118.053542
-7.348773,2097,119.801919
-7.402175,2097,123.563305
-6.807254,2097,125.324887
-7.498429,2097,129.113641
-7.273786,2097,130.863028
-7.164352,2097,134.596487
-7.176536,2097,136.346485
-7.367534,2097,140.088662
-7.434922,2097,141.842751
-6.826002,2097,145.616663
-7.150574,2097,147.377807
-7.214011,2097,151.131606
-7.524327,2097,152.901227
-7.307185,2097,156.642303
-7.142343,2097,158.396349
-7.118202,2097,162.199476
-7.450179,2097,163.94491
-7.045518,2097,167.692183
-7.438496,2097,169.454836
-6.863571,2097,173.159616
-7.437546,2097,174.819314
-7.320431,2097,178.407453
-6.707752,2097,180.18076
-7.403318,2097,184.008055
-7.007784,2097,185.807564
-7.023692,2097,189.544599
-7.161248,2097,191.302361
-6.877837,2097,195.05786
-7.481947,2097,196.799619
-7.362086,2097,200.562775
-7.12678,2097,202.312643
-7.152968,2097,206.027521
-6.707258,2097,207.792362
-7.016584,2097,211.567957
-7.204191,2097,213.346525
-7.257706,2097,217.097596
-7.347965,2097,218.8469
-7.318737,2097,222.633134
-7.373114,2097,224.386302
-7.132931,2097,228.196838
-7.035308,2097,229.9623
-6.924838,2097,233.732426
-7.180557,2097,235.493
-6.843093,2097,239.163774
-7.333528,2097,240.818515
-7.05569,2097,244.475422
-6.815744,2097,246.280462
-6.530551,2097,250.044687
-7.018277,2097,251.818419
-6.779314,2097,255.582539
-7.443868,2097,257.403106
-7.196318,2097,261.181765
-7.405835,2097,262.948117
-7.184842,2097,266.741485
-7.045257,2097,268.61426
-7.362174,2097,272.37826
-7.403943,2097,274.140939
-7.397633,2097,277.950285
-7.134708,2097,279.68668
-6.926427,2097,283.60394
-7.285656,2097,285.39395
-6.485685,2097,289.145669
-6.862348,2097,291.117691
-6.707896,2097,294.858934
-6.69884,2097,296.624423
-6.956286,2097,300.397744
-6.807873,2097,302.161478
-7.294272,2097,305.79364
-7.157509,2097,307.445279
-7.401007,2097,311.283412
-7.381391,2097,313.117241
-6.520825,2097,317.009909
-6.778282,2097,318.830909
-6.96392,2097,322.613401
-6.901755,2097,324.372486
-7.089085,2097,328.440891
-6.534649,2097,330.166111
