#{"t_start": 1789475822.346398, "env_id": "None"}
r,l,t
-75.494664,1678,2.528507
-75.844901,1678,3.927587
-74.116332,1678,5.127536
-76.736131,1678,7.810049
-73.848326,1678,9.184507
-74.106394,1678,10.375289
-74.335753,1678,12.98109
-74.715906,1678,14.360777
-72.432177,1678,15.533235
-73.264897,1678,18.208662
-73.128723,1678,19.633023
-74.434078,1678,20.8325
-74.045087,1678,23.4399
-72.626596,1678,24.809423
-74.666528,1678,25.976721
-72.561673,1678,28.566835
-73.869844,1678,29.958531
-72.578771,1678,31.140836
-71.75454,1678,33.744913
-73.523431,1678,35.152287
-73.184377,1678,36.383991
-71.386878,1678,39.083954
-72.007124,1678,40.506722
-73.213984,1678,41.728527
-73.349061,1678,44.417726
-71.455275,1678,45.87553
-67.796364,1678,47.109877
-70.405265,1678,49.813371
-68.239148,1678,51.255809
-69.436271,1678,52.488679
-67.290522,1678,55.18528
-67.471352,1678,56.583292
-65.120556,1678,57.74733
-65.426339,1678,60.429835
-62.986292,1678,61.835361
-64.806907,1678,63.01438
-61.210111,1678,65.603028
-59.415988,1678,67.053512
-58.058188,1678,68.30572
-56.734606,1678,71.065379
-57.932487,1678,72.507163
-55.828286,1678,73.738593
-55.10619,1678,76.422128
-53.072193,1678,77.876469
-51.491379,1678,79.111744
-49.650776,1678,81.83978
-49.551647,1678,83.303076
-48.457532,1678,84.546221
-45.988031,1678,87.293707
-45.700547,1678,88.791717
-45.636623,1678,90.062076
-42.360662,1678,92.79589
-43.000544,1678,94.189095
-41.457278,1678,95.427749
-40.426604,1678,98.134499
-40.383954,1678,99.576185
-40.030419,1678,100.810641
-38.46172,1678,103.515965
-37.372239,1678,104.988809
-38.207898,1678,106.229157
-37.132838,1678,108.896119
-37.040473,1678,110.339754
-36.501195,1678,111.567119
-35.637386,1678,114.262233
-33.275583,1678,115.667996
-35.674716,1678,116.88834
-34.96739,1678,119.536085
-32.869265,1678,120.991966
-34.49856,1678,122.235093
-34.33779,1678,124.938854
-32.803829,1678,126.363535
-31.863278,1678,127.523485
-32.046609,1678,130.070365
-31.702464,1678,131.462244
-31.929417,1678,132.692112
-31.09367,1678,135.433715
-29.861164,1678,136.865406
-29.829048,1678,138.086401
-31.491977,1678,140.878843
-29.929347,1678,142.319547
-27.700289,1678,143.535625
-28.552354,1678,146.26389
-28.234073,1678,147.719453
-27.640545,1678,148.943343
-28.104471,1678,151.589201
-28.237607,1678,153.045334
-26.914707,1678,154.273748
-27.070525,1678,156.975442
-27.816609,1678,158.433439
-26.868549,1678,160.15172
-25.343331,1678,163.391137
-26.201187,1678,164.846811
-26.663244,1678,166.15557
-26.033929,1678,168.887789
-25.774287,1678,170.421952
-25.394934,1678,171.717029
-26.348904,1678,174.649054
-23.768425,1678,176.124447
-22.94161,1678,177.379111
-24.421703,1678,180.189994
-23.037545,1678,181.644515
-22.930134,1678,182.936356
-22.669108,1678,186.327785
-21.393269,1678,187.819016
-21.803504,1678,189.083477
-21.152526,1678,191.878215
-22.123462,1678,193.254866
-22.555921,1678,194.438867
-20.081732,1678,197.049574
-20.318313,1678,198.545135
-20.177461,1678,199.843291
-18.702517,1678,203.594137
-19.807592,1678,205.414913
-18.543541,1678,206.672085
-20.036799,1678,209.655795
-19.028739,1678,211.423204
-18.879855,1678,212.721946
-17.497037,1678,215.816542
-17.755917,1678,217.393942
-16.509576,1678,218.675435
-17.428662,1678,221.588218
-18.348746,1678,223.049836
-16.102104,1678,224.299992
-17.681987,1678,227.203746
-17.18901,1678,228.676184
-17.327821,1678,229.922048
-16.731755,1678,233.372411
-16.072721,1678,234.817804
-16.496236,1678,236.079509
-16.950458,1678,238.876967
-16.930118,1678,240.365262
-16.795526,1678,241.592561
-16.275055,1678,244.444877
-16.089233,1678,246.18613
-16.643897,1678,247.454402
-15.845333,1678,250.202961
-16.193706,1678,251.659727
-15.373181,1678,252.898207
-15.293551,1678,255.706987
-15.957486,1678,257.16444
-15.374988,1678,258.382883
-14.369703,1678,261.326382
-14.606239,1678,262.817683
-16.273377,1678,264.160066
-15.930997,1678,267.046092
-15.830812,1678,268.50531
-14.919996,1678,269.782534
-14.989322,1678,272.425448
-14.514679,1678,273.849852
-14.986466,1678,275.125005
-14.666353,1678,278.36187
-14.462564,1678,279.84639
-13.841799,1678,281.091012
-13.584559,1678,283.837729
-13.86865,1678,285.308189
-13.276324,1678,286.549111
