date,net_value,turnover
2015-01-05,1.0009103,1.8659012
2015-01-06,0.9955836,0.06475581
2015-01-07,0.99506223,0.14245544
2015-01-08,0.9970687,0.05712277
2015-01-09,0.9994933,0.1665914
2015-01-12,0.9964698,0.17207211
2015-01-13,1.0020756,0.07366091
2015-01-14,1.0106229,0.10457056
2015-01-15,0.997615,0.19911972
2015-01-16,1.0059148,0.09152073
2015-01-19,1.0243912,0.36024117
2015-01-20,1.0237689,0.06713586
2015-01-21,1.0237988,0.100280374
2015-01-22,1.0303998,0.041226473
2015-01-23,1.0274124,0.07543654
2015-01-26,1.0238767,0.19273369
2015-01-27,1.018647,0.04815478
2015-01-28,1.0118434,0.09768078
2015-01-29,1.0102696,0.12968463
2015-01-30,1.0163016,0.07004013
2015-02-02,1.010576,0.08913969
2015-02-03,1.0069762,0.07450664
2015-02-04,1.0007762,0.040327623
2015-02-05,1.0014436,0.024211917
2015-02-06,1.0055943,0.048320346
2015-02-09,1.0102136,0.055605493
2015-02-10,1.0115925,0.0843332
2015-02-11,1.0167837,0.08558658
2015-02-12,1.0213445,0.10222274
2015-02-13,1.0216438,0.07838757
2015-02-16,1.016714,0.06592123
2015-02-17,1.0222957,0.143525
2015-02-25,1.0245719,0.053081933
2015-02-26,1.0285511,0.07876436
2015-02-27,1.0219699,0.18987618
2015-03-02,1.0265269,0.080452226
2015-03-03,1.0259191,0.08571988
2015-03-04,1.0229635,0.0987052
2015-03-05,1.0228096,0.04065845
2015-03-06,1.0209701,0.10118956
2015-03-09,1.0207049,0.10371013
2015-03-10,1.021749,0.06374727
2015-03-11,1.0231202,0.053001642
2015-03-12,1.0337139,0.029657053
2015-03-13,1.0346707,0.036365148
2015-03-16,1.0377939,0.07543176
2015-03-17,1.0395488,0.039149754
2015-03-18,1.0397285,0.066715434
2015-03-19,1.0484533,0.04940865
2015-03-20,1.049867,0.1649575
2015-03-23,1.0504208,0.12360868
2015-03-24,1.0568969,0.10001296
2015-03-25,1.0581007,0.02890217
2015-03-26,1.0527798,0.08083844
2015-03-27,1.0478797,0.012430107
2015-03-30,1.0510029,0.025094561
2015-03-31,1.0589688,0.039213665
2015-04-01,1.0591185,0.021284822
2015-04-02,1.065721,0.027516816
2015-04-03,1.0660665,0.015954128
2015-04-07,1.0589371,0.021330202
2015-04-08,1.0616536,0.04299459
2015-04-09,1.0662967,0.04939097
2015-04-10,1.0608518,0.018107228
2015-04-13,1.0774109,1.0190189
2015-04-14,1.0915959,0.008624464
2015-04-15,1.0960596,0.18222648
2015-04-16,1.0895896,0.011801224
2015-04-17,1.1096452,0.21515948
2015-04-20,1.1158806,0.41005945
2015-04-21,1.1149306,0.38013595
2015-04-22,1.1150496,0.020105671
2015-04-23,1.1155452,0.084564075
2015-04-24,1.1072088,0.09084147
2015-04-27,1.1138159,0.041086078
2015-04-28,1.1160638,0.06754731
2015-04-29,1.1136389,0.06762689
2015-04-30,1.0991831,0.111788675
2015-05-04,1.0924495,0.1266614
2015-05-05,1.0838168,0.10928415
2015-05-06,1.0974652,0.12709942
2015-05-07,1.1155757,0.06377217
2015-05-08,1.1207286,0.088971995
2015-05-11,1.1228884,0.11856914
2015-05-12,1.1218474,0.070471555
2015-05-13,1.1152532,0.3044389
2015-05-14,1.1186887,0.027001794
2015-05-15,1.1348369,0.053640734
2015-05-18,1.1403995,0.039985728
2015-05-19,1.1584918,0.09740287
2015-05-20,1.1679114,0.055620614
2015-05-21,1.1811342,0.08194144
2015-05-22,1.1918429,0.06855062
2015-05-25,1.1940218,0.06662385
2015-05-26,1.1637769,0.08678209
2015-05-27,1.1657774,0.05853779
2015-05-28,1.1958228,0.16147438
2015-05-29,1.2079827,0.06054411
2015-06-01,1.202829,0.14956526
2015-06-02,1.2047738,0.074886665
2015-06-03,1.2100319,0.02055429
2015-06-04,1.2140124,0.046035774
2015-06-05,1.2125946,0.061293222
2015-06-08,1.2160958,0.047702745
2015-06-09,1.2187772,0.044476435
2015-06-10,1.2242594,0.05226247
2015-06-11,1.2170036,0.053548954
2015-06-12,1.2060668,0.06923432
2015-06-15,1.2108885,0.063836165
2015-06-16,1.1976851,0.16803475
2015-06-17,1.1759471,0.07359072
2015-06-18,1.1832173,0.16437143
2015-06-19,1.1933242,0.1525616
2015-06-23,1.1794096,0.08861718
2015-06-24,1.1456654,0.1349858
2015-06-25,1.1275364,0.07958847
2015-06-26,1.1606255,0.14843082
2015-06-29,1.1294191,0.04657841
2015-06-30,1.1148415,0.1097709
2015-07-01,1.0908248,0.06198145
2015-07-02,1.1029178,0.03662425
2015-07-03,1.0748117,0.03499779
2015-07-06,1.0298005,0.06082135
2015-07-07,1.0811472,0.16806574
2015-07-08,1.1365263,0.06720619
2015-07-09,1.1647356,0.067167014
2015-07-10,1.1538874,0.07483152
2015-07-13,1.1240568,0.1544248
2015-07-14,1.1328548,0.16586997
2015-07-15,1.146553,0.16971514
2015-07-16,1.1439192,0.08695924
2015-07-17,1.1447982,0.07969974
2015-07-20,1.1444639,0.11775435
2015-07-21,1.1507397,0.06165217
2015-07-22,1.1435223,0.047865618
2015-07-23,1.1271611,0.04335106
2015-07-24,1.127109,0.03241678
2015-07-27,1.1385874,0.214811
2015-07-28,1.1296624,0.2061522
2015-07-29,1.1257123,0.035482407
2015-07-30,1.1220579,0.06382109
2015-07-31,1.1412104,0.11001354
2015-08-03,1.1329986,0.041290015
2015-08-04,1.1306701,0.16883746
2015-08-05,1.1395899,0.0782789
2015-08-06,1.1571108,0.04844587
2015-08-07,1.1570537,0.11273325
2015-08-10,1.1591969,0.34715655
2015-08-11,1.1608499,0.026934516
2015-08-12,1.1608751,0.027110595
2015-08-13,1.1642895,0.06375607
2015-08-14,1.1494329,0.021061055
2015-08-17,1.1550412,0.034338266
2015-08-18,1.1469601,0.31068856
2015-08-19,1.1360606,0.115621895
2015-08-20,1.1071533,0.16272964
2015-08-21,1.080523,0.091507874
2015-08-24,1.0911648,0.37396824
2015-08-25,1.1216449,0.26384777
2015-08-26,1.150743,0.042862855
2015-08-27,1.1419657,0.037838746
2015-08-28,1.1290318,0.043704815
2015-08-31,1.1247559,0.09985157
2015-09-01,1.1172099,0.076800846
2015-09-02,1.1327566,0.05387748
2015-09-07,1.1416885,0.13331023
2015-09-08,1.1326492,0.048169345
2015-09-09,1.133086,0.12472747
2015-09-10,1.1185465,0.15528326
2015-09-11,1.1089678,0.23789397
2015-09-14,1.1291829,0.2405567
2015-09-15,1.1226641,0.11894841
2015-09-16,1.1248864,0.24506247
2015-09-17,1.1339628,0.045324616
2015-09-18,1.1344892,0.15439244
2015-09-21,1.1288903,0.08721599
2015-09-22,1.1318814,0.07524152
2015-09-23,1.1228502,0.061003637
2015-09-24,1.1279647,0.14319147
2015-09-25,1.1216378,0.10324791
2015-09-28,1.1247873,0.06385174
2015-09-29,1.1420377,0.08178449
2015-09-30,1.1442904,0.079186104
2015-10-08,1.1603603,0.12566914
2015-10-09,1.1597486,0.08332011
2015-10-12,1.1592174,0.32158485
2015-10-13,1.167411,0.16410977
2015-10-14,1.170023,0.1045213
2015-10-15,1.1682479,0.0913962
2015-10-16,1.1697935,0.11152953
2015-10-19,1.1571311,0.088644
2015-10-20,1.1628417,0.062344566
2015-10-21,1.1738784,0.14205977
2015-10-22,1.1728855,0.052113526
2015-10-23,1.172468,0.11205143
2015-10-26,1.1693755,0.032971732
2015-10-27,1.1689426,0.055703666
2015-10-28,1.1673123,0.14514735
2015-10-29,1.1612171,0.11215253
2015-10-30,1.1571976,0.08606225
2015-11-02,1.1741425,0.106760435
2015-11-03,1.1738106,0.36775488
2015-11-04,1.1796564,0.17282118
2015-11-05,1.1862168,0.016422052
2015-11-06,1.1835549,0.089959666
2015-11-09,1.1850371,0.23948486
2015-11-10,1.1842563,0.07940422
2015-11-11,1.1788634,0.041771524
2015-11-12,1.1841642,0.067201614
2015-11-13,1.1791203,0.063285574
2015-11-16,1.1756876,0.05726171
2015-11-17,1.1826925,0.04458339
2015-11-18,1.184581,0.15047252
2015-11-19,1.180193,0.047236998
2015-11-20,1.1819686,0.025646023
2015-11-23,1.1848526,0.08649039
2015-11-24,1.1828669,0.081241354
2015-11-25,1.1672794,0.060026653
2015-11-26,1.1672356,0.06335874
2015-11-27,1.1721914,0.51013064
2015-11-30,1.1754434,0.09815
2015-12-01,1.1773316,0.09684417
2015-12-02,1.1774217,0.10962118
2015-12-03,1.1810799,0.03867244
2015-12-04,1.1734061,0.048465375
2015-12-07,1.1715819,0.054268617
2015-12-08,1.1728997,0.09726216
2015-12-09,1.1690317,0.04511811
2015-12-10,1.1777716,0.028809298
2015-12-11,1.1773274,0.0733466
2015-12-14,1.1772149,0.124149874
2015-12-15,1.183197,0.041327648
2015-12-16,1.1850536,0.064903356
2015-12-17,1.1947205,0.08910713
2015-12-18,1.196317,0.04310429
2015-12-21,1.1934785,0.11568602
2015-12-22,1.1935345,0.07787493
2015-12-23,1.1937124,0.061811324
2015-12-24,1.1864932,0.092366844
2015-12-25,1.1881603,0.0434372
2015-12-28,1.191638,0.2621407
2015-12-29,1.1879296,0.033859443
2015-12-30,1.1709981,0.1326031
2015-12-31,1.1680561,0.091439374
2016-01-04,1.1749179,0.30003607
2016-01-05,1.1539104,0.04261759
2016-01-06,1.1460459,0.09671673
2016-01-07,1.12538,0.17292173
2016-01-08,1.1248372,0.117208935
2016-01-11,1.114768,0.15670842
2016-01-12,1.1270776,0.069591805
2016-01-13,1.1047282,0.4983963
2016-01-14,1.1076103,0.11400346
2016-01-15,1.1249439,0.055529952
2016-01-18,1.1158227,0.102025025
2016-01-19,1.1041008,0.17060408
2016-01-20,1.1059911,0.03619179
2016-01-21,1.1093026,0.0869938
2016-01-22,1.0935224,0.04881136
2016-01-25,1.0844167,0.06175048
2016-01-26,1.0683268,0.10181176
2016-01-27,1.083679,0.11715112
2016-01-28,1.0792001,0.08495103
2016-01-29,1.0926987,0.15187547
2016-02-01,1.0916396,0.06659385
2016-02-02,1.1004995,0.08821496
2016-02-03,1.0974133,0.059035536
2016-02-04,1.097096,0.11235161
2016-02-05,1.1157969,0.09043871
2016-02-15,1.1216756,0.050425213
2016-02-16,1.1204187,0.16893214
2016-02-17,1.1212968,0.16301061
2016-02-18,1.1296514,0.04124523
2016-02-19,1.127253,0.1207744
2016-02-22,1.1290141,0.112139635
2016-02-23,1.1030562,0.087564185
2016-02-24,1.1044987,0.024237785
2016-02-25,1.0799977,0.44251135
2016-02-26,1.0947154,0.039537653
2016-02-29,1.1275975,0.1414639
2016-03-01,1.1267967,0.080405354
2016-03-02,1.120149,0.24496676
2016-03-03,1.1325877,0.07560541
2016-03-04,1.1317316,0.0628204
2016-03-07,1.1222439,0.17109847
2016-03-08,1.1152161,0.053493455
2016-03-09,1.1147993,0.12533742
2016-03-10,1.134993,0.13500208
2016-03-11,1.1288934,0.023454458
2016-03-14,1.1257555,0.18008366
2016-03-15,1.1399142,0.034734044
2016-03-16,1.1579127,0.08839686
2016-03-17,1.16791,0.19951925
2016-03-18,1.1662283,0.23865551
2016-03-21,1.1676258,0.20147261
2016-03-22,1.1606736,0.06861164
2016-03-23,1.1647676,0.10977327
2016-03-24,1.1638649,0.13040641
2016-03-25,1.1590513,0.031447254
2016-03-28,1.1742396,0.1633077
2016-03-29,1.171176,0.18905635
2016-03-30,1.1708252,0.1868299
2016-03-31,1.1759176,0.047162548
2016-04-01,1.1779068,0.114823624
2016-04-05,1.1727699,0.13127527
2016-04-06,1.1701295,0.04375104
2016-04-07,1.1770216,0.11623562
2016-04-08,1.1751623,0.16732998
2016-04-11,1.1806002,0.10076225
2016-04-12,1.1815114,0.16400576
2016-04-13,1.1784341,0.16484694
2016-04-14,1.1740636,0.11152907
2016-04-15,1.1747202,0.13346234
2016-04-18,1.1588533,0.053467575
2016-04-19,1.1573063,0.032238778
2016-04-20,1.1609637,0.4587042
2016-04-21,1.1608745,0.060031965
2016-04-22,1.1649115,0.11162907
2016-04-25,1.1655593,0.06845665
2016-04-26,1.1617619,0.07411939
2016-04-27,1.1636114,0.05151416
2016-04-28,1.1846967,0.05795007
2016-04-29,1.1838211,0.02203869
2016-05-03,1.1861873,0.32689926
2016-05-04,1.1726099,0.055338524
2016-05-05,1.1648426,0.059118383
2016-05-06,1.1632487,0.3420624
2016-05-09,1.1692458,0.17051052
2016-05-10,1.1697121,0.10490707
2016-05-11,1.1679232,0.05371923
2016-05-12,1.173417,0.05830141
2016-05-13,1.172882,0.04462443
2016-05-16,1.1594461,0.11762779
2016-05-17,1.1611878,0.0296391
2016-05-18,1.16844,0.17728516
2016-05-19,1.172387,0.024050863
2016-05-20,1.1672469,0.108306244
2016-05-23,1.16444,0.053282227
2016-05-24,1.1643478,0.07207521
2016-05-25,1.1660122,0.09232376
2016-05-26,1.1639627,0.07127004
2016-05-27,1.1870545,0.04895749
2016-05-30,1.1871439,0.12342639
2016-05-31,1.1898116,0.41355792
2016-06-01,1.1958724,0.13482672
2016-06-02,1.196598,0.05792837
2016-06-03,1.1951165,0.089387864
2016-06-06,1.195397,0.17959985
2016-06-07,1.1794313,0.104683354
2016-06-08,1.1832587,0.06505516
2016-06-13,1.2005002,0.5138755
2016-06-14,1.1972413,0.052423455
2016-06-15,1.2019408,0.3017228
2016-06-16,1.202019,0.18184592
2016-06-17,1.1985546,0.107304394
2016-06-20,1.2014835,0.044568945
2016-06-21,1.19927,0.06486173
2016-06-22,1.1944543,0.102722466
2016-06-23,1.205226,0.07980014
2016-06-24,1.2102407,0.10988982
2016-06-27,1.2112516,0.21125452
2016-06-28,1.2113212,0.18471262
2016-06-29,1.2131662,0.11397234
2016-06-30,1.2194597,0.08654555
2016-07-01,1.221886,0.025263518
2016-07-04,1.2298754,0.073599175
2016-07-05,1.2317865,0.038410276
2016-07-06,1.2294014,0.09275528
2016-07-07,1.2351155,0.0452835
2016-07-08,1.2396878,0.05000251
2016-07-11,1.239979,0.0533169
2016-07-12,1.2389665,0.066290796
2016-07-13,1.2386619,0.039455377
2016-07-14,1.2365249,0.08760534
2016-07-15,1.2344581,0.048809752
2016-07-18,1.2351258,0.099669516
2016-07-19,1.234727,0.058514535
2016-07-20,1.2314115,0.021278404
2016-07-21,1.2344277,0.07016203
2016-07-22,1.2388864,0.09880428
2016-07-25,1.2292845,0.19026774
2016-07-26,1.2306983,0.076090254
2016-07-27,1.232005,0.34497568
2016-07-28,1.2264775,0.03748483
2016-07-29,1.2250849,0.038376212
2016-08-01,1.2271072,0.13249344
2016-08-02,1.2289959,0.05001667
2016-08-03,1.2292616,0.06590277
2016-08-04,1.2331146,0.064980686
2016-08-05,1.2368975,0.012553892
2016-08-08,1.2359482,0.09057206
2016-08-09,1.2327687,0.06761663
2016-08-10,1.2367224,0.010687098
2016-08-11,1.2453759,0.06545012
2016-08-12,1.246907,0.12242399
2016-08-15,1.247035,0.12140656
2016-08-16,1.2442147,0.110137776
2016-08-17,1.2417065,0.079678014
2016-08-18,1.2408686,0.10047804
2016-08-19,1.2416394,0.06604204
2016-08-22,1.2410544,0.050916743
2016-08-23,1.2382818,0.08007055
2016-08-24,1.2393265,0.021408383
2016-08-25,1.2384832,0.1220323
2016-08-26,1.2391524,0.017932292
2016-08-29,1.2403886,0.06834345
2016-08-30,1.2364062,0.02200273
2016-08-31,1.2359929,0.06367345
2016-09-01,1.2379838,0.12406686
2016-09-02,1.2437347,0.031473685
2016-09-05,1.2432182,0.045019403
2016-09-06,1.2440239,0.08241868
2016-09-07,1.2405579,0.021939222
2016-09-08,1.230101,0.036096614
2016-09-09,1.2300656,0.05953915
2016-09-12,1.2275065,0.23869982
2016-09-13,1.2325076,0.017318333
2016-09-14,1.2315704,0.038225636
2016-09-19,1.2330325,0.055982053
2016-09-20,1.2367141,0.011074213
2016-09-21,1.2355214,0.026315788
2016-09-22,1.2269083,0.13892674
2016-09-23,1.2287812,0.04538758
2016-09-26,1.2285413,0.16354111
2016-09-27,1.2311335,0.024312463
2016-09-28,1.2338746,0.04127675
2016-09-29,1.2431904,0.025041485
2016-09-30,1.2444606,0.085540436
2016-10-10,1.2440569,0.27381462
2016-10-11,1.2440988,0.14650369
2016-10-12,1.2439862,0.03592159
2016-10-13,1.2420282,0.03885233
2016-10-14,1.2463276,0.04107287
2016-10-17,1.2452705,0.054423936
2016-10-18,1.2449044,0.08856407
2016-10-19,1.2448727,0.025950268
2016-10-20,1.2486184,0.06908025
2016-10-21,1.2502389,0.030494627
2016-10-24,1.2503694,0.083863795
2016-10-25,1.2510307,0.073012576
2016-10-26,1.2488927,0.04261303
2016-10-27,1.248954,0.020312358
2016-10-28,1.2526975,0.096487224
2016-10-31,1.2491181,0.066754885
2016-11-01,1.2509168,0.093995646
2016-11-02,1.2495228,0.123789854
2016-11-03,1.2495683,0.032357328
2016-11-04,1.2526083,0.041435372
2016-11-07,1.2489382,0.008857231
2016-11-08,1.2526883,0.0800671
2016-11-09,1.2560265,0.16323537
2016-11-10,1.2562948,0.11422085
2016-11-11,1.2566524,0.1039387
