#{"t_start": 1789478174.1611066, "env_id": "None"}
r,l,t
-79.754385,1678,2.481497
-79.880066,1678,3.870255
-78.605492,1678,5.023683
-81.024845,1678,7.624422
-78.556073,1678,8.955468
-78.379043,1678,10.077466
-78.41486,1678,12.566015
-79.323521,1678,14.002484
-76.400685,1678,15.125891
-78.126631,1678,17.612017
-77.367044,1678,18.967129
-78.83715,1678,20.099503
-78.398093,1678,22.625098
-77.143041,1678,23.9739
-78.897279,1678,25.128255
-76.564128,1678,27.676602
-78.119756,1678,29.028489
-76.953763,1678,30.180781
-76.296143,1678,32.889042
-78.157532,1678,34.357329
-76.536426,1678,35.551283
-75.203478,1678,39.379278
-76.272698,1678,40.745629
-77.307781,1678,41.903923
-78.021963,1678,44.51576
-75.586662,1678,45.881698
-71.949623,1678,47.034742
-74.56018,1678,49.55693
-72.537566,1678,50.907146
-74.277579,1678,52.034147
-72.231021,1678,54.547969
-72.464778,1678,55.905407
-70.035736,1678,57.032114
-70.419744,1678,59.538891
-68.474919,1678,60.914627
-69.853282,1678,62.03997
-67.204568,1678,64.640388
-65.099359,1678,66.002862
-64.745224,1678,67.133028
-63.836663,1678,69.644294
-64.203963,1678,70.986834
-62.607684,1678,72.118858
-62.42056,1678,74.634844
-59.886671,1678,75.981925
-58.28139,1678,77.103192
-56.133174,1678,79.610497
-55.570402,1678,80.972519
-54.960266,1678,82.117537
-52.237939,1678,84.60076
-51.036817,1678,85.954764
-50.464277,1678,87.074769
-47.679621,1678,89.578766
-48.341904,1678,90.981946
-46.840487,1678,92.12387
-44.90107,1678,94.670959
-45.706608,1678,96.051039
-44.240694,1678,97.260949
-42.786633,1678,99.856248
-42.301184,1678,101.310249
-43.002823,1678,102.655522
-41.169841,1678,106.043047
-40.080054,1678,107.574209
-40.19807,1678,108.732158
-39.145715,1678,111.365093
-37.31057,1678,112.87388
-39.255397,1678,114.073698
-39.16044,1678,116.965364
-36.787463,1678,118.523375
-38.701928,1678,119.816344
-37.290225,1678,122.656098
-37.243775,1678,124.155978
-36.468659,1678,125.375924
-36.715724,1678,128.131604
-36.446394,1678,129.580604
-37.46086,1678,130.766604
-36.364913,1678,133.924306
-35.155592,1678,135.364306
-35.437457,1678,136.562306
-36.062925,1678,139.676743
-36.107545,1678,141.451595
-33.647808,1678,142.768234
-34.121722,1678,145.617729
-34.88152,1678,147.092492
-33.812957,1678,148.276499
-34.280814,1678,151.063765
-34.461937,1678,152.532852
-33.683144,1678,153.709952
-33.043039,1678,156.289947
-33.442495,1678,157.656841
-32.766923,1678,158.828339
-31.39587,1678,161.405457
-31.478571,1678,162.817909
-31.362192,1678,163.969715
-31.916838,1678,166.480002
-31.242215,1678,167.833508
-30.26605,1678,168.98797
-30.106581,1678,171.505783
-30.740587,1678,172.859398
-28.113982,1678,173.979415
-28.368989,1678,176.481979
-30.914529,1678,177.845476
-29.050696,1678,178.979321
-29.147308,1678,181.46968
-28.40546,1678,182.811496
-29.361536,1678,183.941039
-27.378587,1678,186.444877
-27.975899,1678,187.815262
-29.089809,1678,188.943437
-29.160774,1678,191.514485
-27.609107,1678,192.890543
-27.650155,1678,194.01955
-27.154313,1678,196.529347
-25.708131,1678,197.898387
-27.120734,1678,199.032611
-26.260533,1678,201.562792
-25.762655,1678,202.929654
-26.693653,1678,204.062038
-26.103365,1678,206.576452
-26.540501,1678,207.932721
-25.92192,1678,209.066849
-25.483273,1678,211.601887
-25.766323,1678,212.972753
-25.110085,1678,214.118393
-24.895511,1678,216.652727
-25.289288,1678,218.088897
-23.827074,1678,219.229433
-23.759336,1678,221.819854
-23.818752,1678,223.178923
-23.642445,1678,224.299483
-22.977729,1678,226.835519
-23.561792,1678,228.177778
-22.300917,1678,229.312202
-22.892621,1678,231.791891
-22.284017,1678,233.116804
-21.139736,1678,234.235934
-21.461049,1678,236.723607
-20.403841,1678,238.068009
-20.523242,1678,239.204561
-19.476543,1678,241.753559
-19.026002,1678,243.104934
-20.427973,1678,244.254963
-19.951136,1678,247.074963
-18.068861,1678,248.759965
-18.191024,1678,250.098965
-18.299714,1678,252.780967
-18.623392,1678,254.163067
-18.124383,1678,255.360483
-17.512883,1678,257.940656
-17.304062,1678,259.290996
-17.53171,1678,260.496448
-17.42247,1678,263.073509
-17.176087,1678,264.443928
-16.929275,1678,265.592217
-16.015474,1678,268.251485
-17.308293,1678,269.703266
-15.576552,1678,270.947791
-16.63327,1678,273.839121
-16.391082,1678,275.327101
-15.981298,1678,276.611103
-15.590443,1678,279.389914
-16.384729,1678,280.798255
-15.597485,1678,281.982486
-14.639505,1678,284.667398
-14.287556,1678,286.108437
-14.868689,1678,287.385413
