#{"t_start": 1789476300.9760425, "env_id": "None"}
r,l,t
-71.654638,978,1.834288
-71.744427,978,2.650447
-71.726572,978,3.427029
-72.601616,978,4.217219
-69.429394,978,5.019405
-70.933431,978,5.81251
-70.981809,978,7.192365
-72.139409,978,7.970614
-71.692063,978,8.738327
-70.305703,978,9.564493
-70.426208,978,10.370115
-70.937861,978,11.180835
-69.355494,978,12.534434
-69.767512,978,13.342895
-69.515431,978,14.132468
-71.628689,978,14.923334
-68.836575,978,15.72944
-68.738052,978,16.536134
-69.28338,978,17.907885
-68.749966,978,18.716057
-69.697061,978,19.519874
-71.992005,978,20.38905
-69.687745,978,21.24746
-67.702895,978,22.108629
-68.957411,978,23.553293
-68.899207,978,24.445303
-67.395856,978,25.396165
-69.814194,978,26.203789
-70.084332,978,27.021858
-68.200461,978,27.832568
-69.336388,978,29.156479
-68.547755,978,29.973772
-68.252166,978,30.79024
-67.401299,978,31.604381
-68.277073,978,32.409205
-65.309234,978,33.232266
-64.725278,978,34.600561
-62.957808,978,35.417548
-64.400087,978,36.241105
-64.369095,978,37.05509
-63.193054,978,37.856961
-61.923746,978,38.672653
-61.497008,978,40.040886
-58.786341,978,40.847904
-58.499151,978,41.644906
-55.720505,978,42.410426
-55.894998,978,43.176955
-55.609527,978,43.945431
-53.327446,978,45.231497
-51.399754,978,45.986665
-50.524085,978,46.812441
-49.355618,978,47.614531
-47.596132,978,48.415849
-47.076465,978,49.225393
-46.665634,978,50.593248
-45.333124,978,51.394186
-46.230755,978,52.21862
-42.031637,978,53.056904
-43.426945,978,53.880052
-42.76233,978,54.719531
-39.635738,978,56.078492
-39.467115,978,56.877974
-39.147179,978,57.697177
-39.819796,978,58.522433
-36.263988,978,59.332675
-35.619571,978,60.166868
-34.665034,978,61.535445
-33.246218,978,62.346783
-32.967518,978,63.152977
-32.908075,978,63.990259
-33.3377,978,64.804812
-32.04752,978,65.643747
-30.671062,978,67.029043
-29.515326,978,67.813824
-28.261927,978,68.621977
-28.952746,978,69.442061
-27.925915,978,70.263296
-27.420427,978,71.082892
-25.771377,978,72.46288
-25.453294,978,73.299826
-24.816044,978,74.118912
-25.250581,978,74.930967
-23.946287,978,75.744936
-24.18331,978,76.552496
-22.799556,978,77.905222
-23.740323,978,78.6876
-22.76246,978,79.504076
-20.322716,978,80.322154
-20.040542,978,81.131398
-18.496143,978,81.943495
-19.520317,978,83.295856
-19.074482,978,84.093599
-18.300314,978,84.913599
-18.272407,978,85.726263
-17.487077,978,86.545161
-18.063851,978,87.396634
-16.35556,978,88.752142
-15.942615,978,89.551547
-16.475266,978,90.349735
-15.967921,978,91.159438
-15.497492,978,91.974044
-15.842333,978,92.783743
-15.038353,978,94.152172
-14.08985,978,94.964161
-14.11989,978,95.794512
-13.650005,978,96.577932
-13.643699,978,97.45162
-12.402002,978,98.259387
-12.964958,978,99.580972
-12.820727,978,100.398019
-12.055433,978,101.177762
-11.523228,978,102.007924
-12.00865,978,102.823244
-11.256309,978,103.657279
-10.427008,978,105.052824
-10.987707,978,105.883346
-10.403418,978,106.731735
-10.177335,978,107.520736
-10.189123,978,108.295089
-9.731405,978,109.083136
-9.560882,978,110.369256
-10.523849,978,111.149086
-9.465663,978,111.923036
-8.631723,978,112.709721
-8.980073,978,113.514427
-8.686228,978,114.319529
-9.213953,978,115.67213
-8.223514,978,116.474884
-8.344065,978,117.307867
-7.922292,978,118.151867
-7.566391,978,119.02645
-7.994499,978,120.023514
-7.971915,978,121.482293
-8.05284,978,122.280312
-7.174947,978,123.09559
-7.282551,978,123.92253
-7.463694,978,124.723812
-6.946215,978,125.541519
-6.724414,978,126.901406
-7.408532,978,127.710364
-7.226238,978,128.517296
-7.535887,978,129.332904
-6.49088,978,130.152329
-6.568785,978,130.962664
-6.16509,978,132.334315
-6.421948,978,133.141846
-6.502244,978,133.9491
-6.235752,978,134.747481
-6.212948,978,135.656017
-6.037743,978,136.476066
-5.846107,978,137.838998
-5.865005,978,138.651173
-5.744221,978,139.462067
-5.576252,978,140.265297
-5.796972,978,141.08435
-5.71419,978,141.895336
-5.864572,978,143.196517
-5.830182,978,144.013301
-5.239919,978,144.824645
-5.944537,978,145.640392
-5.357597,978,146.447266
-5.576657,978,147.253546
-5.347655,978,148.623188
-5.11804,978,149.429268
-5.02294,978,150.255907
-5.203054,978,151.074636
-4.891786,978,151.890888
-4.966249,978,152.694988
-4.891338,978,153.98112
-4.655421,978,154.785639
-4.907741,978,155.614702
-4.842539,978,156.415124
-5.18203,978,157.22073
-4.453404,978,158.031835
-4.904114,978,159.387372
-5.023532,978,160.191847
-4.899326,978,160.998013
-4.624903,978,161.798154
-4.739351,978,162.609293
-4.761993,978,163.422841
-4.609683,978,164.713185
-4.43949,978,165.518792
-4.732699,978,166.324671
-4.945463,978,167.158041
-4.463993,978,168.207453
-4.736571,978,169.024436
-4.189613,978,170.464401
-4.529325,978,171.283653
-4.599076,978,172.285181
-4.381039,978,173.123324
-4.443353,978,174.116855
-4.510214,978,175.034474
-4.500754,978,176.343658
-4.322629,978,177.141474
-4.681915,978,177.939383
-4.299383,978,178.790245
-4.365154,978,179.599083
-4.479479,978,180.399832
-4.250421,978,181.795893
-4.456218,978,182.636536
-4.16993,978,183.481602
-4.090523,978,184.327094
-4.39197,978,185.17298
-4.846618,978,186.008599
-4.083935,978,188.005654
-4.552738,978,188.88467
-4.391395,978,189.739857
-4.272668,978,190.645126
-4.044217,978,191.53914
-3.987486,978,192.351785
