#{"t_start": 1789479261.8165576, "env_id": "None"}
r,l,t
-132.06807,2097,3.170301
-134.969042,2097,4.990616
-133.26526,2097,8.790974
-132.311572,2097,10.49906
-131.207765,2097,14.829189
-130.141367,2097,16.584179
-128.969483,2097,20.293509
-130.894023,2097,22.01957
-131.921789,2097,25.714943
-130.761238,2097,27.89794
-129.430202,2097,31.667401
-130.092924,2097,33.411978
-129.613095,2097,37.155075
-132.846691,2097,38.896985
-129.180038,2097,42.942268
-130.144937,2097,44.63837
-130.767375,2097,48.170882
-129.036942,2097,49.851094
-127.6063,2097,53.668705
-124.886849,2097,55.494063
-123.138659,2097,60.081984
-125.199451,2097,61.830723
-119.835366,2097,65.51112
-120.321774,2097,67.262257
-116.414386,2097,71.017444
-114.379,2097,73.044945
-108.121851,2097,76.78441
-105.929728,2097,78.539807
-102.006791,2097,82.288589
-97.796887,2097,84.021004
-93.16107,2097,88.246406
-92.952531,2097,90.069264
-86.87395,2097,93.940466
-81.380667,2097,95.736669
-76.152501,2097,99.622835
-75.786327,2097,102.116168
-67.598975,2097,105.964195
-63.26437,2097,107.712464
-58.424894,2097,111.4883
-58.145037,2097,113.180685
-54.005925,2097,117.120152
-50.892497,2097,118.906612
-46.663919,2097,122.856251
-44.972734,2097,124.637518
-42.326115,2097,128.460779
-43.53749,2097,130.289319
-38.941218,2097,134.820492
-36.791359,2097,136.838054
-36.275351,2097,140.801489
-33.978746,2097,143.438424
-33.831442,2097,147.435364
-33.488873,2097,149.234135
-30.776229,2097,153.007314
-29.399236,2097,154.983584
-28.588743,2097,158.900328
-27.87638,2097,160.808519
-27.131002,2097,164.932141
-26.518095,2097,166.705205
-27.15874,2097,170.456496
-25.841689,2097,172.180087
-24.162305,2097,176.160441
-24.219721,2097,177.903629
-23.077805,2097,181.613291
-22.380634,2097,183.303982
-22.271674,2097,187.267544
-22.461072,2097,189.166236
-22.975559,2097,193.137503
-22.248173,2097,195.000943
-21.291005,2097,199.146834
-20.928846,2097,201.003473
