#{"t_start": 1789480678.8331265, "env_id": "None"}
r,l,t
-8.033769,2097,3.25655
-8.188545,2097,5.141236
-7.790727,2097,9.271249
-7.932118,2097,11.17737
-7.630455,2097,15.053165
-7.2468,2097,16.990664
-7.189914,2097,21.359159
-7.299158,2097,23.135594
-8.182964,2097,27.44211
-7.347715,2097,29.373594
-7.785581,2097,33.281992
-7.663278,2097,35.166287
-7.782067,2097,39.186058
-7.681773,2097,41.583039
-7.284101,2097,45.463815
-8.023842,2097,47.322432
-8.113842,2097,51.217705
-7.527876,2097,53.099551
-7.386645,2097,57.459202
-7.467849,2097,59.3572
-7.845039,2097,63.29866
-7.902951,2097,65.082401
-7.729656,2097,68.876232
-8.084363,2097,70.670471
-7.956069,2097,74.764034
-7.476675,2097,76.605841
-8.309754,2097,80.265333
-7.425805,2097,81.967371
-7.917718,2097,85.686649
-7.83393,2097,87.793828
-7.211655,2097,91.63162
-7.974533,2097,93.413318
-7.330617,2097,97.22918
-7.700412,2097,99.021213
-7.402624,2097,103.22542
-7.625268,2097,105.04288
-7.845303,2097,108.884247
-7.740343,2097,110.721705
-8.011434,2097,114.573949
-8.393171,2097,116.664563
-6.814671,2097,120.413677
-8.219879,2097,122.486192
-7.86941,2097,126.310537
-7.410309,2097,128.078883
-7.227788,2097,132.383003
-7.415875,2097,134.375087
-7.491296,2097,138.24037
-7.332594,2097,140.022804
-7.765043,2097,143.877892
-7.770485,2097,145.609409
-8.049686,2097,149.513043
-7.547349,2097,151.26355
-7.059436,2097,155.170055
-7.692623,2097,156.96792
-7.298047,2097,161.320277
-7.717013,2097,163.1314
-7.54545,2097,167.053934
-7.159082,2097,168.892377
-7.341218,2097,172.664307
-8.067021,2097,174.466485
-7.450138,2097,178.62337
-7.966828,2097,180.433592
-7.988329,2097,184.338772
-7.120629,2097,186.178929
-7.591161,2097,190.077252
-7.891491,2097,192.507584
-7.375784,2097,196.337724
-7.948795,2097,198.142777
-7.441801,2097,201.962258
-7.387605,2097,203.739944
-7.19247,2097,207.800405
-7.166402,2097,209.596438
-7.784173,2097,213.866145
-7.038533,2097,215.560308
-6.705005,2097,219.384849
-6.825011,2097,221.654793
-6.761994,2097,225.418323
-7.461645,2097,227.21567
-6.714066,2097,231.03394
-6.933101,2097,232.831745
-7.049094,2097,236.947697
-7.387847,2097,238.754627
-7.501963,2097,242.574434
-6.920986,2097,244.354612
-6.936478,2097,248.174696
-7.636117,2097,249.967888
-7.186265,2097,254.448506
-6.98952,2097,256.258394
-7.14631,2097,260.031328
-7.328174,2097,261.82545
-7.173613,2097,265.65028
-7.388173,2097,267.655828
-7.14897,2097,271.464041
-7.99038,2097,273.235369
-7.245803,2097,276.991288
-6.950794,2097,278.683569
