#{"t_start": 1789553525.7910519, "env_id": "None"}
r,l,t
-8.771844,2097,8.104847
-8.872552,2097,9.908943
-7.903571,2097,14.740541
-8.334104,2097,16.524146
-8.134427,2097,20.255169
-7.198683,2097,22.017879
-7.543328,2097,25.856501
-8.131525,2097,28.238707
-9.143014,2097,32.001069
-7.879444,2097,33.721554
-7.946976,2097,37.420101
-8.114192,2097,39.164909
-8.524303,2097,43.262734
-7.921261,2097,45.020002
-7.563334,2097,48.597088
-8.908692,2097,50.244864
-8.872288,2097,53.87358
-8.099648,2097,55.570708
-7.703799,2097,59.866104
-7.520058,2097,61.55374
-8.294749,2097,65.181375
-8.147339,2097,66.905021
-8.392626,2097,70.506894
-8.459584,2097,72.926053
-8.136064,2097,76.45475
-7.681851,2097,78.141491
-8.742826,2097,81.685268
-7.951754,2097,83.364944
-8.579426,2097,87.472392
-8.475735,2097,89.165876
-7.551741,2097,92.725652
-8.44919,2097,94.393052
-7.205543,2097,97.928951
-8.440927,2097,99.577125
-7.320167,2097,103.843104
-8.011149,2097,105.539288
-7.577585,2097,109.107042
-8.440043,2097,110.77565
-8.197311,2097,114.29514
-8.422041,2097,115.965138
-6.379939,2097,119.984272
-8.401002,2097,121.80608
-7.814519,2097,125.518996
-7.311663,2097,127.191883
-7.041003,2097,131.080952
-6.94049,2097,133.111025
-6.818653,2097,136.899193
-7.09358,2097,138.608026
-7.345884,2097,142.262239
-7.713133,2097,143.991881
-8.07083,2097,148.060311
-7.394895,2097,149.822346
-6.258928,2097,153.51203
-7.447672,2097,155.228023
-6.68489,2097,158.923938
-7.508832,2097,160.64604
-7.181612,2097,165.061275
-6.509987,2097,166.813578
-6.485729,2097,170.468063
-7.687975,2097,172.172294
-6.857976,2097,176.035838
-7.608435,2097,178.169458
-8.091421,2097,181.895586
-6.723564,2097,183.623787
-7.703031,2097,187.401877
-8.010896,2097,189.101547
-7.037583,2097,193.140553
-7.366019,2097,194.909711
-7.499284,2097,198.593816
-7.02372,2097,200.329013
-6.91346,2097,204.071426
-6.544848,2097,205.820506
-7.594793,2097,210.062788
-6.369015,2097,211.802816
-5.955743,2097,215.491411
-6.043058,2097,217.240563
-6.70978,2097,220.963471
-6.730079,2097,223.125185
-5.916019,2097,226.867827
-6.595398,2097,228.605672
-5.988193,2097,232.289659
-7.839013,2097,234.019417
-6.563508,2097,238.481573
-6.563274,2097,240.19493
-6.242001,2097,243.868188
-7.125359,2097,245.554424
-6.689576,2097,249.080321
-5.865665,2097,250.721997
-6.929024,2097,255.031661
-6.939667,2097,256.829761
-6.651697,2097,260.486666
-6.814759,2097,262.162587
-6.50388,2097,265.837312
-7.485234,2097,268.014882
-7.034114,2097,271.820261
-6.998608,2097,273.587648
