#{"t_start": 1789555533.9170232, "env_id": "None"}
r,l,t
-7.296506,2097,3.162959
-7.511614,2097,5.038495
-7.468978,2097,9.117335
-7.318289,2097,10.868197
-7.485112,2097,14.4622
-7.271221,2097,16.184726
-7.426232,2097,19.958486
-7.265669,2097,21.730852
-7.312226,2097,25.591929
-7.596269,2097,27.366055
-7.105854,2097,31.153928
-7.469308,2097,32.908741
-7.318404,2097,36.668733
-7.069064,2097,38.425678
-7.178846,2097,42.213455
-7.477068,2097,43.972105
-7.492266,2097,47.751637
-7.181844,2097,49.52393
-7.238086,2097,53.273212
-7.419851,2097,55.029961
-7.397853,2097,58.875342
-7.469482,2097,60.63851
-7.405831,2097,64.471638
-7.400067,2097,66.247269
-7.341992,2097,70.023233
-7.285924,2097,71.78773
-7.479234,2097,75.551826
-7.296758,2097,77.27366
-7.156338,2097,80.892533
-7.171235,2097,82.658479
-7.347103,2097,86.404132
-7.289287,2097,88.160446
-6.919532,2097,91.921968
-7.162623,2097,93.685178
-7.013643,2097,97.457869
-7.459794,2097,99.177732
-7.107465,2097,103.009211
-7.100684,2097,104.773372
-7.315833,2097,108.518771
-7.291599,2097,110.28971
-7.339869,2097,114.075593
-7.133097,2097,116.238802
-7.353834,2097,120.150482
-7.29804,2097,122.142225
-7.608336,2097,126.265549
-7.390224,2097,129.319891
-6.902598,2097,133.313449
-7.271278,2097,135.071971
-7.336643,2097,138.861647
-6.886819,2097,140.604766
-7.624089,2097,144.24111
-7.201249,2097,145.902313
-7.541699,2097,149.633563
-7.170874,2097,151.394359
-7.334748,2097,155.176009
-7.170074,2097,156.950755
-7.318966,2097,160.772899
-6.993492,2097,162.527291
-7.518498,2097,166.286185
-7.537116,2097,168.035923
-6.953692,2097,171.784227
-7.263467,2097,173.543497
-7.304089,2097,177.30638
-7.128097,2097,179.095565
-7.238932,2097,182.824927
-7.205367,2097,184.575942
-6.990362,2097,188.367979
-7.500289,2097,190.127753
-7.34614,2097,193.836838
-7.118304,2097,195.59881
