#{"t_start": 1789553960.7022727, "env_id": "None"}
r,l,t
-7.336502,2097,3.04536
-7.364711,2097,4.739361
-7.219548,2097,8.380835
-7.248415,2097,10.159565
-7.222062,2097,13.960619
-7.044372,2097,15.74035
-7.016582,2097,19.557236
-7.112612,2097,21.357702
-7.397886,2097,25.151016
-7.089076,2097,26.927641
-7.277311,2097,30.745672
-7.118565,2097,32.510511
-7.207573,2097,36.29634
-7.127337,2097,38.069928
-7.075036,2097,41.881049
-7.274099,2097,43.675295
-7.314055,2097,47.476101
-7.13989,2097,49.265171
-7.165056,2097,53.086752
-7.203753,2097,54.984392
-7.267452,2097,59.206495
-7.220518,2097,61.014164
-7.167128,2097,64.82503
-7.412504,2097,66.720354
-7.386686,2097,70.559347
-7.145099,2097,72.299047
-7.40344,2097,76.223
-7.293198,2097,78.017574
-7.402862,2097,81.802013
-7.410152,2097,83.580305
-7.138087,2097,87.357523
-7.397385,2097,89.145263
-7.179551,2097,92.969338
-7.278359,2097,94.743934
-7.255914,2097,98.531555
-7.144146,2097,100.302866
-7.454419,2097,104.108557
-7.376245,2097,105.888725
-7.407751,2097,109.725388
-7.683471,2097,111.510444
-6.932959,2097,115.326906
-7.658259,2097,117.110707
-7.370627,2097,120.946594
-7.266264,2097,122.753458
-7.36944,2097,126.559375
-7.243908,2097,128.32474
-7.323143,2097,132.151098
-7.135298,2097,133.941051
-7.197028,2097,137.579488
-7.304686,2097,139.276391
-7.452177,2097,143.080464
-7.446373,2097,144.873516
-7.088028,2097,148.65967
-7.381955,2097,150.455061
-7.339568,2097,154.226811
-7.398205,2097,156.016554
-7.324454,2097,159.784684
-6.998402,2097,161.583434
-7.205098,2097,165.371604
-7.437287,2097,167.170479
-7.332516,2097,170.98693
-7.504507,2097,172.771082
-7.555257,2097,176.568431
-7.130771,2097,178.35202
-7.468978,2097,182.141922
-7.559475,2097,183.933012
-7.35664,2097,187.737792
-7.470324,2097,189.504942
-7.380552,2097,193.330399
-7.241101,2097,195.113942
-7.269874,2097,198.954045
-7.137954,2097,200.771895
-7.586597,2097,204.358696
-7.257932,2097,206.096378
-7.158553,2097,209.915069
-6.841879,2097,211.70231
-6.755739,2097,215.494964
-7.304619,2097,217.268512
-7.118064,2097,221.194067
-7.077963,2097,223.005898
-7.245584,2097,226.845928
-7.365569,2097,228.634128
-7.456893,2097,232.390264
-7.0766,2097,234.174279
-7.205859,2097,237.984926
-7.406525,2097,239.788028
-7.232882,2097,243.604766
-7.011244,2097,245.38379
-7.341174,2097,249.199424
-7.387463,2097,250.984531
-7.172461,2097,255.009138
-7.430269,2097,257.031945
-7.198358,2097,260.864506
-7.635817,2097,262.646523
-7.30599,2097,266.462942
-7.325125,2097,268.217747
-7.177041,2097,271.898934
-7.287076,2097,273.673613
-7.038113,2097,277.483141
-7.181778,2097,279.270155
-7.207435,2097,283.149653
-7.170795,2097,284.941791
