#{"t_start": 1789475231.2718668, "env_id": "None"}
r,l,t
-75.494664,1678,2.692999
-75.844901,1678,4.273941
-74.116332,1678,5.449719
-76.736131,1678,8.428847
-73.848326,1678,10.132716
-74.106394,1678,11.639664
-74.335753,1678,14.970281
-74.715906,1678,16.469648
-72.432177,1678,17.859729
-73.264897,1678,20.989072
-73.128723,1678,23.045569
-74.434078,1678,24.382331
-74.045087,1678,27.719643
-72.626596,1678,29.152517
-74.666528,1678,30.498849
-72.561673,1678,33.170428
-73.869844,1678,34.599575
-72.578771,1678,35.809024
-71.75454,1678,39.198216
-73.523431,1678,40.965311
-73.184377,1678,42.338018
-71.386878,1678,45.985107
-72.007124,1678,48.01807
-73.213984,1678,49.298477
-73.349061,1678,52.052182
-71.455275,1678,53.993634
-67.796364,1678,55.485056
-70.405265,1678,58.679866
-68.239148,1678,60.441465
-69.436271,1678,61.922453
-67.290522,1678,64.975524
-67.471352,1678,66.659966
-65.120556,1678,67.915099
-65.426339,1678,71.226056
-62.986292,1678,72.958743
-64.806907,1678,74.37593
-61.210111,1678,77.675944
-59.415988,1678,79.24739
-58.058188,1678,80.609793
-56.734606,1678,83.385966
-57.932487,1678,84.902127
-55.828286,1678,86.119763
-55.10619,1678,88.902228
-53.072193,1678,90.34505
-51.491379,1678,91.599176
-49.650776,1678,94.480231
-49.551647,1678,95.99119
-48.457532,1678,97.338432
-45.988031,1678,100.196344
-45.700547,1678,101.698685
-45.636623,1678,102.92751
-42.360662,1678,106.037338
-43.000544,1678,107.793259
-41.457278,1678,109.028822
-40.426604,1678,111.688051
-40.383954,1678,113.164368
-40.030419,1678,114.375387
-38.46172,1678,117.499628
-37.372239,1678,119.107352
-38.207898,1678,120.340099
-37.132838,1678,123.46859
-37.040473,1678,125.150986
-36.501195,1678,126.3771
-35.637386,1678,129.173424
-33.275583,1678,130.578055
-35.674716,1678,131.780126
-34.96739,1678,134.531778
-32.869265,1678,136.030672
-34.49856,1678,137.304115
-34.33779,1678,140.041
-32.803829,1678,141.479725
-31.863278,1678,142.725938
-32.046609,1678,145.50273
-31.702464,1678,147.017184
-31.929417,1678,148.264488
-31.09367,1678,151.107726
-29.861164,1678,152.788877
-29.829048,1678,154.104177
-31.491977,1678,157.00462
-29.929347,1678,158.849449
-27.700289,1678,160.062942
-28.552354,1678,163.087168
-28.234073,1678,164.608588
-27.640545,1678,166.115884
-28.104471,1678,169.941398
-28.237607,1678,171.481307
-26.914707,1678,173.046871
-27.070525,1678,176.026787
-27.816609,1678,177.534612
-26.868549,1678,178.757597
-25.343331,1678,181.403418
-26.201187,1678,182.864727
-26.663244,1678,184.061161
-26.033929,1678,186.711117
-25.774287,1678,188.213687
-25.394934,1678,189.406719
-26.348904,1678,192.036932
-23.768425,1678,193.467912
-22.94161,1678,194.685289
-24.421703,1678,197.381215
-23.037545,1678,198.877462
-22.930134,1678,200.105969
-22.669108,1678,202.95726
-21.393269,1678,205.512709
-21.803504,1678,206.969599
-21.152526,1678,209.840587
-22.123462,1678,211.477522
-22.555921,1678,212.706981
-20.081732,1678,216.4799
-20.318313,1678,218.414899
-20.177461,1678,219.68287
-18.702517,1678,222.749721
-19.807592,1678,224.420239
-18.543541,1678,225.740231
-20.036799,1678,228.84448
-19.028739,1678,230.457609
-18.879855,1678,231.763093
-17.497037,1678,234.945811
-17.755917,1678,236.890965
-16.509576,1678,238.248498
-17.428662,1678,241.248346
-18.348746,1678,242.900024
-16.102104,1678,244.250964
-17.681987,1678,247.117533
-17.18901,1678,249.150357
-17.327821,1678,250.542686
-16.731755,1678,253.369407
-16.072721,1678,254.981054
-16.496236,1678,256.216372
-16.950458,1678,259.161926
-16.930118,1678,261.277497
-16.795526,1678,262.581863
-16.275055,1678,268.018642
-16.089233,1678,269.917674
-16.643897,1678,271.296365
-15.845333,1678,274.221609
-16.193706,1678,275.860801
-15.373181,1678,277.103146
-15.293551,1678,280.245978
-15.957486,1678,281.882581
-15.374988,1678,283.202387
-14.369703,1678,286.103699
-14.606239,1678,287.710078
-16.273377,1678,288.948825
-15.930997,1678,291.869337
-15.830812,1678,293.411989
-14.919996,1678,294.84464
-14.989322,1678,297.690592
-14.514679,1678,299.342577
-14.986466,1678,300.572322
-14.666353,1678,303.337348
-14.462564,1678,304.89403
-13.841799,1678,306.107475
-13.584559,1678,308.816488
-13.86865,1678,310.259147
-13.276324,1678,311.44177
