iter,val_sharpe,val_net,val_mdd,turn_mean,equity_mean,equity_min,equity_max,act_std,act_sat
0,0.4619,1.1383773255420233,-0.1635,0.0011464068599418694,0.8367653062349287,0.8352020978927612,0.8381887674331665,0.013340534642338753,0.0
1,0.4726,1.140946953080392,-0.1622,0.0018477218318952865,0.8353498583761775,0.8325228691101074,0.8377034664154053,0.025196488946676254,0.0
2,0.4769,1.14215829203655,-0.1622,0.0026669511149208414,0.8352973540813655,0.8299400210380554,0.840236246585846,0.03331107646226883,0.0
3,0.4797,1.1430530006353585,-0.1619,0.003375028120020409,0.8356553050100377,0.8285380005836487,0.8407956957817078,0.043640781193971634,0.0
4,0.4835,1.1444427962754018,-0.1617,0.0034961971078681492,0.8365309362195272,0.8305537700653076,0.8414270877838135,0.04583873972296715,0.0
5,0.4814,1.1433174464215132,-0.161,0.003653113483529102,0.8336985619085217,0.8278019428253174,0.8394513726234436,0.049590546637773514,0.0
6,0.4707,1.14153420304633,-0.163,0.004217962483233085,0.834276808190175,0.8287523984909058,0.8399212956428528,0.05778050422668457,0.0
7,0.4695,1.1408695110424856,-0.1632,0.005058445160883992,0.8376233428361023,0.830245852470398,0.8435562252998352,0.07433563470840454,0.0
8,0.4683,1.1403547247956294,-0.1625,0.005302273715026055,0.836725810262639,0.8305141925811768,0.8425347805023193,0.08114069700241089,0.0
9,0.4619,1.138526373253608,-0.163,0.006301855379471062,0.8368770140167637,0.8289802074432373,0.8454226851463318,0.10085190087556839,0.0
10,0.4594,1.137502056393152,-0.1629,0.0068635187314063095,0.83339433325788,0.8271936178207397,0.843110978603363,0.1013839989900589,0.0
11,0.4619,1.1377642528325456,-0.162,0.006353288070967772,0.833464204127009,0.8281049728393555,0.8429325222969055,0.09590478241443634,0.0
12,0.4575,1.136485329977515,-0.1623,0.006662524009661344,0.8330572826481093,0.8263025283813477,0.8427004814147949,0.10853583365678787,0.0
13,0.4466,1.1334079635121244,-0.1629,0.007536267394951249,0.8340785169089324,0.8280917406082153,0.8433336615562439,0.12222711741924286,0.0
14,0.4441,1.1324649764207106,-0.1629,0.00785779576028446,0.8345508044830086,0.8300299644470215,0.8417894840240479,0.12947064638137817,0.0
15,0.4499,1.133516568666464,-0.1625,0.008952914423760481,0.8365308249764909,0.8306205868721008,0.8419300317764282,0.13683287799358368,0.0
16,0.4496,1.133266268446941,-0.1625,0.009502422162342754,0.8386859129892045,0.8331204056739807,0.8451460003852844,0.14341726899147034,0.0
17,0.4551,1.135107083929714,-0.1617,0.011332632889326547,0.8377713033293768,0.8306345343589783,0.845308780670166,0.18320873379707336,0.0
18,0.4553,1.134547875783261,-0.1602,0.010824904485932398,0.8354634855982797,0.8288175463676453,0.8428319096565247,0.18971799314022064,0.0
19,0.464,1.136390792687868,-0.1589,0.010658786412070645,0.8338964298403064,0.8267672061920166,0.8442131876945496,0.18400870263576508,0.0
20,0.4689,1.1374944228132604,-0.1583,0.011174465065070723,0.8340595513937866,0.8285231590270996,0.8425751328468323,0.19527208805084229,0.0
21,0.4753,1.1383942728531207,-0.1574,0.012468296616629371,0.8353459539163084,0.8279365301132202,0.8470437526702881,0.20547011494636536,0.0
22,0.4795,1.1394645629428293,-0.1573,0.014563941176722897,0.834040217581683,0.825590968132019,0.8487132787704468,0.22967247664928436,0.0
23,0.4945,1.1423000631299427,-0.1546,0.015096774515929256,0.8312264622538073,0.8247892260551453,0.8445448279380798,0.21930699050426483,0.0
24,0.5009,1.1444779101139868,-0.1539,0.014280164761019778,0.8327846103181133,0.8256914615631104,0.8424811959266663,0.19727762043476105,0.0
25,0.5062,1.1468337839052427,-0.1545,0.014266993983833205,0.8336540898730476,0.8238481879234314,0.8463988304138184,0.1896439790725708,0.0
26,0.5096,1.1479924507657104,-0.1541,0.016831611338691665,0.8323962911785645,0.8217746019363403,0.8484621047973633,0.22335267066955566,0.0
27,0.5028,1.1458648052118203,-0.1544,0.01736751415706762,0.8298580615218898,0.8188362717628479,0.8482732772827148,0.22716209292411804,0.0
28,0.5087,1.1474078288744851,-0.1537,0.0163757320946896,0.8293976439496498,0.8187234997749329,0.8475179672241211,0.22325024008750916,0.0
29,0.5059,1.1468183284736932,-0.1542,0.01675134136170362,0.829649912002263,0.8156536221504211,0.8491490483283997,0.23471872508525848,0.0
30,0.4977,1.1453453334201575,-0.1545,0.01787306035831037,0.830050188061161,0.8187783360481262,0.8465171456336975,0.2513202428817749,0.0
