date,bond10_rsi14,bond10_macd_bar,consume_obv,gold_rsi14,gold_macd_dif,consume_rsi14,gold_macd_bar,zz500_pb_quantile,zz500_macd_dea,gold_obv,bond10_std20,gold_ma5,kc50_pb_p50,hs300_atr14,hs300_ma20_amt,ma20_streak,consume_std20,consume_ma20_amt,zz500_pb,bond10_macd_dif,kc50_rsi14,consume_ma20_vol,kc50_pb,hs300_macd_dea,gold_ma20_vol,hs300_pe,pmi_生产经营活动预期指数,pmi_制造业采购经理指数,bond_10y_2y_spread,margin_5d_chg,north_net,hs300_ma5,zz500_ma5,north_20d_sum,margin_total,m1_m2_spread,yield_10y,社融存量增速(近似),hs300_pe_quantile,score_valuation,score_macro,score_sentiment,score_trend,score_total
2015-01-05,55.297398538749064,0.010366770577580751,644879349.0,51.91328889492806,0.00285584496998285,72.37337672909146,0.0003662782504399,0.15420207323041324,0.0166982095634367,25301109924.0,0.3080434337736814,3.4196000000000004,5.9667,0.1172010645261324,5703255696.942532,0.0,0.0192694663435794,1936755.9045999865,2.92,0.10732931516229621,40.13248521785561,1708413.3,5.8508,0.1719599300852084,341136971.35,13.24,47.4,49.8,0.318,3.011083402001047,,3.5438000000038405,1.4973999999993004,,1037927132359.0,-9.0,3.6251,,,13.0,12.0,14.0,12.0,51.0
2015-01-06,55.297398538749064,0.010366770577580751,646748913.0,51.91328889492806,0.00285584496998285,73.46488811665456,0.0003662782504399,0.15420207323041324,0.015618355547746,25301109924.0,0.3080434337736814,3.4196000000000004,5.9667,0.1156867027742658,5703255696.942532,-1.0,0.0235661268158074,1601015.3559999862,2.95,0.10732931516229621,40.13248521785561,1400031.95,5.8508,0.1744045718400468,341136971.35,13.24,47.4,49.8,0.3452,3.2100818408485,,3.577000000003841,1.5007999999993005,,1045994364434.0,-9.0,3.6353,,,13.0,12.0,14.0,7.0,46.0
2015-01-07,55.297398538749064,0.010366770577580751,645609470.0,51.91328889492806,0.00285584496998285,68.86071820874575,0.0003662782504399,0.15420207323041324,0.015063762632158,25301109924.0,0.3080434337736814,3.4196000000000004,5.9667,0.1120662240046754,5703255696.942532,-2.0,0.0255764018783569,1517753.4435499862,2.96,0.10732931516229621,40.13248521785561,1321996.4,5.8508,0.1765819963173521,341136971.35,13.24,47.4,49.8,0.3886,3.2092581572419787,,3.61340000000384,1.5089999999993002,,1057801770588.0,-9.0,3.6408,,,13.0,12.0,14.0,9.0,48.0
2015-01-08,55.297398538749064,0.010366770577580751,644784766.0,51.91328889492806,0.00285584496998285,68.44078665255262,0.0003662782504399,0.15420207323041324,0.0146097706896858,25301109924.0,0.3080434337736814,3.4196000000000004,5.9667,0.1120614937186271,5703255696.942532,-3.0,0.0252341501337494,1375956.2223499862,2.93,0.10732931516229621,40.13248521785561,1189566.1,5.8508,0.1767989706280092,341136971.35,13.24,47.4,49.8,0.39,3.133976644380354,,3.63380000000384,1.5195999999993002,,1060898071626.0,-9.0,3.6415,,,13.0,12.0,12.5,9.0,46.5
2015-01-09,55.297398538749064,0.010366770577580751,644389166.0,51.91328889492806,0.00285584496998285,62.30325631711556,0.0003662782504399,0.15420207323041324,0.0140816985457187,25301109924.0,0.3080434337736814,3.4196000000000004,5.9667,0.1171285298815823,5703255696.942532,-4.0,0.0255646696231007,1296639.618649986,2.91,0.10732931516229621,40.13248521785561,1118757.2,5.8508,0.1749580231709137,341136971.35,13.24,47.4,49.8,0.3772,4.124257048991442,,3.63020000000384,1.5247999999993005,,1067956909894.0,-9.0,3.6348,,,13.0,15.0,12.5,9.0,49.5
2015-01-12,55.297398538749064,0.010366770577580751,641369034.0,51.91328889492806,0.00285584496998285,59.25142269682214,0.0003662782504399,0.15420207323041324,0.0131517845905935,25301109924.0,0.3080434337736814,3.4196000000000004,5.9667,0.1154050634614693,5703255696.942532,-5.0,0.0256933811110254,1385653.971749986,2.87,0.10732931516229621,40.13248521785561,1192868.55,5.8508,0.1713494524254088,341136971.35,13.24,47.4,49.8,0.3827,3.958789746310232,,3.6016000000038404,1.5207999999993005,,1079016485249.0,-9.0,3.6371,,,13.0,15.0,12.5,3.0,43.5
2015-01-13,55.297398538749064,0.010366770577580751,640682734.0,51.91328889492806,0.00285584496998285,58.480193258743405,0.0003662782504399,0.15420207323041324,0.0123238187569698,25301109924.0,0.3080434337736814,3.4196000000000004,5.9667,0.1117332732142215,5703255696.942532,-6.0,0.0258540099965695,1363178.495699986,2.91,0.10732931516229621,40.13248521785561,1172805.0,5.8508,0.1663199159144534,341136971.35,13.24,47.4,49.8,0.3516,3.734604241308492,,3.5766000000038405,1.5163999999993003,,1085058114332.0,-9.0,3.5836,,,13.0,15.0,12.5,3.0,43.5
2015-01-14,55.297398538749064,0.010366770577580751,640115813.0,51.91328889492806,0.00285584496998285,53.94330290173237,0.0003662782504399,0.15420207323041324,0.0114793403964613,25301109924.0,0.3080434337736814,3.4196000000000004,5.9667,0.1096808965560628,5703255696.942532,-7.0,0.0258288565930855,1340751.039799986,2.89,0.10732931516229621,40.13248521785561,1153585.3,5.8508,0.1601566901461501,341136971.35,13.24,47.4,49.8,0.3215,3.7689545968370375,,3.5502000000038407,1.5105999999993005,,1097669839046.0,-9.0,3.5411,,,13.0,15.0,12.5,3.0,43.5
2015-01-15,55.297398538749064,0.010366770577580751,640634248.0,51.91328889492806,0.00285584496998285,56.94118788378715,0.0003662782504399,0.15420207323041324,0.0110414779151595,25301109924.0,0.3080434337736814,3.4196000000000004,5.9667,0.1112751182306297,5703255696.942532,1.0,0.0259085378378076,1318987.452049986,2.92,0.10732931516229621,40.13248521785561,1134277.25,5.8508,0.154836388495805,341136971.35,13.24,47.4,49.8,0.3374,4.929724304413408,,3.559800000003841,1.5125999999993005,,1113197421708.0,-9.0,3.5464,,,13.0,13.0,12.5,6.5,45.0
2015-01-16,55.297398538749064,0.010366770577580751,641499048.0,51.91328889492806,0.00285584496998285,58.39925648288982,0.0003662782504399,0.15420207323041324,0.011079623926021,25301109924.0,0.3080434337736814,3.4196000000000004,5.9667,0.1072554669284419,5703255696.942532,2.0,0.0252549467007968,1293755.0132499863,2.96,0.10732931516229621,40.13248521785561,1110221.4,5.8508,0.1504809522173133,341136971.35,13.24,47.4,49.8,0.2929,4.723706799556848,,3.58100000000384,1.518999999999301,,1118404063063.0,-9.0,3.5017,,,13.0,12.0,12.5,7.5,45.0
