date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合,PPO月度,PPO原生日频
2015-01-05,999990.0793650793,999982.1428571428,999998.0158730159,999998.0158730159,999982.1428571428,999982.1428571428,999982.1428571428,999998.0158730159,999998.0158730159
2015-01-06,993201.4842124911,1005704.2578406723,999996.0317499684,999996.0317499684,1005704.2578406723,1005704.2578406723,1005704.2578406723,999996.0317499684,1002343.3811838116
2015-01-07,992920.4867468294,1004520.6263072011,999994.0476308578,999994.0476308578,1004520.6263072011,1004520.6263072011,1004520.6263072011,999994.0476308578,1001857.4076598199
2015-01-08,971219.3094910663,995080.9302494553,999992.0635156839,999992.0635156839,995080.9302494553,995080.9302494553,995080.9302494553,999992.0635156839,995780.4872036794
2015-01-09,964160.0646505697,989644.1261832194,999990.0794044466,999990.0794044466,989644.1261832194,989644.1261832194,989644.1261832194,999990.0794044466,992586.6815789534
2015-01-12,961168.002182724,985516.9198834087,999988.0952971461,999988.0952971461,985516.9198834087,985516.9198834087,985516.9198834087,999988.0952971461,990168.2937290845
2015-01-13,959260.5327900294,989360.5614618642,999986.1111937824,999986.1111937824,989360.5614618642,989360.5614618642,989360.5614618642,999986.1111937824,992152.4410121641
2015-01-14,957081.9704537651,984763.9276988294,999984.1270943554,999984.1270943554,984763.9276988294,984763.9276988294,984763.9276988294,999984.1270943554,989666.8091953906
2015-01-15,984185.2792885212,997530.5094263181,999982.1429988651,999982.1429988651,997530.5094263181,997530.5094263181,997530.5094263181,999982.1429988651,997987.8536730588
2015-01-16,992851.5290270024,1008729.446252272,999980.1589073115,999980.1589073115,1008729.446252272,1008729.446252272,1008729.446252272,999980.1589073115,1004278.9355896964
2015-01-19,893610.750957764,966949.0250439008,999978.1748196946,999978.1748196946,966949.0250439008,966949.0250439008,966949.0250439008,999978.1748196946,977694.6493206013
2015-01-20,916918.1857057135,987827.2340722517,999976.1907360144,999976.1907360144,987827.2340722517,987827.2340722517,987827.2340722517,999976.1907360144,989771.3146341235
2015-01-21,958932.2468304413,1015641.3785333807,999974.2066562709,999974.2066562709,1015641.3785333807,1015641.3785333807,1015641.3785333807,999974.2066562709,1006454.2951962798
2015-01-22,960549.4210553193,1018765.9366982965,999972.222580464,999972.222580464,1018765.9366982965,1018765.9366982965,1018765.9366982965,999972.222580464,1007749.9621488593
2015-01-23,965148.7939001686,1017193.8980176348,999970.2385085938,999970.2385085938,1017193.8980176348,1017193.8980176348,1017193.8980176348,999970.2385085938,1007437.396659228
2015-01-26,974356.9322115103,1030037.7518610042,999968.2544406601,999968.2544406601,1030037.7518610042,1030037.7518610042,1030037.7518610042,999968.2544406601,1014425.3334759523
2015-01-27,964587.4302571301,1025888.2614419094,999966.2703766632,999966.2703766632,1025888.2614419094,1025888.2614419094,1025888.2614419094,999966.2703766632,1011749.0364196874
2015-01-28,949124.9425774483,1018378.2377192759,999964.286316603,999964.286316603,1018378.2377192759,1018378.2377192759,1018378.2377192759,999964.286316603,1007205.4987943253
2015-01-29,939084.7860454688,1010010.2337944496,999962.3022604792,999962.3022604792,1010010.2337944496,1010010.2337944496,1010010.2337944496,999962.3022604792,1002380.9612103018
2015-01-30,927418.2394163815,998579.1082062377,999960.3182082921,999960.3182082921,998579.1082062377,998579.1082062377,998579.1082062377,999960.3182082921,995640.6646557939
2015-02-02,906534.673321199,993151.0235670264,998526.923368498,1005884.4392708961,998587.3384557915,1010059.276939292,1010059.276939292,995757.3388339671,991928.595161491
