date,score_valuation,score_macro,score_sentiment,score_trend,score_total,market_state,m1_m2_spread,bond_10y_2y_spread,ma20_slope,ma20_streak,macd_signal
2015-01-05,13.0,12.0,14.0,12.0,51.0,震荡,,0.318,,0.0,0.0
2015-01-06,13.0,12.0,14.0,7.0,46.0,震荡,,0.3452,,-1.0,-1.0
2015-01-07,13.0,12.0,14.0,9.0,48.0,震荡,,0.3886,,-2.0,-0.5
2015-01-08,13.0,12.0,12.5,9.0,46.5,震荡,,0.39,,-3.0,-0.5
2015-01-09,13.0,15.0,12.5,9.0,49.5,震荡,,0.3772,,-4.0,-0.5
2015-01-12,13.0,15.0,12.5,3.0,43.5,震荡,,0.3827,-1.95227765726682,-5.0,-0.5
2015-01-13,13.0,15.0,12.5,3.0,43.5,震荡,,0.3516,-1.92199312046952,-6.0,-0.5
2015-01-14,13.0,15.0,12.5,3.0,43.5,震荡,,0.3215,-2.05666031054208,-7.0,-0.5
2015-01-15,13.0,13.0,12.5,6.5,45.0,震荡,-9.0,0.3374,-1.35434509535228,1.0,-0.5
2015-01-16,13.0,12.0,12.5,7.5,45.0,震荡,-9.0,0.2929,-0.677648614401409,2.0,-0.5
2015-01-19,13.0,12.0,8.0,5.5,38.5,下行,-9.0,0.2724,-1.06596942880129,-1.0,-0.5
2015-01-20,13.0,12.0,8.0,5.5,38.5,下行,-9.0,0.2775,-1.2119891152149,-2.0,-0.5
2015-01-21,13.0,12.0,7.0,5.5,37.5,下行,-9.0,0.2763,-1.006600130505,-3.0,-0.5
2015-01-22,13.0,12.0,7.0,5.5,37.5,下行,-9.0,0.2712,-1.14439181859073,-4.0,-0.5
2015-01-23,13.0,12.0,7.0,6.5,38.5,下行,-9.0,0.2779,-1.31277272391094,1.0,-0.5
2015-01-26,13.0,12.0,9.5,15.0,49.5,震荡,-9.0,0.2911,-0.473927627566572,2.0,1.0
2015-01-27,13.0,13.0,9.5,11.0,46.5,震荡,-9.0,0.3068,-0.0228499693039635,-1.0,0.5
2015-01-28,13.0,13.0,9.5,11.0,46.5,震荡,-9.0,0.3434,-0.0632745732268206,-2.0,0.5
2015-01-29,13.0,13.0,9.5,5.0,40.5,下行,-9.0,0.3561,-0.16820466873612,-3.0,-1.0
2015-01-30,13.0,13.0,8.0,7.0,41.0,下行,-9.0,0.3466,-0.355978566343186,-4.0,-0.5
2015-02-02,13.0,13.0,8.0,4.5,38.5,下行,-9.0,0.3312,-0.901558769835691,-5.0,-0.5
2015-02-03,13.0,13.0,7.0,4.5,37.5,下行,-9.0,0.3101,-1.23451078875193,-6.0,-0.5
2015-02-04,13.0,13.0,7.0,3.0,36.0,下行,-9.0,0.3301,-1.53372795851749,-7.0,-0.5
2015-02-05,13.0,13.0,7.0,3.0,36.0,下行,-9.0,0.3198,-1.7329718036479,-8.0,-0.5
2015-02-06,13.0,13.0,8.0,3.0,37.0,下行,-9.0,0.3259,-1.92069043321297,-9.0,-0.5
2015-02-09,13.0,13.0,8.0,3.0,37.0,下行,-9.0,0.3089,-1.74441673279673,-10.0,-0.5
2015-02-10,13.0,10.0,9.5,3.0,35.5,下行,-9.0,0.3197,-1.60675691047661,-11.0,-0.5
2015-02-11,13.0,9.0,9.5,4.5,36.0,下行,-9.0,0.2918,-1.3718772305496,-12.0,-0.5
2015-02-12,13.0,9.0,9.5,10.5,42.0,震荡,-9.0,0.2918,-1.31496017876582,-13.0,1.0
2015-02-13,13.0,9.0,8.5,10.5,41.0,下行,-9.0,0.2692,-1.23795830337885,1.0,0.5
2015-02-16,13.0,9.0,11.0,11.5,44.5,震荡,-9.0,0.2847,-0.660541990567817,2.0,0.5
2015-02-17,13.0,9.0,9.5,13.0,44.5,震荡,-9.0,0.2629,-0.265903638833488,3.0,0.5
2015-02-25,13.0,9.0,10.5,13.0,45.5,震荡,-9.0,0.2966,-0.215663853869645,4.0,0.5
2015-02-26,13.0,10.0,8.5,15.0,46.5,震荡,-9.0,0.3069,0.1001538595523802,5.0,0.5
2015-02-27,13.0,9.0,12.0,17.0,51.0,震荡,-9.0,0.2959,0.3974435499133694,6.0,0.5
2015-03-02,13.0,9.0,13.5,17.0,52.5,震荡,-9.0,0.2924,0.1103384195473357,7.0,0.5
2015-03-03,13.0,10.0,15.0,15.0,53.0,震荡,-9.0,0.3179,-0.185469614860771,8.0,0.5
2015-03-04,13.0,9.0,15.0,15.0,52.0,震荡,-9.0,0.2941,-0.0536698578474201,9.0,0.5
2015-03-05,13.0,10.0,15.0,15.0,53.0,震荡,-9.0,0.31,-0.0522019053695659,10.0,0.5
2015-03-06,13.0,10.0,15.0,17.0,55.0,震荡,-9.0,0.311,0.0145007395377212,11.0,0.5
2015-03-09,13.0,10.0,15.0,17.0,55.0,震荡,-9.0,0.3194,0.3001957798564111,12.0,0.5
2015-03-10,13.0,12.0,15.0,19.0,59.0,震荡偏强,-9.0,0.3391,0.5255059083122843,13.0,0.5
2015-03-11,13.0,12.0,17.0,19.0,61.0,震荡偏强,-9.0,0.3089,0.6893749183635142,14.0,0.5
2015-03-12,13.0,12.0,15.0,19.0,59.0,震荡偏强,-9.0,0.3124,0.9938050401149076,15.0,0.5
2015-03-13,13.0,12.0,17.0,21.0,63.0,震荡偏强,-9.0,0.3277,1.3686713448935708,16.0,0.5
2015-03-16,13.0,12.0,17.0,23.0,65.0,震荡偏强,-9.0,0.3651,1.6034816806917225,17.0,0.5
2015-03-17,13.0,12.0,15.5,23.0,63.5,震荡偏强,-9.0,0.3753,1.961067467652491,18.0,0.5
2015-03-18,13.0,12.0,13.5,23.0,61.5,震荡偏强,-9.0,0.3832,2.363861742915617,19.0,0.5
2015-03-19,13.0,12.0,13.5,23.0,61.5,震荡偏强,-9.0,0.3719,2.5627765327817027,20.0,0.5
2015-03-20,13.0,12.0,15.0,23.0,63.0,震荡偏强,-9.0,0.3369,2.7032438926712063,21.0,0.5
2015-03-23,13.0,12.0,15.0,23.0,63.0,震荡偏强,-9.0,0.3188,2.8375859173770093,22.0,0.5
2015-03-24,13.0,12.0,15.0,23.0,63.0,震荡偏强,-9.0,0.3107,2.950174206158122,23.0,0.5
2015-03-25,13.0,12.0,15.0,23.0,63.0,震荡偏强,-9.0,0.3262,2.9921991607761464,24.0,0.5
2015-03-26,13.0,12.0,17.0,23.0,65.0,震荡偏强,-9.0,0.3511,2.942741890301986,25.0,0.5
2015-03-27,13.0,12.0,17.0,23.0,65.0,震荡偏强,-9.0,0.3528,2.899479152159995,26.0,0.5
2015-03-30,13.0,12.0,15.0,23.0,63.0,震荡偏强,-9.0,0.3549,2.9225766276897507,27.0,0.5
2015-03-31,13.0,12.0,17.0,26.0,68.0,震荡偏强,-9.0,0.3832,3.067864463674032,28.0,0.5
2015-04-01,13.0,12.0,17.0,26.0,68.0,震荡偏强,-9.0,0.3445,3.21972027398384,29.0,0.5
2015-04-02,13.0,12.0,16.0,26.0,67.0,震荡偏强,-9.0,0.3262,3.5430017551736768,30.0,0.5
2015-04-03,13.0,12.0,16.0,28.0,69.0,震荡偏强,-9.0,0.3539,3.9302728453876017,31.0,0.5
2015-04-07,13.0,12.0,16.0,28.0,69.0,震荡偏强,-9.0,0.3705,4.18274466568967,32.0,0.5
2015-04-08,11.5,12.0,16.0,28.0,67.5,震荡偏强,-9.0,0.4527,4.436791735073877,33.0,0.5
2015-04-09,11.5,13.0,16.0,28.0,68.5,震荡偏强,-9.0,0.5049,4.588201011947313,34.0,0.5
2015-04-10,11.5,12.0,16.0,28.0,67.5,震荡偏强,-9.0,0.4862,4.7502660937438455,35.0,0.5
