date,hs300_pe,hs300_pb,zz500_pe,zz500_pb,hs300_erp,hs300_pe_quantile,hs300_pb_quantile,zz500_pe_quantile,zz500_pb_quantile,kc50_pe_quantile,kc50_pe_p80,kc50_pe_p50,kc50_pe_p20,kc50_pb,kc50_pb_quantile,kc50_pb_p80,kc50_pb_p50,kc50_pb_p20,kc50_ps,kc50_ps_quantile,kc50_ps_p80,kc50_ps_p50,kc50_ps_p20,kc50_div_yield,kc50_div_quantile,kc50_div_p80,kc50_div_p50,kc50_div_p20
2015-01-05,13.24,1.96,31.82,2.92,3.9277700906344406,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,13.25,1.95,32.16,2.95,3.911869811320755,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,13.31,1.96,32.21,2.96,3.8723480090157767,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,12.95,1.91,32.02,2.93,4.080507722007722,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,12.95,1.91,31.82,2.91,4.087207722007722,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,12.77,1.88,31.37,2.87,4.193753563038372,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,12.77,1.88,31.8,2.91,4.247253563038372,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,12.75,1.88,31.64,2.89,4.30203725490196,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,13.24,1.95,32.07,2.92,4.006470090634441,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,13.39,1.97,32.51,2.96,3.966559895444361,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,12.27,1.81,31.2,2.83,4.674959250203749,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,12.43,1.83,32.31,2.94,4.573952292839904,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,13.08,1.93,33.14,3.01,4.17805993883792,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,13.11,1.93,33.55,3.05,4.175665064836004,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,13.14,1.94,33.18,3.02,4.158350076103501,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,13.16,1.94,33.93,3.09,4.164684194528875,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,13.1,1.93,34.1,3.1,4.202687786259542,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,12.86,1.9,33.88,3.08,4.299349766718507,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,12.66,1.87,33.66,3.06,4.402294154818326,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,12.46,1.84,33.3,3.03,4.523782182985554,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,12.09,1.78,33.17,3.01,4.798398593879239,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,12.42,1.83,33.78,3.06,4.598229790660225,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,12.27,1.81,33.66,3.05,4.6910592502037485,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,12.12,1.79,33.52,3.03,4.84902508250825,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,11.89,1.75,32.83,2.97,4.9779289318755255,,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,12.0,1.77,32.65,2.95,4.909733333333332,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,12.21,1.8,33.11,2.99,4.760108190008189,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,12.29,1.81,33.52,3.02,4.7411965012205055,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,12.33,1.81,33.77,3.04,4.7238000811030005,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,12.44,1.83,34.24,3.09,4.683385209003216,,,,,,,,,,,,,,,,,,,,,,,
2015-02-16,12.5,1.83,34.84,3.14,4.662599999999999,,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,12.6,1.84,35.35,3.17,4.599207936507936,,,,,,,,,,,,,,,,,,,,,,,
2015-02-25,12.49,1.83,35.31,3.17,4.657405124099279,,,,,,,,,,,,,,,,,,,,,,,
2015-02-26,12.79,1.87,35.66,3.2,4.4592082877247865,,,,,,,,,,,,,,,,,,,,,,,
2015-02-27,12.81,1.87,35.87,3.22,4.4319012490242,,,,,,,,,,,,,,,,,,,,,,,
2015-03-02,12.91,1.88,36.7,3.29,4.357633384972889,,,,,,,,,,,,,,,,,,,,,,,
2015-03-03,12.54,1.83,36.59,3.27,4.5722816586921855,,,,,,,,,,,,,,,,,,,,,,,
2015-03-04,12.59,1.84,37.15,3.33,4.555911755361398,,,,,,,,,,,,,,,,,,,,,,,
2015-03-05,12.42,1.81,37.21,3.33,4.614629790660226,,,,,,,,,,,,,,,,,,,,,,,
2015-03-06,12.39,1.81,36.74,3.28,4.595725020177562,,,,,,,,,,,,,,,,,,,,,,,
2015-03-09,12.66,1.85,37.17,3.32,4.406694154818325,,,,,,,,,,,,,,,,,,,,,,,
