日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB中位数,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-07-17,=18079.7400,=19705.4225,=6510062389541.6992,=5369269509169,=3456322512483.7627,=11.7156,=0.9863,=6.6449,=5.6191,=4.9324
2026-07-16,=19471.2900,=21222.0959,=7006303752404.8398,=5760752266150,=3721254672540.5679,=12.7629,=0.9881,=6.6447,=5.6188,=4.9324
2026-07-15,=20652.3100,=22509.3087,=7341985600558.0420,=6074368240737,=3946145220509.2920,=14.3530,=0.9910,=6.6445,=5.6181,=4.9324
2026-07-14,=21802.2700,=23762.6735,=7743929078724.0498,=6408449572323,=4163695236221.4570,=15.1534,=0.9940,=6.6445,=5.6173,=4.9319
2026-07-13,=21414.6800,=23340.2290,=7680007024230.9102,=6330033720194,=4089730265708.4790,=14.5589,=0.9922,=6.6332,=5.6158,=4.9319
2026-07-10,=22325.1000,=24332.5120,=7905017170874.5098,=6552825414319,=4258726393463.6860,=15.3496,=0.9964,=6.6320,=5.6144,=4.9319
2026-07-09,=23874.9100,=26021.6764,=8445308895075.4600,=7017610585574,=4556323934130.6572,=16.5942,=0.9994,=6.6273,=5.6141,=4.9319
2026-07-08,=21833.9100,=23797.1618,=7720250997443.9102,=6454356996008,=4165628696289.3481,=14.8544,=0.9946,=6.6217,=5.6139,=4.9319
2026-07-07,=22004.1900,=23982.7471,=7707970697901.9219,=6486291468681,=4194675992739.2559,=14.9752,=0.9952,=6.6217,=5.6139,=4.9305
2026-07-06,=22108.0300,=24095.9260,=7689466983259.8398,=6474827677709,=4212857932380.5322,=15.2293,=0.9970,=6.6208,=5.6139,=4.9305
2026-07-03,=21934.4800,=23906.7732,=7588797104537.0898,=6407279033899,=4179559955483.6362,=15.4639,=0.9976,=6.6208,=5.6137,=4.9305
2026-07-02,=22163,=24154.0544,=7689677259371.6602,=6481108816708,=4223814944443.5010,=15.5301,=0.9982,=6.6208,=5.6136,=4.9305
2026-07-01,=24286.8800,=26468.7335,=8374565670129.8584,=7073819298636,=4629504833051.8701,=16.6541,=1,=6.6208,=5.6133,=4.9305
2026-06-30,=24861.0500,=27094.4863,=8594577350429.4102,=7259134682014,=4740485755237.6699,=16.4063,=1,=6.6208,=5.6131,=4.9293
2026-06-29,=24226.2400,=26401.4791,=8317270539154.3066,=7042277622283,=4612937682979.6172,=16.0430,=1,=6.6208,=5.6103,=4.9293
2026-06-26,=23056.2800,=25126.4794,=7975446344941.8496,=6731875658981,=4391409403915.0981,=15.1860,=1,=6.6208,=5.6075,=4.9293
2026-06-25,=23318.2800,=25411.9976,=8109819228309.9102,=6815583321493,=4445451308105.1914,=15.1587,=1,=6.6169,=5.6069,=4.9293
2026-06-24,=22111.0400,=24096.2257,=7731537915601.1406,=6485149641658,=4217543435967.8242,=14.5884,=1,=6.6163,=5.6063,=4.9293
2026-06-23,=20987.7000,=22872.0271,=7351703089873.8301,=6181423819870,=4006327887522.9199,=14.3263,=1,=6.6163,=5.6063,=4.9274
2026-06-22,=21473.8000,=23400.1399,=7419647373760.5918,=6299373604509,=4100907742994.6001,=14.1461,=1,=6.6140,=5.6062,=4.9274
2026-06-18,=20721.2800,=22580.1100,=7223521390241.2510,=6136192314884,=3963868978848.7817,=13.7251,=1,=6.6095,=5.6062,=4.9274
2026-06-17,=19831.5600,=21610.5728,=6874624115723.9014,=5837467914032,=3786788763638.4058,=13.2698,=1,=6.6093,=5.6062,=4.9274
2026-06-16,=18702.0700,=20379.7648,=6522011346398.1104,=5524676282930,=3575593082724.0649,=12.3568,=0.9994,=6.6084,=5.6059,=4.9274
2026-06-15,=18523.8300,=20185.0628,=6497228933413.8496,=5503901840600,=3545012756773.1201,=12.4682,=1,=6.6084,=5.6055,=4.9270
2026-06-12,=17477.3200,=19044.7058,=5622563499032.6904,=4781387496112,=3005383698087.8232,=6.2449,=0.7177,=6.6051,=5.6054,=4.9270
2026-06-11,=17610.2200,=19189.5218,=5657421531164.6709,=4798943901601,=3023419945672.6694,=6.5980,=0.7988,=6.6051,=5.6052,=4.9270
2026-06-10,=17521.2800,=19092.5987,=5614843172758.0605,=4767595105111,=3006682257488.3125,=6.5576,=0.7902,=6.6051,=5.6038,=4.9270
2026-06-09,=17751.2800,=19342.5694,=5672365442909.5918,=4810844993692,=3044769429433.6211,=6.5517,=0.7894,=6.6051,=5.6024,=4.9270
2026-06-08,=16880.2100,=18393.4150,=5411600545789.3594,=4589627876999,=2899724630856.6235,=6.3018,=0.7347,=6.6084,=5.6018,=4.9267
2026-06-05,=17641.1900,=19222.6094,=5654057440097.4893,=4794619069313,=3029381495919.9946,=6.6721,=0.8153,=6.6084,=5.6011,=4.9267
2026-06-04,=18583.1500,=20249.0069,=5944838944540.9697,=5035970565019,=3190803273489.2876,=7.0802,=0.8723,=6.6051,=5.6010,=4.9267
2026-06-03,=18238.2700,=19872.2410,=5864396924721.3594,=4965154445889,=3136942142833.6299,=7.0137,=0.8650,=6.5981,=5.6009,=4.9267
2026-06-02,=17629.9700,=19209.4473,=5684156764548.5000,=4797743808351,=3031208966715.0220,=6.6615,=0.8138,=6.5968,=5.6002,=4.9267
2026-06-01,=17333.1900,=18886.0708,=5586796412156.9004,=4700473618217,=2975815017166.5703,=6.5407,=0.7875,=6.5968,=5.5996,=4.9156
2026-05-29,=18347.7400,=19991.3050,=5913943773990.3906,=4977397193576,=3151787170196.6509,=6.9655,=0.8586,=6.5968,=5.5995,=4.9156
2026-05-28,=19395.8500,=21132.2091,=6301358567063.5391,=5276084622152,=3333200761120.1250,=7.4955,=0.9061,=6.5958,=5.5993,=4.9156
2026-05-27,=19329.4300,=21059.1969,=6210546781356.8604,=5230452115784,=3314726566943.7588,=7.3765,=0.8993,=6.5947,=5.5990,=4.9156
2026-05-26,=19868.5000,=21646.5104,=6402553432025.6016,=5404740948072,=3412629665211.9229,=7.6432,=0.9170,=6.5915,=5.5986,=4.9156
2026-05-25,=20000.7000,=21787.2782,=6464897114142.1191,=5423417059757,=3437946047630.5049,=7.5537,=0.9114,=6.5915,=5.5981,=4.9150
2026-05-22,=18621.3400,=20284.7108,=5938877411586.5898,=5050074749107,=3196033467809.9507,=6.5867,=0.8001,=6.5867,=5.5976,=4.9150
2026-05-21,=18149.3100,=19770.5119,=5807495252996.3311,=4946968891235,=3120461910217.8232,=6.3954,=0.7615,=6.5866,=5.5966,=4.9150
2026-05-20,=18722.5800,=20394.3579,=6022850525493.5400,=5119018350693,=3221428695640.7148,=6.5968,=0.8023,=6.5866,=5.5956,=4.9150
2026-05-19,=17879.2600,=19475.3863,=5720654390568.1807,=4909843905730,=3076608336038.0342,=6.0758,=0.6785,=6.5825,=5.5955,=4.9150
2026-05-18,=17194.8200,=18729.8388,=5498244005709.7305,=4697883115108,=2953665085652.6934,=5.9960,=0.6513,=6.5866,=5.5954,=4.9147
2026-05-15,=17032.6200,=18553.1624,=5465180485287.9199,=4657078821660,=2926847393929.2397,=6.0106,=0.6560,=6.5866,=5.5951,=4.9147
