日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-17,=18079.7400,=19705.4225,=6510062389541.6992,=5369269509169,=3456322512483.7627,=81.6666,=0.8155,=80.9971,=60.2284,=47.3019
2026-07-16,=19471.2900,=21222.0959,=7006303752404.8398,=5760752266150,=3721254672540.5679,=88.8867,=0.9098,=80.9903,=60.2183,=47.3019
2026-07-15,=20652.3100,=22509.3087,=7341985600558.0420,=6074368240737,=3946145220509.2920,=93.7622,=0.9480,=80.9179,=60.2128,=47.3019
2026-07-14,=21802.2700,=23762.6735,=7743929078724.0498,=6408449572323,=4163695236221.4570,=99.8888,=0.9797,=80.9179,=60.2073,=47.2069
2026-07-13,=21414.6800,=23340.2290,=7680007024230.9102,=6330033720194,=4089730265708.4790,=98.2735,=0.9725,=80.9091,=60.1938,=47.2069
2026-07-10,=22325.1000,=24332.5120,=7905017170874.5098,=6552825414319,=4258726393463.6860,=102.8508,=0.9904,=80.8116,=60.1802,=47.2069
2026-07-09,=23874.9100,=26021.6764,=8445308895075.4600,=7017610585574,=4556323934130.6572,=108.5402,=0.9952,=80.8063,=60.1656,=47.2069
2026-07-08,=21833.9100,=23797.1618,=7720250997443.9102,=6454356996008,=4165628696289.3481,=101.0501,=0.9826,=80.7669,=60.1511,=47.2069
2026-07-07,=22004.1900,=23982.7471,=7707970697901.9219,=6486291468681,=4194675992739.2559,=101.9320,=0.9868,=80.7669,=60.1483,=47.2014
2026-07-06,=22108.0300,=24095.9260,=7689466983259.8398,=6474827677709,=4212857932380.5322,=102.2450,=0.9886,=80.7475,=60.1455,=47.2014
2026-07-03,=21934.4800,=23906.7732,=7588797104537.0898,=6407279033899,=4179559955483.6362,=101.5528,=0.9868,=80.7267,=60.1348,=47.2014
2026-07-02,=22163,=24154.0544,=7689677259371.6602,=6481108816708,=4223814944443.5010,=101.7405,=0.9874,=80.7254,=60.1241,=47.2014
2026-07-01,=24286.8800,=26468.7335,=8374565670129.8584,=7073819298636,=4629504833051.8701,=108.7235,=0.9958,=80.7228,=60.1049,=47.2014
2026-06-30,=24861.0500,=27094.4863,=8594577350429.4102,=7259134682014,=4740485755237.6699,=110.4048,=0.9976,=80.7228,=60.0856,=47.1814
2026-06-29,=24226.2400,=26401.4791,=8317270539154.3066,=7042277622283,=4612937682979.6172,=107.5560,=0.9964,=80.6204,=60.0497,=47.1814
2026-06-26,=23056.2800,=25126.4794,=7975446344941.8496,=6731875658981,=4391409403915.0981,=103.8562,=0.9940,=80.5612,=60.0139,=47.1814
2026-06-25,=23318.2800,=25411.9976,=8109819228309.9102,=6815583321493,=4445451308105.1914,=104.6871,=0.9946,=80.5303,=59.9900,=47.1814
2026-06-24,=22111.0400,=24096.2257,=7731537915601.1406,=6485149641658,=4217543435967.8242,=99.9030,=0.9873,=80.5060,=59.9661,=47.1814
2026-06-23,=20987.7000,=22872.0271,=7351703089873.8301,=6181423819870,=4006327887522.9199,=95.1695,=0.9644,=80.5060,=59.9540,=47.1640
2026-06-22,=21473.8000,=23400.1399,=7419647373760.5918,=6299373604509,=4100907742994.6001,=95.9755,=0.9722,=80.4658,=59.9420,=47.1640
2026-06-18,=20721.2800,=22580.1100,=7223521390241.2510,=6136192314884,=3963868978848.7817,=92.8767,=0.9529,=80.4487,=59.9250,=47.1640
2026-06-17,=19831.5600,=21610.5728,=6874624115723.9014,=5837467914032,=3786788763638.4058,=90.7924,=0.9341,=80.4271,=59.9080,=47.1640
2026-06-16,=18702.0700,=20379.7648,=6522011346398.1104,=5524676282930,=3575593082724.0649,=85.2605,=0.8869,=80.4133,=59.9054,=47.1640
2026-06-15,=18523.8300,=20185.0628,=6497228933413.8496,=5503901840600,=3545012756773.1201,=84.4127,=0.8783,=80.4133,=59.9028,=47.1376
2026-06-12,=17477.3200,=19044.7058,=5622563499032.6904,=4781387496112,=3005383698087.8232,=90.0128,=0.9297,=80.4095,=59.9027,=47.1376
2026-06-11,=17610.2200,=19189.5218,=5657421531164.6709,=4798943901601,=3023419945672.6694,=90.0948,=0.9309,=80.3892,=59.9027,=47.1376
2026-06-10,=17521.2800,=19092.5987,=5614843172758.0605,=4767595105111,=3006682257488.3125,=90.8088,=0.9345,=80.3555,=59.9019,=47.1376
2026-06-09,=17751.2800,=19342.5694,=5672365442909.5918,=4810844993692,=3044769429433.6211,=92.8963,=0.9533,=80.3265,=59.9011,=47.1376
2026-06-08,=16880.2100,=18393.4150,=5411600545789.3594,=4589627876999,=2899724630856.6235,=88.1983,=0.9144,=80.3265,=59.8923,=47.1097
2026-06-05,=17641.1900,=19222.6094,=5654057440097.4893,=4794619069313,=3029381495919.9946,=92.2635,=0.9484,=80.2368,=59.8834,=47.1097
2026-06-04,=18583.1500,=20249.0069,=5944838944540.9697,=5035970565019,=3190803273489.2876,=96.5634,=0.9751,=80.2342,=59.8793,=47.1097
2026-06-03,=18238.2700,=19872.2410,=5864396924721.3594,=4965154445889,=3136942142833.6299,=95.3527,=0.9678,=80.2288,=59.8751,=47.1097
2026-06-02,=17629.9700,=19209.4473,=5684156764548.5000,=4797743808351,=3031208966715.0220,=91.5291,=0.9428,=80.1906,=59.8430,=47.1097
2026-06-01,=17333.1900,=18886.0708,=5586796412156.9004,=4700473618217,=2975815017166.5703,=90.6779,=0.9373,=80.1906,=59.8109,=47.0965
2026-05-29,=18347.7400,=19991.3050,=5913943773990.3906,=4977397193576,=3151787170196.6509,=95.2947,=0.9671,=80.1861,=59.8000,=47.0965
2026-05-28,=19395.8500,=21132.2091,=6301358567063.5391,=5276084622152,=3333200761120.1250,=101.2602,=0.9890,=80.1035,=59.7892,=47.0965
2026-05-27,=19329.4300,=21059.1969,=6210546781356.8604,=5230452115784,=3314726566943.7588,=101.2455,=0.9890,=80.0791,=59.7874,=47.0965
2026-05-26,=19868.5000,=21646.5104,=6402553432025.6016,=5404740948072,=3412629665211.9229,=102.1896,=0.9915,=80.0700,=59.7856,=47.0965
2026-05-25,=20000.7000,=21787.2782,=6464897114142.1191,=5423417059757,=3437946047630.5049,=102.2666,=0.9921,=80.0700,=59.7809,=47.0410
