日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM市值加权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-17,=18079.7400,=19705.4225,=6510062389541.6992,=5369269509169,=3456322512483.7627,=15.8435,=0.9863,=8.0255,=6.6636,=5.7889
2026-07-16,=19471.2900,=21222.0959,=7006303752404.8398,=5760752266150,=3721254672540.5679,=17.0512,=0.9886,=8.0084,=6.6623,=5.7889
2026-07-15,=20652.3100,=22509.3087,=7341985600558.0420,=6074368240737,=3946145220509.2920,=17.8681,=0.9898,=8.0059,=6.6592,=5.7889
2026-07-14,=21802.2700,=23762.6735,=7743929078724.0498,=6408449572323,=4163695236221.4570,=18.8463,=0.9958,=8.0059,=6.6562,=5.7888
2026-07-13,=21414.6800,=23340.2290,=7680007024230.9102,=6330033720194,=4089730265708.4790,=18.6907,=0.9928,=8.0052,=6.6559,=5.7888
2026-07-10,=22325.1000,=24332.5120,=7905017170874.5098,=6552825414319,=4258726393463.6860,=19.2384,=0.9964,=7.9962,=6.6556,=5.7888
2026-07-09,=23874.9100,=26021.6764,=8445308895075.4600,=7017610585574,=4556323934130.6572,=20.5533,=0.9994,=7.9960,=6.6555,=5.7888
2026-07-08,=21833.9100,=23797.1618,=7720250997443.9102,=6454356996008,=4165628696289.3481,=18.7887,=0.9964,=7.9957,=6.6554,=5.7888
2026-07-07,=22004.1900,=23982.7471,=7707970697901.9219,=6486291468681,=4194675992739.2559,=18.7588,=0.9964,=7.9957,=6.6548,=5.7881
2026-07-06,=22108.0300,=24095.9260,=7689466983259.8398,=6474827677709,=4212857932380.5322,=18.7138,=0.9958,=7.9950,=6.6542,=5.7881
2026-07-03,=21934.4800,=23906.7732,=7588797104537.0898,=6407279033899,=4179559955483.6362,=18.4688,=0.9958,=7.9917,=6.6542,=5.7881
2026-07-02,=22163,=24154.0544,=7689677259371.6602,=6481108816708,=4223814944443.5010,=18.7143,=0.9964,=7.9841,=6.6542,=5.7881
2026-07-01,=24286.8800,=26468.7335,=8374565670129.8584,=7073819298636,=4629504833051.8701,=20.3811,=0.9994,=7.9828,=6.6510,=5.7881
2026-06-30,=24861.0500,=27094.4863,=8594577350429.4102,=7259134682014,=4740485755237.6699,=20.9165,=1,=7.9828,=6.6478,=5.7863
2026-06-29,=24226.2400,=26401.4791,=8317270539154.3066,=7042277622283,=4612937682979.6172,=20.2416,=1,=7.9800,=6.6439,=5.7863
2026-06-26,=23056.2800,=25126.4794,=7975446344941.8496,=6731875658981,=4391409403915.0981,=19.4098,=0.9994,=7.9698,=6.6401,=5.7863
2026-06-25,=23318.2800,=25411.9976,=8109819228309.9102,=6815583321493,=4445451308105.1914,=19.7368,=1,=7.9681,=6.6399,=5.7863
2026-06-24,=22111.0400,=24096.2257,=7731537915601.1406,=6485149641658,=4217543435967.8242,=18.8162,=1,=7.9638,=6.6398,=5.7863
2026-06-23,=20987.7000,=22872.0271,=7351703089873.8301,=6181423819870,=4006327887522.9199,=17.8918,=0.9994,=7.9638,=6.6387,=5.7861
2026-06-22,=21473.8000,=23400.1399,=7419647373760.5918,=6299373604509,=4100907742994.6001,=18.0571,=1,=7.9587,=6.6377,=5.7861
2026-06-18,=20721.2800,=22580.1100,=7223521390241.2510,=6136192314884,=3963868978848.7817,=17.5798,=1,=7.9528,=6.6377,=5.7861
2026-06-17,=19831.5600,=21610.5728,=6874624115723.9014,=5837467914032,=3786788763638.4058,=16.7307,=1,=7.9512,=6.6376,=5.7861
2026-06-16,=18702.0700,=20379.7648,=6522011346398.1104,=5524676282930,=3575593082724.0649,=15.8725,=0.9994,=7.9503,=6.6374,=5.7861
2026-06-15,=18523.8300,=20185.0628,=6497228933413.8496,=5503901840600,=3545012756773.1201,=15.8122,=0.9994,=7.9503,=6.6372,=5.7723
2026-06-12,=17477.3200,=19044.7058,=5622563499032.6904,=4781387496112,=3005383698087.8232,=13.8773,=0.9903,=7.9430,=6.6368,=5.7723
2026-06-11,=17610.2200,=19189.5218,=5657421531164.6709,=4798943901601,=3023419945672.6694,=13.9634,=0.9915,=7.9430,=6.6363,=5.7723
2026-06-10,=17521.2800,=19092.5987,=5614843172758.0605,=4767595105111,=3006682257488.3125,=13.8583,=0.9909,=7.9413,=6.6357,=5.7723
2026-06-09,=17751.2800,=19342.5694,=5672365442909.5918,=4810844993692,=3044769429433.6211,=14.0002,=0.9921,=7.9387,=6.6352,=5.7723
2026-06-08,=16880.2100,=18393.4150,=5411600545789.3594,=4589627876999,=2899724630856.6235,=13.3566,=0.9872,=7.9387,=6.6349,=5.7708
2026-06-05,=17641.1900,=19222.6094,=5654057440097.4893,=4794619069313,=3029381495919.9946,=13.9551,=0.9921,=7.9382,=6.6347,=5.7708
2026-06-04,=18583.1500,=20249.0069,=5944838944540.9697,=5035970565019,=3190803273489.2876,=14.6728,=0.9970,=7.9374,=6.6329,=5.7708
2026-06-03,=18238.2700,=19872.2410,=5864396924721.3594,=4965154445889,=3136942142833.6299,=14.4742,=0.9957,=7.9342,=6.6312,=5.7708
2026-06-02,=17629.9700,=19209.4473,=5684156764548.5000,=4797743808351,=3031208966715.0220,=14.0293,=0.9939,=7.9301,=6.6304,=5.7708
2026-06-01,=17333.1900,=18886.0708,=5586796412156.9004,=4700473618217,=2975815017166.5703,=13.7890,=0.9933,=7.9301,=6.6296,=5.7677
