日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM平均值,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-17,=18079.7400,=19705.4225,=6510062389541.6992,=5369269509169,=3456322512483.7627,=22.2834,=0.9845,=15.5168,=11.3453,=9.7649
2026-07-16,=19471.2900,=21222.0959,=7006303752404.8398,=5760752266150,=3721254672540.5679,=24.0819,=0.9869,=15.4830,=11.3419,=9.7649
2026-07-15,=20652.3100,=22509.3087,=7341985600558.0420,=6074368240737,=3946145220509.2920,=25.5124,=0.9874,=15.4737,=11.3391,=9.7649
2026-07-14,=21802.2700,=23762.6735,=7743929078724.0498,=6408449572323,=4163695236221.4570,=27.0746,=0.9898,=15.4737,=11.3363,=9.7603
2026-07-13,=21414.6800,=23340.2290,=7680007024230.9102,=6330033720194,=4089730265708.4790,=27.0127,=0.9898,=15.4512,=11.3341,=9.7603
2026-07-10,=22325.1000,=24332.5120,=7905017170874.5098,=6552825414319,=4258726393463.6860,=31.4928,=0.9970,=15.4399,=11.3320,=9.7603
2026-07-09,=23874.9100,=26021.6764,=8445308895075.4600,=7017610585574,=4556323934130.6572,=33.7514,=0.9994,=15.4144,=11.3320,=9.7603
2026-07-08,=21833.9100,=23797.1618,=7720250997443.9102,=6454356996008,=4165628696289.3481,=31.1831,=0.9970,=15.3894,=11.3319,=9.7603
2026-07-07,=22004.1900,=23982.7471,=7707970697901.9219,=6486291468681,=4194675992739.2559,=31.0048,=0.9970,=15.3894,=11.3297,=9.7592
2026-07-06,=22108.0300,=24095.9260,=7689466983259.8398,=6474827677709,=4212857932380.5322,=30.6927,=0.9964,=15.3869,=11.3274,=9.7592
2026-07-03,=21934.4800,=23906.7732,=7588797104537.0898,=6407279033899,=4179559955483.6362,=29.8723,=0.9958,=15.3834,=11.3266,=9.7592
2026-07-02,=22163,=24154.0544,=7689677259371.6602,=6481108816708,=4223814944443.5010,=30.6986,=0.9970,=15.3808,=11.3257,=9.7592
2026-07-01,=24286.8800,=26468.7335,=8374565670129.8584,=7073819298636,=4629504833051.8701,=33.4472,=0.9994,=15.3360,=11.3252,=9.7592
2026-06-30,=24861.0500,=27094.4863,=8594577350429.4102,=7259134682014,=4740485755237.6699,=34.3027,=1,=15.3360,=11.3246,=9.7546
2026-06-29,=24226.2400,=26401.4791,=8317270539154.3066,=7042277622283,=4612937682979.6172,=32.9155,=1,=15.3331,=11.3221,=9.7546
2026-06-26,=23056.2800,=25126.4794,=7975446344941.8496,=6731875658981,=4391409403915.0981,=31.2525,=0.9994,=15.3261,=11.3195,=9.7546
2026-06-25,=23318.2800,=25411.9976,=8109819228309.9102,=6815583321493,=4445451308105.1914,=31.6453,=1,=15.2857,=11.3183,=9.7546
2026-06-24,=22111.0400,=24096.2257,=7731537915601.1406,=6485149641658,=4217543435967.8242,=30.1040,=1,=15.2853,=11.3172,=9.7546
2026-06-23,=20987.7000,=22872.0271,=7351703089873.8301,=6181423819870,=4006327887522.9199,=28.9068,=0.9988,=15.2853,=11.3148,=9.7536
2026-06-22,=21473.8000,=23400.1399,=7419647373760.5918,=6299373604509,=4100907742994.6001,=29.4372,=1,=15.2806,=11.3125,=9.7536
2026-06-18,=20721.2800,=22580.1100,=7223521390241.2510,=6136192314884,=3963868978848.7817,=29.2629,=1,=15.2776,=11.3108,=9.7536
2026-06-17,=19831.5600,=21610.5728,=6874624115723.9014,=5837467914032,=3786788763638.4058,=27.7544,=1,=15.2599,=11.3090,=9.7536
2026-06-16,=18702.0700,=20379.7648,=6522011346398.1104,=5524676282930,=3575593082724.0649,=26.4620,=1,=15.2597,=11.3074,=9.7536
2026-06-15,=18523.8300,=20185.0628,=6497228933413.8496,=5503901840600,=3545012756773.1201,=26.2655,=1,=15.2597,=11.3058,=9.7517
2026-06-12,=17477.3200,=19044.7058,=5622563499032.6904,=4781387496112,=3005383698087.8232,=21.9272,=0.9970,=15.2594,=11.3022,=9.7517
2026-06-11,=17610.2200,=19189.5218,=5657421531164.6709,=4798943901601,=3023419945672.6694,=21.9769,=0.9976,=15.2505,=11.2986,=9.7517
2026-06-10,=17521.2800,=19092.5987,=5614843172758.0605,=4767595105111,=3006682257488.3125,=19.4583,=0.9800,=15.2468,=11.2981,=9.7517
2026-06-09,=17751.2800,=19342.5694,=5672365442909.5918,=4810844993692,=3044769429433.6211,=22.1596,=0.9982,=15.2115,=11.2976,=9.7517
2026-06-08,=16880.2100,=18393.4150,=5411600545789.3594,=4589627876999,=2899724630856.6235,=18.6039,=0.9739,=15.2115,=11.2928,=9.7471
2026-06-05,=17641.1900,=19222.6094,=5654057440097.4893,=4794619069313,=3029381495919.9946,=19.4901,=0.9818,=15.1986,=11.2880,=9.7471
2026-06-04,=18583.1500,=20249.0069,=5944838944540.9697,=5035970565019,=3190803273489.2876,=23.1825,=1,=15.1728,=11.2863,=9.7471
2026-06-03,=18238.2700,=19872.2410,=5864396924721.3594,=4965154445889,=3136942142833.6299,=20.0666,=0.9897,=15.1639,=11.2846,=9.7471
2026-06-02,=17629.9700,=19209.4473,=5684156764548.5000,=4797743808351,=3031208966715.0220,=19.5572,=0.9848,=15.1610,=11.2809,=9.7471
2026-06-01,=17333.1900,=18886.0708,=5586796412156.9004,=4700473618217,=2975815017166.5703,=19.5065,=0.9842,=15.1610,=11.2772,=9.7442
2026-05-29,=18347.7400,=19991.3050,=5913943773990.3906,=4977397193576,=3151787170196.6509,=18.0476,=0.9659,=15.1562,=11.2768,=9.7442
2026-05-28,=19395.8500,=21132.2091,=6301358567063.5391,=5276084622152,=3333200761120.1250,=19.2904,=0.9829,=15.1549,=11.2763,=9.7442
2026-05-27,=19329.4300,=21059.1969,=6210546781356.8604,=5230452115784,=3314726566943.7588,=21.7985,=0.9988,=15.1427,=11.2719,=9.7442
2026-05-26,=19868.5000,=21646.5104,=6402553432025.6016,=5404740948072,=3412629665211.9229,=22.4321,=1,=15.1323,=11.2674,=9.7442
2026-05-25,=20000.7000,=21787.2782,=6464897114142.1191,=5423417059757,=3437946047630.5049,=19.8435,=0.9878,=15.1323,=11.2659,=9.7406
2026-05-22,=18621.3400,=20284.7108,=5938877411586.5898,=5050074749107,=3196033467809.9507,=18.5389,=0.9786,=15.0995,=11.2645,=9.7406
2026-05-21,=18149.3100,=19770.5119,=5807495252996.3311,=4946968891235,=3120461910217.8232,=17.9869,=0.9682,=15.0841,=11.2603,=9.7406
2026-05-20,=18722.5800,=20394.3579,=6022850525493.5400,=5119018350693,=3221428695640.7148,=18.7387,=0.9798,=15.0588,=11.2561,=9.7406
2026-05-19,=17879.2600,=19475.3863,=5720654390568.1807,=4909843905730,=3076608336038.0342,=18.0491,=0.9700,=15.0407,=11.2483,=9.7406
2026-05-18,=17194.8200,=18729.8388,=5498244005709.7305,=4697883115108,=2953665085652.6934,=17.3415,=0.9412,=15.0407,=11.2405,=9.7397
2026-05-15,=17032.6200,=18553.1624,=5465180485287.9199,=4657078821660,=2926847393929.2397,=17.1926,=0.9356,=15.0232,=11.2387,=9.7397
2026-05-14,=17078.7100,=18603.3689,=5507227155965.9902,=4703267545269,=2939336564366.8691,=17.3950,=0.9460,=15.0168,=11.2370,=9.7397
2026-05-13,=17543.4000,=19109.5385,=5682303610901.0996,=4855293751394,=3023062054728.5103,=17.7390,=0.9638,=15.0099,=11.2328,=9.7397
2026-05-12,=17096.5100,=18622.7542,=5569280353950.4189,=4746268270084,=2947377302789.3232,=17.2713,=0.9398,=14.9937,=11.2285,=9.7397
2026-05-11,=16980.7800,=18496.6969,=5508523834949.5801,=4682692779112,=2921398149929.4102,=17.1152,=0.9318,=14.9937,=11.2281,=9.7369
2026-05-08,=15971.5500,=17397.3634,=5239077741860.2607,=4432971769635,=2753916650259.0942,=16.1320,=0.8585,=14.9638,=11.2277,=9.7369
2026-05-07,=16450.4000,=17916.9587,=5418997177637.7803,=4581665566363,=2841246395602.3306,=16.4821,=0.8849,=14.9330,=11.2251,=9.7369
2026-05-06,=16211.9900,=17657.2939,=5345477968901.9688,=4523390605450,=2799849665275.8203,=16.2641,=0.8688,=14.9323,=11.2225,=9.7369
2026-04-30,=15254.3400,=16614.2672,=5035340002628.4404,=4217432066206,=2632150254758.5503,=15.4737,=0.8244,=14.8932,=11.2222,=9.7369
2026-04-29,=14480.0800,=15770.9817,=4731629150028.7393,=3954054080766,=2472132841823.6899,=15.1639,=0.8107,=14.8932,=11.2219,=9.7327
2026-04-28,=14566.5800,=15865.1904,=4757895218926.7402,=3970490761067,=2483052826784.1304,=15.2597,=0.8149,=14.8866,=11.2200,=9.7327
2026-04-27,=14725.1000,=16037.8428,=4821512753553.6689,=4021101147735,=2492455222695.2012,=15.9031,=0.8444,=14.8811,=11.2180,=9.7327
2026-04-24,=14046.9900,=15299.2764,=4613017414088.0693,=3851144905377,=2380010837105.6099,=15.1986,=0.8128,=14.8716,=11.2148,=9.7327
2026-04-23,=13809.6000,=15040.7322,=4500933817032.9805,=3768619885404,=2337759507578.8188,=15.6616,=0.8313,=14.8579,=11.2116,=9.7327
2026-04-22,=14006.7500,=15255.4569,=4553953261748.7900,=3808068710898,=2366807786639.5103,=15.9814,=0.8491,=14.8579,=11.2096,=9.7325
2026-04-21,=13626.3500,=14841.1419,=4450255819377,=3709164911300,=2304121077372.9199,=15.6041,=0.8304,=14.8553,=11.2077,=9.7325
2026-04-20,=13830.8600,=15063.8863,=4531888794806.7598,=3787373026780,=2341746897096.1001,=15.8777,=0.8427,=14.8289,=11.2077,=9.7325
2026-04-17,=13590.4900,=14802.0799,=4446168688969.7305,=3721354300950,=2299753863865.4199,=15.5347,=0.8290,=14.8257,=11.2077,=9.7325
2026-04-16,=13496.9100,=14700.1627,=4405277262224.9707,=3687355393803,=2284506472946.7695,=15.4830,=0.8277,=14.8042,=11.2019,=9.7325
2026-04-15,=13348.8700,=14538.9224,=4364500400857.9409,=3645683208772,=2259734815077.2402,=15.3894,=0.8257,=14.8042,=11.1961,=9.7261
2026-04-14,=13411.8100,=14607.4709,=4354604056859.8198,=3648475795590,=2266330388223.0195,=15.5168,=0.8281,=14.7911,=11.1926,=9.7261
2026-04-13,=13141.0500,=14312.5784,=4277793759025.6401,=3578809414093,=2221102726083.7900,=15.2115,=0.8174,=14.7910,=11.1891,=9.7261
2026-04-10,=13057.4800,=14221.5610,=4248631818770.6191,=3547596706491,=2206697704993.7998,=15.1427,=0.8148,=14.7832,=11.1851,=9.7261
2026-04-09,=12817.9200,=13960.6352,=4180293247690.9102,=3488434128780,=2166856650195.3704,=14.8553,=0.8041,=14.7700,=11.1812,=9.7261
