日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-17,=12327.9000,=17295.7800,=3867205312775.4102,=3539871471203,=1747150613827.4231,=19.8469,=0.1452,=39.7178,=28.6121,=21.1138
2026-07-16,=12536.4900,=17579.7200,=3917868936568.3198,=3584480778554,=1768529718720.8701,=20.1069,=0.1581,=39.7188,=28.6126,=21.1138
2026-07-15,=12439.5200,=17374.9400,=3894021685029.4609,=3564786415354,=1756912111915.2202,=19.9845,=0.1521,=39.7188,=28.6132,=21.1180
2026-07-14,=11997.6600,=16757.7800,=3764615653766.2905,=3446562190692,=1699026655662.8943,=19.3204,=0.1185,=39.7188,=28.6166,=21.1446
2026-07-13,=11953.6100,=16696.2500,=3749826531103.7202,=3432351807805,=1692985266805.0906,=19.2445,=0.1113,=39.7188,=28.6200,=21.1458
2026-07-10,=11968.1500,=16715.8500,=3747676555434.5190,=3431126058871,=1691240903985.1182,=19.2335,=0.1101,=39.7188,=28.6239,=21.1635
2026-07-09,=11736.4700,=16391.6300,=3674602259984.2500,=3364111476377,=1659377317753.1021,=18.8584,=0.0806,=39.7299,=28.6278,=21.1635
2026-07-08,=11853.8200,=16555.5300,=3717570730759.0103,=3405501999982,=1678919647054.9976,=19.0790,=0.0954,=39.7299,=28.6289,=21.1662
2026-07-07,=11942.8500,=16679.8700,=3720534174264.2100,=3403519464053,=1681112257361.3899,=19.0942,=0.0971,=39.7299,=28.6301,=21.1709
2026-07-06,=12125.1800,=16934.5200,=3781372883873.3789,=3459616950491,=1706419928279.6499,=19.4064,=0.1242,=39.7299,=28.6361,=21.1723
2026-07-03,=11888.2800,=16603.6600,=3725148660498.7998,=3411746420413,=1678835432499.6602,=19.1179,=0.0991,=39.7299,=28.6421,=21.1797
2026-07-02,=11885.5800,=16596.6300,=3730629610829.6299,=3437541824555,=1682533784486.0845,=19.1460,=0.1010,=39.7382,=28.6437,=21.1797
2026-07-01,=11921.4700,=16646.7300,=3730828662608.0698,=3437162323754,=1681324018671.8042,=19.1470,=0.1011,=39.7382,=28.6454,=21.1817
2026-06-30,=11658.4600,=16279.4800,=3670753232876.3701,=3387969928141,=1653837618888.9036,=18.8387,=0.0790,=39.7382,=28.6481,=21.1861
2026-06-29,=11779.9200,=16435.2900,=3705438497594.1382,=3417232441329,=1669930894480.4617,=19.0167,=0.0924,=39.7382,=28.6508,=21.1984
