日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM平均值,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-17,=12327.9000,=17295.7800,=3867205312775.4102,=3539871471203,=1747150613827.4231,=2.9182,=0.0923,=5.4069,=4.1963,=3.3584
2026-07-16,=12536.4900,=17579.7200,=3917868936568.3198,=3584480778554,=1768529718720.8701,=2.9898,=0.1044,=5.4071,=4.1968,=3.3584
2026-07-15,=12439.5200,=17374.9400,=3894021685029.4609,=3564786415354,=1756912111915.2202,=2.9840,=0.1030,=5.4071,=4.1972,=3.3586
2026-07-14,=11997.6600,=16757.7800,=3764615653766.2905,=3446562190692,=1699026655662.8943,=2.8829,=0.0839,=5.4071,=4.1983,=3.3595
2026-07-13,=11953.6100,=16696.2500,=3749826531103.7202,=3432351807805,=1692985266805.0906,=2.8690,=0.0801,=5.4071,=4.1994,=3.3598
2026-07-10,=11968.1500,=16715.8500,=3747676555434.5190,=3431126058871,=1691240903985.1182,=2.8958,=0.0861,=5.4071,=4.1997,=3.3603
2026-07-09,=11736.4700,=16391.6300,=3674602259984.2500,=3364111476377,=1659377317753.1021,=2.8466,=0.0719,=5.4086,=4.2000,=3.3603
2026-07-08,=11853.8200,=16555.5300,=3717570730759.0103,=3405501999982,=1678919647054.9976,=2.8589,=0.0760,=5.4086,=4.2005,=3.3605
2026-07-07,=11942.8500,=16679.8700,=3720534174264.2100,=3403519464053,=1681112257361.3899,=2.8573,=0.0748,=5.4086,=4.2009,=3.3609
2026-07-06,=12125.1800,=16934.5200,=3781372883873.3789,=3459616950491,=1706419928279.6499,=2.9150,=0.0901,=5.4086,=4.2012,=3.3612
2026-07-03,=11888.2800,=16603.6600,=3725148660498.7998,=3411746420413,=1678835432499.6602,=2.8934,=0.0845,=5.4086,=4.2014,=3.3621
2026-07-02,=11885.5800,=16596.6300,=3730629610829.6299,=3437541824555,=1682533784486.0845,=2.8858,=0.0836,=5.4102,=4.2019,=3.3621
2026-07-01,=11921.4700,=16646.7300,=3730828662608.0698,=3437162323754,=1681324018671.8042,=2.9085,=0.0887,=5.4102,=4.2023,=3.3625
2026-06-30,=11658.4600,=16279.4800,=3670753232876.3701,=3387969928141,=1653837618888.9036,=2.6568,=0.0136,=5.4102,=4.2025,=3.3633
2026-06-29,=11779.9200,=16435.2900,=3705438497594.1382,=3417232441329,=1669930894480.4617,=2.6833,=0.0223,=5.4102,=4.2027,=3.3646
2026-06-26,=11451.0900,=15976.5100,=3613457297878.0308,=3331823489520,=1627194224046.8601,=2.8027,=0.0597,=5.4102,=4.2031,=3.3650
