日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM正数等权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-17,=12327.9000,=17295.7800,=3867205312775.4102,=3539871471203,=1747150613827.4231,=1.7180,=0.3717,=2.1800,=1.8110,=1.5046
2026-07-16,=12536.4900,=17579.7200,=3917868936568.3198,=3584480778554,=1768529718720.8701,=1.7542,=0.4281,=2.1803,=1.8113,=1.5039
2026-07-15,=12439.5200,=17374.9400,=3894021685029.4609,=3564786415354,=1756912111915.2202,=1.7422,=0.4105,=2.1803,=1.8116,=1.5039
2026-07-14,=11997.6600,=16757.7800,=3764615653766.2905,=3446562190692,=1699026655662.8943,=1.6891,=0.3316,=2.1803,=1.8118,=1.5039
2026-07-13,=11953.6100,=16696.2500,=3749826531103.7202,=3432351807805,=1692985266805.0906,=1.6747,=0.3111,=2.1803,=1.8119,=1.5039
2026-07-10,=11968.1500,=16715.8500,=3747676555434.5190,=3431126058871,=1691240903985.1182,=1.6857,=0.3281,=2.1803,=1.8120,=1.5039
2026-07-09,=11736.4700,=16391.6300,=3674602259984.2500,=3364111476377,=1659377317753.1021,=1.6561,=0.2960,=2.1811,=1.8120,=1.5038
2026-07-08,=11853.8200,=16555.5300,=3717570730759.0103,=3405501999982,=1678919647054.9976,=1.6736,=0.3091,=2.1811,=1.8121,=1.5038
2026-07-07,=11942.8500,=16679.8700,=3720534174264.2100,=3403519464053,=1681112257361.3899,=1.6913,=0.3339,=2.1811,=1.8121,=1.5038
2026-07-06,=12125.1800,=16934.5200,=3781372883873.3789,=3459616950491,=1706419928279.6499,=1.7198,=0.3747,=2.1811,=1.8121,=1.5038
2026-07-03,=11888.2800,=16603.6600,=3725148660498.7998,=3411746420413,=1678835432499.6602,=1.6869,=0.3292,=2.1811,=1.8121,=1.5038
2026-07-02,=11885.5800,=16596.6300,=3730629610829.6299,=3437541824555,=1682533784486.0845,=1.6824,=0.3213,=2.1813,=1.8123,=1.5036
2026-07-01,=11921.4700,=16646.7300,=3730828662608.0698,=3437162323754,=1681324018671.8042,=1.6894,=0.3313,=2.1813,=1.8124,=1.5036
2026-06-30,=11658.4600,=16279.4800,=3670753232876.3701,=3387969928141,=1653837618888.9036,=1.6388,=0.2856,=2.1813,=1.8125,=1.5036
2026-06-29,=11779.9200,=16435.2900,=3705438497594.1382,=3417232441329,=1669930894480.4617,=1.6482,=0.2905,=2.1813,=1.8125,=1.5036
2026-06-26,=11451.0900,=15976.5100,=3613457297878.0308,=3331823489520,=1627194224046.8601,=1.6100,=0.2704,=2.1813,=1.8128,=1.5036
2026-06-25,=11592.1800,=16135.2000,=3694360091674.5703,=3411171365808,=1661627763019.3645,=1.6358,=0.2843,=2.1814,=1.8132,=1.5032
2026-06-24,=11564.9200,=16097.2600,=3684781655792.2412,=3400790900198,=1656808215894.2500,=1.6517,=0.2924,=2.1814,=1.8132,=1.5032
2026-06-23,=11746.1100,=16332.9200,=3736214573913.3179,=3446620514913,=1680233112900.4199,=1.6863,=0.3272,=2.1814,=1.8133,=1.5032
2026-06-22,=11933.8800,=16589.4500,=3792983596949.9888,=3499627742518,=1706424076337.8440,=1.7110,=0.3586,=2.1814,=1.8133,=1.5032
2026-06-18,=11832.4800,=16448.5000,=3744536837043.0298,=3453459621087,=1683933586404.1399,=1.7072,=0.3516,=2.1814,=1.8133,=1.5032
