train_iter,sharpe,cum_ret,vol,mdd
0,1.6527,0.0989,0.1605,-0.0717
1,1.5692,0.0943,0.1607,-0.0735
2,1.6199,0.097,0.1605,-0.0705
3,1.606,0.0961,0.1602,-0.0717
4,1.5953,0.0947,0.1587,-0.0708
5,1.61,0.0948,0.1576,-0.0712
6,1.622,0.0956,0.1576,-0.0695
7,1.5781,0.0931,0.1575,-0.0696
8,1.5349,0.0901,0.1565,-0.0696
9,1.4095,0.08,0.1502,-0.0683
10,1.4449,0.0831,0.1525,-0.0697
11,1.4228,0.0798,0.1484,-0.067
12,1.3951,0.0784,0.1486,-0.0683
13,1.3865,0.0772,0.147,-0.068
14,1.4044,0.0781,0.1469,-0.069
15,1.3566,0.0736,0.1429,-0.0672
16,1.3957,0.081,0.1536,-0.0736
17,1.4049,0.0813,0.1532,-0.0753
18,1.4841,0.0852,0.1524,-0.0738
19,1.49,0.0848,0.1512,-0.0715
20,1.427,0.0802,0.1488,-0.0713
