date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合
2015-01-05,999990.0793650793,999982.1428571428,999998.0158730159,999998.0158730159,999982.1428571428,999982.1428571428,999977.91005291
2015-01-06,993201.4842124911,1005704.2578406723,999996.0317499684,999996.0317499684,1005704.2578406723,1005704.2578406723,1007273.9625967697
2015-01-07,992920.4867468294,1004520.6263072011,999994.0476308578,999994.0476308578,1004520.6263072011,1004520.6263072011,1008913.0950582181
2015-01-08,971219.3094910663,995080.9302494553,999992.0635156839,999992.0635156839,995080.9302494553,995080.9302494553,1001393.6910846119
2015-01-09,964160.0646505697,989644.1261832194,999990.0794044466,999990.0794044466,989644.1261832194,989644.1261832194,1000584.1980262238
2015-01-12,961168.002182724,985516.9198834087,999988.0952971461,999988.0952971461,985516.9198834087,985516.9198834087,1002780.2477621394
2015-01-13,959260.5327900294,989360.5614618642,999986.1111937824,999986.1111937824,989360.5614618642,989360.5614618642,1007420.1363465296
2015-01-14,957081.9704537651,984763.9276988294,999984.1270943554,999984.1270943554,984763.9276988294,984763.9276988294,1004134.8328676012
2015-01-15,984185.2792885212,997530.5094263181,999982.1429988651,999982.1429988651,997530.5094263181,997530.5094263181,1009327.2741296407
2015-01-16,992851.5290270024,1008729.446252272,999980.1589073115,999980.1589073115,1008729.446252272,1008729.446252272,1026845.572722919
2015-01-19,893610.750957764,966949.0250439008,999978.1748196946,999978.1748196946,966949.0250439008,966949.0250439008,1017640.9809382452
2015-01-20,916918.1857057135,987827.2340722517,999976.1907360144,999976.1907360144,987827.2340722517,987827.2340722517,1028515.218970605
2015-01-21,958932.2468304413,1015641.3785333807,999974.2066562709,999974.2066562709,1015641.3785333807,1015641.3785333807,1052687.6521669705
2015-01-22,960549.4210553193,1018765.9366982965,999972.222580464,999972.222580464,1018765.9366982965,1018765.9366982965,1047541.5697174808
2015-01-23,965148.7939001686,1017193.8980176348,999970.2385085938,999970.2385085938,1017193.8980176348,1017193.8980176348,1050657.09886081
2015-01-26,974356.9322115103,1030037.7518610042,999968.2544406601,999968.2544406601,1030037.7518610042,1030037.7518610042,1057263.5066392405
2015-01-27,964587.4302571301,1025888.2614419094,999966.2703766632,999966.2703766632,1025888.2614419094,1025888.2614419094,1050938.821395481
2015-01-28,949124.9425774483,1018378.2377192759,999964.286316603,999964.286316603,1018378.2377192759,1018378.2377192759,1049282.545780999
2015-01-29,939084.7860454688,1010010.2337944496,999962.3022604792,999962.3022604792,1010010.2337944496,1010010.2337944496,1042444.2963705893
2015-01-30,927418.2394163815,998579.1082062377,999960.3182082921,999960.3182082921,998579.1082062377,998579.1082062377,1027675.8765132967
2015-02-02,906534.673321199,993151.0235670264,997142.8683113626,1005884.4392708961,998587.3384557915,1010059.276939292,1040562.4877328115
2015-02-03,927942.019393066,1005925.3959215236,1007821.3365925032,1015515.9735589598,1007852.6934871181,1013147.960431259,1043861.668789621
2015-02-04,917360.2928021403,997546.9063442118,999605.6123930317,1007471.862926908,1000490.9646777498,1002480.7533047558,1033066.2659734642
2015-02-05,906507.6897265997,991821.0602007452,995189.5527489925,1007130.3577402893,996779.324860949,1006109.175495647,1037024.3351299373
2015-02-06,892944.4548225292,979914.2588735484,984243.8493642117,994917.6638857457,985795.5197936937,1000309.8471784098,1030648.3560190382
2015-02-09,903236.7162475769,978609.1625631423,980601.4513729733,980377.8594851021,980257.453491572,982184.0699346316,1011058.0463892729
2015-02-10,921390.0784916145,987924.969066092,988206.33858008,988346.1896344222,986132.338406219,987104.1269068313,1016192.3409972609
2015-02-11,927344.627545451,994443.6290891408,994170.6150165088,991734.3027323053,992683.7970921532,985191.4156739184,1014278.7007386949
2015-02-12,931130.4656358791,997362.8976787282,996225.3982673626,990843.1818835654,995218.406380599,977809.4845659547,1006752.0028053088
2015-02-13,937084.8003538981,1006478.8908645512,1005330.1644591284,1001992.9935102385,1005225.5427306396,984518.3721993121,1014094.7158067733
2015-02-16,944936.4987316998,1016092.2616583103,1014313.164569754,1012278.8799305549,1015219.86205999,986472.4416466568,1016661.0734085327
2015-02-17,953330.1741209046,1018973.6178183015,1016008.9798775628,1012687.1478474606,1016052.3757744085,983873.6517753043,1013960.7683474327
