date,market_state,hs300,zz500,kc50,consume,chip,gold,bond10
2015-01-05,震荡,,,0.0,,0.0,0.65,0.0
2015-02-02,下行,0.075,0.0,0.0,0.075,0.0,0.85,0.0
2015-03-02,震荡,0.0,0.35,0.0,0.0,0.0,0.65,0.0
2015-04-01,震荡偏强,0.0,0.225,0.0,0.225,0.0,0.55,0.0
2015-05-04,震荡,0.1691781590030842,0.008553245209858727,0.0,0.17226859578705708,0.0,0.65,0.0
2015-06-01,震荡,0.16991837976937915,0.010163240461241695,0.0,0.16991837976937915,0.0,0.65,0.0
2015-07-01,下行,0.0,0.017697807492701164,0.0,0.13230219250729883,0.0,0.85,0.0
2015-08-03,下行,0.15,0.0,0.0,0.0,0.0,0.85,0.0
2015-09-01,下行,0.075,0.075,0.0,0.0,0.0,0.85,0.0
2015-10-08,震荡,0.175,0.0,0.0,0.175,0.0,0.65,0.0
2015-11-02,震荡偏强,0.225,0.0,0.0,0.225,0.0,0.55,0.0
2015-12-01,下行,0.08171452448102542,0.06828547551897457,0.0,0.0,0.0,0.85,0.0
2016-01-04,下行,0.0,0.07359870488930365,0.0,0.07640129511069636,0.0,0.85,0.0
2016-02-01,震荡,0.175,0.0,0.0,0.175,0.0,0.65,0.0
2016-03-01,震荡偏强,0.16056177914564476,0.10306425184931756,0.0,0.18637396900503772,0.0,0.55,0.0
2016-04-01,震荡偏强,0.225,0.0,0.0,0.225,0.0,0.55,0.0
2016-05-03,震荡偏强,0.225,0.0,0.0,0.225,0.0,0.55,0.0
2016-06-01,震荡偏强,0.0,0.0,0.0,0.45,0.0,0.55,0.0
2016-07-01,震荡偏强,0.45,0.0,0.0,0.0,0.0,0.55,0.0
2016-08-01,震荡,0.11479448131602814,0.0,0.0,0.2352055186839718,0.0,0.65,0.0
2016-09-01,震荡,0.175,0.0,0.0,0.175,0.0,0.65,0.0
2016-10-10,震荡,0.35,0.0,0.0,0.0,0.0,0.65,0.0
2016-11-01,震荡偏强,0.30665106351770827,0.0,0.0,0.14334893648229172,0.0,0.55,0.0
2016-12-01,震荡偏强,0.225,0.0,0.0,0.225,0.0,0.55,0.0
2017-01-03,震荡,0.175,0.0,0.0,0.175,0.0,0.65,0.0
2017-02-03,震荡,0.0,0.35,0.0,0.0,0.0,0.65,0.0
2017-03-01,震荡偏强,0.225,0.225,0.0,0.0,0.0,0.55,0.0
2017-04-05,震荡偏强,0.225,0.0,0.0,0.225,0.0,0.55,0.0
2017-05-02,震荡,0.175,0.0,0.0,0.175,0.0,0.65,0.0
2017-06-01,震荡偏强,0.225,0.0,0.0,0.225,0.0,0.55,0.0
2017-07-03,震荡偏强,0.225,0.0,0.0,0.225,0.0,0.55,0.0
2017-08-01,震荡偏强,0.225,0.0,0.0,0.225,0.0,0.55,0.0
2017-09-01,震荡偏强,0.20326358263031974,0.13068375314029756,0.0,0.11605266422938267,0.0,0.06164709850803285,0.4883529014919672
2017-10-09,震荡,0.175,0.0,0.0,0.175,0.0,0.10214503662361611,0.547854963376384
2017-11-01,震荡偏强,0.22663841966385795,0.0,0.0,0.22336158033614206,0.0,0.10548083367101298,0.4445191663289871
2017-12-01,震荡,0.175,0.0,0.0,0.175,0.0,0.2418144180255885,0.40818558197441157
2018-01-02,震荡偏强,0.22499999999999995,0.0,0.0,0.22499999999999995,0.0,0.25427599265826306,0.295724007341737
2018-02-01,震荡,0.0,0.35000000000000003,0.0,0.0,0.0,0.2920336150657754,0.35796638493422467
2018-03-01,震荡,0.175,0.175,0.0,0.0,0.0,0.24270729135442218,0.4072927086455778
2018-04-02,震荡,0.175,0.0,0.0,0.175,0.0,0.22046032594468978,0.4295396740553103
2018-05-02,震荡,0.21277758585239906,0.0,0.0,0.13722241414760095,0.0,0.21422666503307894,0.43577333496692106
2018-06-01,震荡偏强,0.45,0.0,0.0,0.0,0.0,0.18216939333767473,0.36783060666232525
2018-07-02,震荡,0.175,0.175,0.0,0.0,0.0,0.23734936523597663,0.41265063476402336
2018-08-01,震荡偏强,0.225,0.225,0.0,0.0,0.0,0.20537615816935936,0.34462384183064065
2018-09-03,震荡偏强,0.1308562952284543,0.15957185238577282,0.0,0.15957185238577282,0.0,0.22837886049589562,0.3216211395041043
2018-10-08,震荡偏强,0.0,0.45,0.0,0.0,0.0,0.2039398662290058,0.34606013377099426
2018-11-01,震荡,0.0,0.175,0.0,0.175,0.0,0.21310966536481382,0.4368903346351862
2018-12-03,震荡偏强,0.0,0.225,0.0,0.225,0.0,0.1291067378596896,0.4208932621403104
2019-01-02,震荡,0.24049294324142775,0.02758359083162448,0.0,0.08192346592694778,0.0,0.1674917251512691,0.48250827484873093
2019-02-01,上行,0.0,0.0,0.0,0.55,0.0,0.12345675292006554,0.3265432470799344
2019-03-01,上行,0.0,0.0,0.0,0.55,0.0,0.11623108897710706,0.33376891102289286
2019-04-01,震荡,0.0,0.175,0.0,0.175,0.0,0.1273223591274128,0.5226776408725872
2019-05-06,震荡,0.02920273209431578,0.0,0.0,0.3207972679056842,0.0,0.1599393376846077,0.49006066231539236
2019-06-03,震荡,0.35,0.0,0.0,0.0,0.0,0.1665551844489433,0.48344481555105673
2019-07-01,震荡偏强,0.225,0.0,0.0,0.225,0.0,0.1018630322633284,0.4481369677366716
2019-08-01,震荡,0.22949728900279023,0.0,0.0,0.12050271099720974,0.0,0.07290529187815313,0.5770947081218469
2019-09-02,震荡偏强,0.225,0.0,0.0,0.225,0.0,0.048193481725304486,0.5018065182746956
2019-10-08,震荡,0.175,0.175,0.0,0.0,0.0,0.060606105991842664,0.5893938940081573
2019-11-01,震荡偏强,0.225,0.0,0.0,0.225,0.0,0.05590084332424065,0.49409915667575943
2019-12-02,震荡偏强,0.0,0.225,0.0,0.225,0.0,0.0642858401442847,0.4857141598557153
2020-01-02,震荡偏强,0.225,0.225,0.0,0.0,0.0,0.07669207268858692,0.47330792731141313
2020-02-03,震荡,0.175,0.0,0.0,0.175,0.0,0.10360470238039378,0.5463952976196063
2020-03-02,震荡,0.0,0.24285072650174683,0.0,0.0,0.10714927349825316,0.09882606842597029,0.5511739315740298
2020-04-01,震荡,0.2604758758546759,0.0,0.0,0.0,0.08952412414532404,0.10271798345949572,0.5472820165405043
2020-05-06,震荡偏强,0.0,0.15739562504731716,0.0,0.15739562504731716,0.13520874990536574,0.08573135729764303,0.46426864270235696
2020-06-01,震荡,0.35000000000000003,0.0,0.0,0.0,0.0,0.11537802779847109,0.534621972201529
