reward_coef,learning_rate,ent_coef,ann_ret,sharpe,vol,time
"(6.0, 0.5, 1.0, 0.005)",7e-05,0.05,0.423827,1.465217469538363,0.2721964451303879,4.826697826385498
"(6.0, 0.5, 1.0, 0.005)",7e-05,0.1,0.2868865,1.0862693024891892,0.24108801258822898,4.020877361297607
"(6.0, 0.5, 1.0, 0.005)",5e-05,0.05,0.2980464,1.1503061543163675,0.23736846325540098,4.099667072296143
"(6.0, 0.5, 1.0, 0.005)",5e-05,0.1,0.40240285,1.3612391434712832,0.2772494780618921,3.8310658931732178
"(6.0, 0.5, 1.0, 0.005)",0.0001,0.05,0.18698478,0.7820418781705529,0.2071305591319885,3.875037670135498
"(6.0, 0.5, 1.0, 0.005)",0.0001,0.1,0.30477044,1.1067150967451147,0.25279354616698957,3.6607301235198975
"(8.0, 0.5, 1.0, 0.005)",7e-05,0.05,0.3462012,1.2651214358527552,0.2538896236763986,3.8542654514312744
"(8.0, 0.5, 1.0, 0.005)",7e-05,0.1,0.3007297,1.1039681618178026,0.24976235326187862,3.789294958114624
"(8.0, 0.5, 1.0, 0.005)",5e-05,0.05,0.33352047,1.309782512817308,0.2355509125141923,3.808756113052368
"(8.0, 0.5, 1.0, 0.005)",5e-05,0.1,0.37586364,1.3812827708963678,0.2540128950658811,3.8957574367523193
"(8.0, 0.5, 1.0, 0.005)",0.0001,0.05,0.2461971,1.011656510106839,0.21864842096475598,3.902167797088623
"(8.0, 0.5, 1.0, 0.005)",0.0001,0.1,0.26784936,1.1050182231680796,0.2197695430572525,3.7950997352600098
"(6.0, 0.5, 2.0, 0.005)",7e-05,0.05,0.32765588,1.2313452666694302,0.24579286076395218,4.041025400161743
"(6.0, 0.5, 2.0, 0.005)",7e-05,0.1,0.3236121,1.242807478138636,0.24027220081765652,3.4908127784729004
"(6.0, 0.5, 2.0, 0.005)",5e-05,0.05,0.22276431,0.9367491742615615,0.21111767450065888,3.7277626991271973
"(6.0, 0.5, 2.0, 0.005)",5e-05,0.1,0.33792526,1.2408425547357096,0.2521877156323034,3.800981044769287
"(6.0, 0.5, 2.0, 0.005)",0.0001,0.05,0.3722002,1.2894237801222674,0.2692677073379075,3.8646066188812256
"(6.0, 0.5, 2.0, 0.005)",0.0001,0.1,0.33436465,1.2197923024603057,0.25362075662325295,3.6756203174591064
"(8.0, 0.3, 1.0, 0.003)",7e-05,0.05,0.3321467,1.328616617515879,0.23117782375079665,3.881822109222412
"(8.0, 0.3, 1.0, 0.003)",7e-05,0.1,0.35132292,1.293952232198845,0.2521908499012612,4.033151388168335
"(8.0, 0.3, 1.0, 0.003)",5e-05,0.05,0.2844069,1.092090610790399,0.2375323914356099,3.7809066772460938
"(8.0, 0.3, 1.0, 0.003)",5e-05,0.1,0.35500416,1.3606701582466645,0.24253060422892736,3.6616814136505127
"(8.0, 0.3, 1.0, 0.003)",0.0001,0.05,0.35780764,1.3675725623291421,0.2433564693150249,3.890486001968384
"(8.0, 0.3, 1.0, 0.003)",0.0001,0.1,0.30585343,1.2068720645045061,0.23271184142562307,3.940962791442871
"(6.0, 0.7, 1.5, 0.005)",7e-05,0.05,0.41105458,1.4221496632533013,0.2714584726336971,4.030550241470337
"(6.0, 0.7, 1.5, 0.005)",7e-05,0.1,0.38703626,1.4299529436319844,0.2531805396775549,3.999523162841797
"(6.0, 0.7, 1.5, 0.005)",5e-05,0.05,0.37469155,1.3200249901081118,0.26491281803246974,3.944838523864746
"(6.0, 0.7, 1.5, 0.005)",5e-05,0.1,0.3396391,1.2730819261452913,0.24714755981524383,3.743281602859497
"(6.0, 0.7, 1.5, 0.005)",0.0001,0.05,0.32555506,1.2317744860529745,0.24400168519170928,3.921313762664795
"(6.0, 0.7, 1.5, 0.005)",0.0001,0.1,0.31032696,1.149313151149243,0.24825867294507786,3.7516391277313232
